ID,_Growth,_Reward_Probablity1,_Reward_ID1,_Reward_Probablity2,_Reward_ID2,_Reward_Probablity3,_Reward_ID3,_Reward_Probablity4,_Reward_ID4,_Reward_Probablity5,_Reward_ID5,_Reward_Probablity6,_Reward_ID6,_Reward_Probablity7,_Reward_ID7,_Reward_Probablity8,_Reward_ID8,_Reward_Probablity9,_Reward_ID9,_Reward_Probablity10,_Reward_ID10,_Reward_Probablity11,_Reward_ID11,_Reward_Probablity12,_Reward_ID12,_Reward_Probablity13,_Reward_ID13,_Reward_Probablity14,_Reward_ID14,_Reward_Probablity15,_Reward_ID15,_Reward_Probablity16,_Reward_ID16,_Reward_Probablity17,_Reward_ID17,_Reward_Probablity18,_Reward_ID18,_Reward_Probablity19,_Reward_ID19,_Reward_Probablity20,_Reward_ID20
1,0,50,101,50,102,90,103,90,104,90,105,90,106,40,107,30,108,20,109,10,110,40,111,204,301,100,302,60,303,20,304,10,305,5,306,1,307,0,0,0,0
2,500,50,500101,50,500102,90,500103,90,500104,90,500105,90,500106,40,500107,30,500108,20,500109,10,500110,40,500111,150,500301,40,500302,10,500303,108,500304,60,500305,20,500306,10,500307,2,500308,0,0
3,1000,50,1000101,50,1000102,90,1000103,90,1000104,90,1000105,90,1000106,40,1000107,30,1000108,20,1000109,10,1000110,40,1000111,150,1000301,40,1000302,10,1000303,108,1000304,60,1000305,20,1000306,10,1000307,2,1000308,0,0
4,1500,50,1500101,50,1500102,100,1500103,100,1500104,100,1500105,30,1500106,30,1500107,30,1500108,30,1500109,30,1500110,50,1500111,136,1500301,60,1500302,10,1500303,2,1500304,80,1500305,60,1500306,40,1500307,10,1500308,2,1500309
5,2000,80,2000101,40,2000102,80,2000103,70,2000104,70,2000105,70,2000106,50,2000107,50,2000108,40,2000109,10,2000110,40,2000111,136,2000301,60,2000302,10,2000303,2,2000304,80,2000305,60,2000306,40,2000307,10,2000308,2,2000309
6,2500,80,2500101,80,2500102,80,2500103,70,2500104,70,2500109,70,2500105,40,2500202,40,2500106,40,2500107,30,2500108,100,2500301,60,2500302,40,2500303,20,2500304,2,2500305,76,2500306,60,2500307,20,2500308,20,2500309,2,2500310
7,3000,50,3000101,90,3000102,90,3000103,10,3000104,20,3000109,100,3000105,70,3000202,100,3000106,30,3000107,40,3000108,100,3000301,60,3000302,40,3000303,20,3000304,2,3000305,76,3000306,60,3000307,20,3000308,20,3000309,2,3000310
8,3500,70,3500201,70,3500202,70,3500203,70,3500204,70,3500205,70,3500206,60,3500207,50,3500208,50,3500209,20,3500210,90,3500301,60,3500302,30,3500303,10,3500304,5,3500305,100,3500306,60,3500307,30,3500308,10,3500309,5,3500310
9,4000,70,4000201,70,4000202,70,4000203,70,4000204,70,4000205,70,4000206,60,4000207,50,4000208,50,4000209,20,4000210,90,4000301,60,4000302,30,4000303,10,4000304,5,4000305,100,4000306,60,4000307,30,4000308,10,4000309,5,4000310
10,4500,100,4500201,100,4500202,100,4500203,50,4500204,50,4500205,50,4500206,40,4500207,20,4500208,20,4500209,70,4500210,55,4500301,40,4500302,30,4500303,20,4500304,5,4500305,20,4500306,100,4500307,70,4500308,50,4500309,10,4500310
11,5000,100,5000201,90,5000202,80,5000203,80,5000204,80,5000205,50,5000206,40,5000207,40,5000208,30,5000209,10,5000210,70,5000301,100,5000302,170,5000303,50,5000304,10,5000305,0,0,0,0,0,0,0,0,0,0
