ID,_CoolTimeID,_Description,_CoolTimeType
1,801,5? ??,1
2,803,5? ??,1
3,804,5? ??,1
4,805,5? ??,1
5,806,5? ??,1
6,807,5? ??,1
7,808,5? ??,1
8,809,5? ??,1
9,820,5? ??,1
10,821,5? ??,1
11,3206,5? ??,1
12,823,5? ??,1
13,907,5? ??_??,1
14,906,5? ??_???,1
15,1711,5? ??,1
16,1712,5? ??,1
17,1713,5? ??,1
18,1714,5? ??,1
19,16001,???,1
20,16003,???,1
21,16006,???,1
22,18001,???,1
23,13010,???,1
24,19002,???,1
25,11013,???,1
26,11008,???,1
27,19021,???,1
28,19025,???,1
29,100001,??,1
30,100002,??,1
31,100003,??,1
32,100004,??,1
33,100005,??,1
34,100006,??,1
35,100007,??,1
36,100008,??,1
37,100009,??,1
38,100010,??,1
39,100011,??,1
40,100012,??,1
41,100013,??,1
42,100014,??,1
43,100015,??,1
44,100016,??,1
45,100017,??,1
46,100018,??,1
47,100019,??,1
48,100020,??,1
49,100021,??,1
50,100022,??,1
51,100023,??,1
52,100024,??,1
53,100025,??,1
54,100026,??,1
55,100027,??,1
56,100028,??,1
57,100029,??,1
58,100030,??,1
59,100031,??,1
60,100032,??,1
61,100033,??,1
62,100034,??,1
63,100035,??,1
64,100036,??,1
65,100037,??,1
66,100038,??,1
67,100039,??,1
68,100040,??,1
69,100041,??,1
70,100042,??,1
71,100043,??,1
72,100044,??,1
73,2901,4? ??? ??,1
74,100045,??,1
75,100046,??,1
76,100047,??,1
77,100048,??,1
78,100049,??,1
79,100050,??,1
80,100051,??,1
81,100052,??,1
82,100053,??,1
83,3003,???? ??,1
84,3004,???? ??,1
85,19060,PC? ????,1
86,19061,PC? ????,1
87,19998,?? ???,1
88,19999,?? ???,1
89,16007,"??,??,??",1
90,7501,5??? ???,1
91,7502,5??? ???_???,1
92,19100,???? ???? ?? ??,1
93,19101,?? ??? ??,1
94,19102,?? ??? ??,1
95,7509,??? ??,1
96,7508,?? ??,1
97,1957,mp ??,1
98,7504,?? II,1
99,7505,??? II,1
100,7506,????,1
101,19062,PC? ????,1
102,19063,?? ?? ????,2
103,19064,???? ??,1
104,19065,?? ?? ?? ??,1
105,19066,?? ?? ???,1
106,19067,??? ??,1
107,900001,???? ???,2
108,900002,??? ?? ?? 19(30?),2
109,900003,??? ?? ?? 20(30?),2
110,900004,?? ??? ?? ??(30?),2
111,900005,??? ??? ??(30?),2
112,19068,PC? ?? ??? ??,2
113,19069,???? PC? ?? ??,2
114,900006,??? ???(?? ??),2
115,900007,??? ???(??? ??),2
116,900008,??? ??(?? ??),2
117,900009,?????? ???? ???,2
118,900010,??? ??[??19]2,2
119,900011,??? ??[??20]2,2
120,3207,??? ??,1
121,900012,??? ??[??21]1,2
122,900013,??? ??[??21]2,2
123,100098,???? ??,2
124,100099,???? ??,2
125,900014,??? ??[??? ????]1,2
126,900015,??? ??[??? ????]2,2
127,900016,??? ??[??? ????]3,2
128,900017,??? ??[??? ????]4,2
129,900018,??? ??[19?3????],2
130,900019,??? ??[??? ????]5,2
131,900020,??? ??[??? ????]6,2
132,900021,??? ??[???1000%]2,2
133,12003,?? ???,1
134,12002,?? ???,1
135,900022,?? ???? ?? ????,2
136,900023,?? ???? ?? ????,2
137,900024,?? ???? ?? ????,2
138,900025,?? ???? ??? ????,2
139,900026,3Q ???? ??? ??? ??,2
140,9993,???? ???,1
141,900027,?? ???? ??? ??? ??,2
142,900028,??? ?? ???? ?? 1000%,1
143,900029,??? ?? ?? ??,1
144,900030,??? ?? [2019 ??? ?? ???] (30?),2
145,900031,??? ?? [2019 ??? ?? ???] (30?),2
146,900032,??? ?? [2019 ??? ?? ???] (30?),2
147,900033,??? ??? ??(30?),2
148,900034,[???] ??? ?? ??,2
149,900035,[???] ??? ???? 1? ?? ??,2
150,900036,[???] ??? ?? 1? ?? ??,2
151,900037,[???] ???? ?? 1? ?? ??,2
152,900038,[???] ??? 1? ?? ??,2
153,900039,[???] ??? 1? ?? ??,2
154,900040,[???] ??? ?? 1? ?? ??,2
155,900041,[???] ??? ?? 1? ?? ??,2
156,900042,[???] ??? ? 1? ?? ??,2
157,900043,[???] ?? ??? 1? ?? ??,2
158,900044,[???] ??! ?? ?? 1? ?? ??,2
159,900045,[???] ??? ?? 1? ?? ??,2
160,900046,[???] ???? ?? 1? ?? ??,2
161,900047,[???] ??? ??? 1? ?? ??,2
162,900048,[???] ??? ??? 1? ?? ??,2
163,900049,[???] ??? ? 1? ?? ??,2
164,900050,[???] ??? ?? 1? ?? ??,2
165,900051,[???] ???? ?? ?? 1? ?? ??,2
166,900052,[???] ???? ??? 1? ?? ??,2
167,900053,[???] ??? ??? 1? ?? ??,2
168,900054,[???] ???? ? 1? ?? ??,2
169,900055,[???] ??? ?? 1? ?? ??,2
170,900056,[???] ???? ? 1? ?? ??,2
171,900057,[???] ???? ? 1? ?? ??,2
172,900058,[???] ????? ?? 1? ?? ??,2
173,900059,[???] ?? ?? 1? ?? ??,2
174,900060,[???] ???? ?? 1? ?? ??,2
175,900061,[???] ?? ??? 1? ?? ??,2
176,900062,[???] ??? 1? ?? ??,2
177,900063,[???] ??? ??? ?? 1? ?? ??,2
178,900064,[???] ?? ?? 1? ?? ??,2
179,900065,[???] ??? ?? 1? ?? ??,2
180,900066,[???] ???? ?? 1? ?? ??,2
181,900067,[???] ??? ? 1? ?? ??,2
182,900068,[???] ????? 1? ?? ??,2
183,900069,[???] ??? ? 1? ?? ??,2
184,900070,[???] ???? ? ??? 1? ?? ??,2
185,900071,[???] ?? ?? 1? ?? ??,2
186,900072,[???] ?? ?? ??? 1? ?? ??,2
187,900073,[???] ???? ?? 1? ?? ??,2
188,900074,??? ?? [[???] ??? ?? UP! ??] (30?),2
189,900075,??? ?? [??? ?? ??] (30?),2
190,900076,??? ?? [??? ?? ??] (30?),2
191,900077,[???] ??? ?? ??? ??,2
192,900078,[???] ??? ??? ???,2
193,900079,[???] ??? ??? ???,2
194,900080,[???] ??? ??? ???,2
195,900081,[???] ???? ??? ?? (30?) Ⅰ,2
196,900082,[???] ???? ??? ?? (30?) Ⅱ,2
197,900083,??? ?? ???? ?? (??),1
198,900084,??? ?? ?? ?? (??),1
199,900085,[???] ???? ??,2
200,900086,??? ?? [2021 ??? ?? ???] (30?),2
