ID,_Stage,_MapGroup,_Time,_Color ID,_Block,_Message
1,99,0,300,10,1,[小幫手]請注意！時間制道具從在商店中購買的瞬間就會開始消耗時間。
2,99,0,300,10,1,[小幫手]人氣商品是大家最常選擇的道具。
3,99,0,300,10,1,"[內容]點擊""禮包""按鈕，可用較便宜的價格購買道具組合。"
4,99,0,300,10,1,"[內容]透過艾利亞斯都市精品店NPC""寶妮""，以髮型、眼部、膚色優惠券傳換角色風格。"
5,99,0,300,10,1,[小幫手]金幣商店背包只能保管部分購買道具。
6,99,0,300,10,1,"[小幫手]在金幣商店購買道具時，試著使用""送禮""功能贈送金幣商店道具給朋友吧。"
7,99,0,300,10,1,[內容]金幣商店有販售部分寵物。
8,-1,-1,180,10,1,[公告]長時間玩遊戲對身體健康有害。建議適度休息後再進行遊戲。
9,-1,-1,180,10,1,[廣告活動]彩虹島物語的玩家們不會將帳號和密碼告訴其他人。
10,-1,-1,180,10,1,[廣告活動]請注意!以現金和各種商品禮券交易時將會受到處罰。
11,-1,-1,180,10,1,[廣告活動]彩虹島物語的玩家們不會說髒話和做出不禮貌的行為。
12,-1,-1,180,10,1,[廣告活動]請至官網查看不禮貌行為的規範。
13,-1,-1,180,10,1,[廣告活動]可使用OTP保護個人資料。
14,-1,-1,180,10,1,[廣告活動]可透過官網的IP認證和管理保護您的帳號。
15,-1,-1,180,10,1,[廣告活動]GM角色隨時都穿著GM專用服裝。請注意冒充行為。
16,-1,-1,180,10,1,[廣告活動]常說好話能讓心情變得愉悅。
17,-1,-1,180,10,1,[廣告活動]現金交易會破壞遊戲規則，一旦被發現將限制遊戲使用。
18,-1,-1,180,10,1,[廣告活動]讓我們一起創造健全的遊戲文化。
19,-1,-1,180,10,1,[廣告活動]相互理解和禮讓能打造和睦的彩虹島物語。
20,-1,-1,180,10,1,"[小幫手]可使用""PrintScreen""按鍵截圖。將儲存在彩虹島安裝資料夾內的[ScreenShots]資料夾。"
21,-1,-1,180,10,1,[小幫手]透過/?'可確認聊天指令。
22,-1,-1,180,10,1,[小幫手]使用怪物圖鑑卡片時，可獲得該怪物圖鑑並查看怪物的相關信息。
23,-1,-1,180,10,1,[小幫手]可透過組隊配對確認正在募集成員的隊伍。
24,-1,-1,180,10,1,"[小幫手]可使用""Tab""鍵變變換自己設定的武器。"
25,-1,-1,180,10,1,[小幫手]一旦轉職就無法變更，請慎重選擇。
26,-1,-1,180,10,1,[小幫手]透過拍賣場購買道具或拍賣失敗時，可在郵差NPC的郵箱確認返還的金幣。
27,-1,-1,180,10,1,[小幫手]拍賣登錄過一定時間後，無法取消拍賣。
28,-1,-1,180,10,1,[小幫手]郵箱數量超過40個時無法使用拍賣場。
29,-1,-1,180,10,1,[小幫手]物品回購目錄只保留最近售出的10件商品。
30,-1,-1,180,10,1,[小幫手]登出、變更伺服器、移動頻道、進入副本、進入公會房間、進入格鬥場時，物品回購目錄將會初始化。
31,-1,-1,180,10,1,[小幫手]可在艾利亞斯機場搭機前往結婚會場。
32,-1,-1,180,10,1,"[小幫手]若持有""復活精髓""道具，可擁有50%HP並原地復活。部分地圖中無法使用。"
33,-1,-1,180,10,1,[小幫手]每個角色一天只能進行20個每日任務。
34,-1,-1,180,10,1,[小幫手]每個角色一天只能進行2個隨機任務。
35,-1,-1,180,10,1,[小幫手]向艾利亞斯都市的伊克納特登錄稀有道具和其他道具，即可開啟道具圖鑑。
36,-1,-1,180,10,1,[小幫手]可透過艾利亞斯都市精品店NPC科洛安變更性別。
37,-1,-1,180,10,1,[小幫手]可透過彩虹島官網的付費服務變更角色或公會名稱。
38,-1,-1,180,10,1,[小幫手]可使用'鑲嵌妙藥'等消耗道具提升部分道具的鑲崁機率。
39,-1,-1,180,10,1,[小幫手]部分像是綴飾的道具無論耐久度如何，都具有固定的成功機率。
40,-1,-1,180,10,1,[小幫手]若要選擇副職業，等級須達140以上，且只能在2轉或3轉職業的狀態下進行。
41,-1,-1,180,10,1,[小幫手]可透過各區域NPC提供的任務、怪物狩獵或道具任務獲得聲望。
42,-1,-1,180,10,1,[小幫手]限時闖關副本中不可使用一般恢復藥水。
43,-1,-1,180,10,1,[廣告活動]發現錯誤時，請立即透過官網1:1客服回報問題。
44,-1,-1,180,10,1,[內容]突變怪物出現在特定區域。請消滅該怪物並將獲得的戰利品與都市內的阿思瑪兌換稱號。
45,-1,-1,180,10,1,[小幫手]可透過全部接收/完成功能輕鬆進行任務。
46,-1,-1,180,10,1,[小幫手]轉職或轉換副職業時，所有背包都需要3個以上的空格。
47,-1,-1,180,10,1,[小幫手]NPC賽蘿可將期間制寵物轉換成永久制。請注意！一般轉換膠囊和活動專用的兌換類別不同。
48,-1,-1,180,10,1,[小幫手]透過每日任務向公會房間的NPC修普勒簽到，可獲得公會點數等多樣獎勵。
49,-1,-1,180,10,1,[小幫手]若種植金幣作物，可在10秒內收穫。
50,-1,-1,180,10,1,[小幫手]可透過公會等級和點數學習公會技能。
51,-1,-1,180,10,1,[小幫手]可在未知的圖書館獲得寵物覺醒劑材料。
52,-1,-1,180,10,1,[廣告活動]請確認官網公告事項，上面有重要的資訊。
53,-1,-1,180,10,1,[小幫手]轉職時，等待一分鐘即可轉換職業。
54,-1,-1,180,10,1,[小幫手]公會大師90天以上未登錄時，可委託公會大師權限。
55,-1,-1,180,10,1,[小幫手]定期維護時為保護角色資訊的安全，請關閉正常連線。
56,-1,-1,180,10,1,[內容]180等級開始可學習傳奇技能。
57,-1,-1,180,10,1,[內容]主/副職業之間無法共享傳奇技能。
58,-1,-1,180,10,1,[內容]覺醒、傳奇技能會根據使用次數自動提升技能等級。
59,-1,-1,180,10,1,"[內容]可在金幣商店和向""貝羅斯""NPC""洛汗""購買技能頁擴充書。"
60,-1,-1,180,10,1,"[內容]可使用""寵物永久制交換工具""兌換永久制寵物。"
61,-1,-1,180,10,1,[內容]每天晚上6點及9點會進行彩虹島猜謎。請透過猜謎獎勵向兔女郎兌換特殊道具。
62,-1,-1,180,10,1,[小幫手]道具被破壞時，限定每個帳號1年可修復一次。詳情請參考官網付費服務。
63,-1,-1,180,10,1,[小幫手]若覺得隨機任務目錄很難，請至隨機佈告欄購買初始化藥水。
64,-1,-1,180,10,1,[小幫手]使用他人帳號可能會遭受損失，請務必使用自己的帳號。
65,-1,-1,180,10,1,"[小幫手]申報不禮貌的行為時一定要附上""LRF檔""(檢舉用截圖)，該檔案可在彩虹島安裝資料夾中的[Reports]確認。"
66,-1,-1,180,10,1,[小幫手]我們會參考玩家們的反饋進行平衡修補，來信詢問時請務必詳細填寫。
67,-1,-1,180,10,1,"[小幫手]可在""貝羅斯都市""西部的""彩虹釣魚場""盡情享受""釣魚""的樂趣。"
68,-1,-1,180,10,1,"[小幫手]可經由""貝羅斯""的時間塔、""艾利亞斯""排名佈告欄附近的傳送門進入""GM地圖""。"
69,-1,-1,180,10,1,"[小幫手]可透過""艾利亞斯""的NPC""朵莉亞""販賣的""超級瑪琍傳送膠囊""進行""超級瑪琍內容""。"
70,-1,-1,180,10,1,[小幫手]一般等級只到235！超越等級最高可達9999。來挑戰最高等級吧。
71,-1,-1,180,10,1,[內容]轉職後達200等級即可使用符文。
72,-1,-1,180,10,1,"[小幫手]使用頻道移動聊天指令時，可輸入""/c頻道號碼""、""/ch頻道號碼""、""/頻道頻道號碼""來更換頻道。"
73,-1,-1,180,10,1,[內容]一般等級達230即可使用記憶。
74,-1,-1,180,10,1,[內容]若不再需要凝聚舞扇忍者氣息的圖騰碎片，請去貝羅斯找洛汗。
75,-1,-1,180,10,1,"[小幫手]已追加副本初始化指令。""/dr個人副本初始化""。輸入""/pdr組隊副本初始化""即可初始化副本。"
76,-1,-1,180,10,1,[小幫手]可在技能視窗的'基本動作'確認'釣魚'技能。
77,-1,-1,180,10,1,[小幫手]可以訓練及召喚召喚獸。
78,-1,-1,180,10,1,[小幫手]超越技能可與伺服器內所有角色共享。
79,-1,-1,180,10,1,[小幫手]一周僅能進行一次每週挑戰初始化。
80,-1,-1,180,10,1,[廣告活動]最近有許多創建相似角色名稱後，以進行強化代替領取道具的詐騙行為，請各位用戶多加注意。
81,-1,-1,180,10,1,[小幫手]刻印效果可維持30天且可套用於伺服器內所有角色。
82,-1,-1,180,10,1,[小幫手]點擊召喚獸即可訓練或設定技能。
83,-1,-1,180,10,1,[小幫手]每隻召喚獸可開始馴養的等級都不相同。
84,-1,-1,180,10,1,[小幫手]可在艾利亞斯都市最右側的'隨機佈告欄’兌換各種甜椒。
85,-1,-1,180,10,1,[小幫手]請在畫面右下方的角色基本視窗中確認召喚獸圖示。
86,-1,-1,180,10,1,[內容]可運用倉庫背包的時尚倉庫方便地管理服裝。
87,-1,-1,180,10,1,"[小幫手]可在""艾利亞斯機場""搭機前往""春植島""。"
88,-1,-1,180,10,1,[內容]使用收集稱號變得更強吧。
89,-1,-1,180,10,1,[內容]套用在增幅欄位的符文將發揮更強的效果。
90,-1,-1,180,10,1,[小幫手]在金幣商店購買的道具將保管於購買背包中。請於該背包確認購買道具。(限定道具除外)
91,-1,-1,180,10,1,[內容]請透過點擊滑鼠右鍵來移動倉庫內道具。
92,-1,-1,180,10,1,[內容]金幣商店的商品已更新。請透過金幣商店確認。
93,-1,-1,180,10,1,[更新]已變更包含經驗值的秘藥1000%在內的許多道具圖示。使用前請務必確認提示說明。
94,-1,-1,180,10,1,[內容]在拍賣場登錄道具時，重複登錄更容易獲得最後登錄資訊的智能拍賣場。
95,-1,-1,180,10,1,"[內容]將未使用的公會武器/飾品/寶石""分解""後，可獲得公會金幣。"
96,-1,-1,180,10,1,[小幫手]無法同時馴養多隻召喚獸。
97,-1,-1,180,10,1,[廣告活動]破壞或分解道具時，請務必再次確認。
98,-1,-1,180,10,1,[內容]請完成吉恩蒂亞地區各都市教官的任務並達成收集稱號。
99,-1,-1,180,10,1,[內容]請找各大都市的阿思瑪兌換殘像鏡、阿思瑪的紅暈及副本稱號學習書。
100,-1,-1,180,10,1,[小幫手]任務接收條件包括滿足基本等級及完成前面的任務。
101,-1,-1,180,10,1,[小幫手]鑲嵌會依據強化耐久度有所變動，請慎重確認後再使用。
102,-1,-1,180,10,1,[廣告活動]透過彩虹島所有玩家都可聽到的伺服器麥克風爆粗口、謾罵、開黃腔或毀謗他人時，將根據營運政策受到處罰。
103,-1,-1,180,10,1,[小幫手]點擊滑鼠右鍵可熟練技能等級。
104,-1,-1,180,10,1,[內容]伺服器內的角色將套用相同的'裝扮'系統。
105,-1,-1,180,10,1,[活動]我們為新回歸的玩家們準備了豐富的支援，請至活動頁面確認。
106,-1,-1,180,10,1,[廣告活動]可透過FAQ項目中的回報問題進行1:1郵件諮詢。
107,-1,-1,180,10,1,[小幫手]若未收到轉職或教學任務，請進行角色選擇或更換頻道。
108,-1,-1,180,10,1,[廣告活動]參加活動時，請務必確認活動頁面上顯示的注意事項。
109,-1,-1,180,10,1,[內容]道具鑲嵌達最高等級時，需選擇鑲嵌屬性再次進行鑲嵌。
110,-1,-1,180,10,1,[內容]已改善經常使用的消耗道具冷卻時間。能更加便利地使用道具。
111,-1,-1,180,10,1,[內容]如果不知道哪些地方符合自身等級，請打開導覽手冊確認各區域的等級吧。
112,-1,-1,180,10,1,[內容]可透過導覽手冊確認各等級的養成區域、道具資訊及變強的方法等各種內容。
113,-1,-1,180,10,1,[內容]達成235等級時，可進行超人之書解除封印任務。完成任務後借助強大的超人之力吧。
114,-1,-1,180,10,1,"[小幫手]如果超級瑪琍太困難的話，請嘗試透過""超級瑪琍闖關箱子""完成。"
115,-1,-1,180,10,1,[小幫手]請注意！超人任務內容會在每天早上5點初始化。
116,-1,-1,180,10,1,[小幫手]強化道具和鑲嵌道具相關系統UI已合併。
117,-1,-1,180,10,1,[小幫手]可透過聯合公會'獵人管理者艾皮斯'提升獵人的使命聲望。
118,-1,-1,180,10,1,[小幫手]可從10種副職業中選擇1種可進行轉職。
119,-1,-1,180,10,1,[小幫手]活動專用每週挑戰不可透過'每週挑戰初始化卷軸'進行初始化。
120,-1,-1,180,10,1,[廣告活動]交易時請務必確認對方的暱稱是否與聊天視窗暱稱一致。
121,-1,-1,180,10,1,[更新]達到一般等級100時進行的轉職過程已消失。
122,-1,-1,180,10,1,[內容]為達成每週目標，請去找艾利亞斯都市的每週挑戰管理者。
123,-1,-1,180,10,1,[更新]已更新金幣副本。請打開導覽手冊(H)確認。
124,-1,-1,180,10,1,[更新]可以改變角色選擇視窗的角色順序。
125,-1,-1,180,10,1,[小幫手]最多可將5個稱號放入收藏夾。
126,-1,-1,180,10,1,[更新]寵物技能已轉換成被動技能。請確認被動分頁。
127,-1,-1,180,10,1,[更新]已追加重看劇情功能。請確認任務視窗。
128,0,0,0,0,0,
129,0,0,0,0,0,
130,0,0,0,0,0,
131,0,0,0,0,0,
132,0,0,0,0,0,
133,0,0,0,0,0,
134,0,0,0,0,0,
135,0,0,0,0,0,
136,0,0,0,0,0,
137,0,0,0,0,0,
