ID,_ActiveType,_RequireStat1,_RequireStatValue1,_RequireStat2,_RequireStatValue2,_ConsumptionStat1,_ConsumptionStatValue1,_ConsumptionStat2,_ConsumptionStatValue2,_ConditionCheckTime,_Buff_Check,_Speed_Delay,_Speed_X,_Speed_Time,_Speed_Y,_TargetType,_TargetMaxCount,_Effect_Delay1,_Effect_Self1,_Effect_Target1,_Effect_Delay2,_Effect_Self2,_Effect_Target2,_Effect_Delay3,_Effect_Self3,_Effect_Target3,_Effect_Delay4,_Effect_Self4,_Effect_Target4,_Effect_Delay5,_Effect_Self5,_Effect_Target5,_Effect_Delay6,_Effect_Self6,_Effect_Target6,_Loop_Effect_Start_Delay1,_Loop_Effect_Delay1,_Loop_Effect_Self1,_Loop_Effect_Target1,_Loop_Effect_Finish_Time1,_Loop_Effect_Start_Delay2,_Loop_Effect_Delay2,_Loop_Effect_Self2,_Loop_Effect_Target2,_Loop_Effect_Finish_Time2
10103,1,0,0,0,0,0,0,0,0,0,0,30,300,30,0,65,1,4,0,41000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10203,1,0,0,0,0,0,0,0,0,0,0,30,300,30,0,65,1,4,0,41000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10303,1,0,0,0,0,0,0,0,0,0,0,20,300,35,0,65,1,3,0,41000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10310,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,5,0,41000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10403,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,4,0,41000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10503,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,3,4,0,41000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10603,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,4,0,41000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10703,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,4,0,41000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10803,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,4,0,41000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10903,1,0,0,0,0,0,0,0,0,0,0,30,350,30,0,65,1,4,0,41000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11003,1,0,0,0,0,0,0,0,0,0,0,30,350,30,0,65,1,4,0,41000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11103,1,0,0,0,0,0,0,0,0,0,0,30,350,30,0,65,1,4,0,41000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11203,1,0,0,0,0,0,0,0,0,0,0,30,350,30,0,65,1,4,0,41000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11303,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,4,0,41000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11403,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,4,0,41000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11503,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,4,0,41000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11603,1,0,0,0,0,0,0,0,0,0,0,30,300,30,0,65,1,4,0,41000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11703,1,0,0,0,0,0,0,0,0,0,0,30,350,30,0,65,1,4,0,41000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11803,1,0,0,0,0,0,0,0,0,0,0,30,300,30,0,65,1,4,0,41000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11903,1,0,0,0,0,0,0,0,0,0,0,30,300,30,0,65,1,4,0,41000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,4,0,41000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12103,1,0,0,0,0,0,0,0,0,0,0,50,350,30,0,65,5,5,0,41000001,8,0,41000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,5,6,0,41000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
