ID,_Show,_PositionIndex,_Name,_Description,_TitleID1,_TitleID2,_TitleID3,_TitleID4,_TitleID5,_TitleID6,_StatusType1,_StatusValue1,_StatusType2,_StatusValue2,_StatusType3,_StatusValue3,_StatusType4,_StatusValue4
1,1,1,我是傳說,國民稱號！！請學習我是傳說稱號！,751,767,952,953,0,0,464,10,463,5,496,1000,0,0
2,1,2,VVIP,想要成為購物王嗎？請學習所有有關購物之稱號~,901,902,909,910,911,0,128,10,464,15,455,400,0,0
3,1,3,溫暖的家人,請學習所有溫暖的家人稱號。,925,926,927,928,0,0,455,700,132,5,462,15,0,0
4,1,4,溫暖的兄弟,請學習所有溫暖的兄弟稱號。,955,956,957,958,0,0,455,1200,30,2500,461,15,0,0
5,1,5,世界第一等兔子,比任何人都棒的世界第一等！！請學習有關兔子的所有稱號。,914,915,916,917,918,0,464,20,14,300,22,300,0,0
6,1,6,開心過冬,請學習有關冬天的4種稱號 。,920,921,922,923,0,0,455,200,456,1,463,8,106,10
7,1,8,被教官寄予厚望的徒弟,請向1~50等級間的各城市教官NPC們完成任務。,1271,1272,1273,1274,0,0,496,1000,0,0,0,0,0,0
8,1,9,深受教官信賴的徒弟,請向51~100等級間的各城市教官NPC們完成任務。,1275,1276,1277,1278,0,0,30,1500,461,5,0,0,0,0
9,1,10,我是小章魚廚師！,請學習有關小章魚的3種稱號。,2401,2402,1207,0,0,0,30,1500,461,10,0,0,0,0
10,1,11,傳說的4大名劍,希望這天不要到來.. 請於維護獎勵箱子學習所有關於維護之稱號。,974,975,976,977,0,0,124,15,132,2,128,5,136,500
11,1,12,突變怪物殺手,收集突變怪物3種材料學習稱號！,1202,1203,1204,0,0,0,574,3,570,3000,0,0,0,0
12,1,14,你的聲望如何？,請消耗聲望點數，學習以下5種聲望稱號。,2501,2601,2701,2801,759,0,455,300,0,0,0,0,0,0
13,1,15,聲望正大肆猖獗呢！,請消耗聲望點數，學習以下5種聲望稱號。,1209,1210,1211,1212,1213,0,455,300,464,10,0,0,0,0
14,1,16,青歐市殿被扭曲了！！,於下列副本中學習稱號，使扭曲的青歐市殿平靜下來！,1279,1280,1281,1282,1283,1284,124,30,488,15,0,0,0,0
15,1,17,平定春植島吧！,請於春植島內學習各種稱號~,1243,1244,1245,1246,0,0,573,2,566,2000,0,0,0,0
16,1,18,奪回4人副本！,將4人副本全部奪回！,1033,1220,1222,1225,1227,0,492,70,38,70,0,0,0,0
17,1,19,奪回8人副本！,將8人副本全部奪回！,1032,1054,1219,1224,1226,0,493,7,39,7,0,0,0,0
18,1,21,與神同行 Part. 1,請挑戰高難易度！,903,978,756,1028,959,0,384,3,30,4000,456,2,124,25
19,1,22,與神同行 Part. 2,請挑戰最高難易度！,1207,1208,1224,1225,0,0,455,1500,456,1,465,1,440,20
20,1,24,超級瑪琍之神,請學習超級瑪琍大師稱號與第 2季4種稱號,1214,1215,1216,1217,18,0,367,1,132,5,106,15,128,10
21,1,25,超級瑪琍是最簡單的。,"請完成超級瑪琍 ""獎勵關卡 Two!"" 任務。",1266,0,0,0,0,0,128,20,0,0,0,0,0,0
22,1,26,想進行超級瑪琍 ！,"請完成超級瑪琍 ""獎勵關卡, Three!"" 任務。",1267,0,0,0,0,0,367,1,0,0,0,0,0,0
23,1,27,不覺得超級瑪琍很有趣嗎？,"請完成超級瑪琍 ""獎勵關卡~Four~"" 任務。",1268,0,0,0,0,0,465,2,0,0,0,0,0,0
24,1,28,區區一個超級瑪琍,"請完成超級瑪琍 ""獎勵關卡~Five~"" 任務。",1269,0,0,0,0,0,464,10,0,0,0,0,0,0
25,1,29,超級瑪琍閉著眼也能玩,"請完成超級瑪琍 ""獎勵關卡~Six~"" 任務。",1270,0,0,0,0,0,461,3,462,3,0,0,0,0
26,1,30,[活動]吉恩蒂亞小幫手是第一次吧？,稱職的吉恩蒂亞小幫手的第一把交椅是…,1228,1229,1230,1231,1232,0,455,150,0,0,0,0,0,0
27,1,31,抵達旅程終點者,請踏上偉大的旅程~！,1263,1264,1265,0,0,0,464,5,0,0,0,0,0,0
28,1,32,~LaTale Party Time~,彩虹島物語~生日大快樂!!\n大家一起High起來> 3 <,1289,1290,1291,0,0,0,455,150,464,5,0,0,0,0
29,1,13,突變怪物殺手 II,請收集副本中的3種突變怪物稱號!,1302,1205,1206,0,0,0,574,4,570,4000,0,0,0,0
