ID,_Type,_Name,_CategoryPosition,_ConditionType,_ConditionID,_Image,_SystemLinkID,_HelpLinkID
100,1,????,1,0,0,DATA/INTERFACE/HELP/HELP_01-00_0.png,0,0
110,2,?? ??,1,0,0,DATA/INTERFACE/HELP/HELP_01-01_0.png,0,0
200,1,????,2,0,0,DATA/INTERFACE/HELP/HELP_02-00_0.png,0,0
210,2,"???? ??,??",1,0,0,DATA/INTERFACE/HELP/HELP_02-01_0.png,0,0
220,2,"??,??,??",2,0,0,DATA/INTERFACE/HELP/HELP_02-02_0.png,0,0
230,2,"???,???",3,0,0,DATA/INTERFACE/HELP/HELP_02-03_0.png,0,0
240,2,?? ???,4,0,0,DATA/INTERFACE/HELP/HELP_02-04_0.png,0,0
250,2,??? ???,5,0,0,DATA/INTERFACE/HELP/HELP_02-05_0.png,0,0
260,2,????,6,0,0,DATA/INTERFACE/HELP/HELP_02-07_0.png,0,0
270,2,???,7,0,0,DATA/INTERFACE/HELP/HELP_02-08_0.png,0,0
280,2,?? ?? ??,8,0,0,DATA/INTERFACE/HELP/HELP_02-09_0.png,0,0
300,1,???,3,0,0,DATA/INTERFACE/HELP/HELP_03-00_0.png,0,0
310,2,???,1,0,0,DATA/INTERFACE/HELP/HELP_03-01_0.png,0,0
320,2,????,2,0,0,DATA/INTERFACE/HELP/HELP_03-02_0.png,0,0
330,2,??? ??,3,0,0,DATA/INTERFACE/HELP/HELP_03-03_0.png,0,0
400,1,??,4,0,0,DATA/INTERFACE/HELP/HELP_04-00_0.png,0,0
410,2,???,1,0,0,DATA/INTERFACE/HELP/HELP_04-01_0.png,0,0
420,2,??? ??,2,0,0,DATA/INTERFACE/HELP/HELP_04-02_0.png,0,0
500,1,???,5,0,0,DATA/INTERFACE/HELP/HELP_44-00_0.png,0,0
600,1,??,6,0,0,DATA/INTERFACE/HELP/HELP_07-00_0.png,0,0
700,1,??,7,0,0,DATA/INTERFACE/HELP/HELP_11-00_0.png,0,0
710,2,1???,1,0,0,DATA/INTERFACE/HELP/HELP_11-01_0.png,0,0
720,2,??? 1? ?? ??,2,0,0,DATA/INTERFACE/HELP/HELP_11-02_0.png,0,0
730,2,2???,3,0,0,DATA/INTERFACE/HELP/HELP_11-03_0.png,0,0
740,2,??? 2? ?? ??,4,0,0,DATA/INTERFACE/HELP/HELP_11-04_0.png,0,0
750,2,?? ????,9,0,0,DATA/INTERFACE/HELP/HELP_11-09_0.png,0,0
760,2,3? ??,5,0,0,DATA/INTERFACE/HELP/HELP_11-05_0.png,0,0
770,2,??? 3? ?? ??,6,0,0,DATA/INTERFACE/HELP/HELP_11-06_0.png,0,0
780,2,?? ??,7,0,0,DATA/INTERFACE/HELP/HELP_11-07_0.png,0,0
790,2,??? ?? ??,8,0,0,DATA/INTERFACE/HELP/HELP_11-08_0.png,0,0
800,1,??? ???? ???,8,0,0,DATA/INTERFACE/HELP/HELP_20-00_0.png,0,0
801,1,???,9,0,0,DATA/INTERFACE/HELP/HELP_19-00_0.png,0,0
900,1,????,10,0,0,DATA/INTERFACE/HELP/HELP_18-00_0.png,0,0
910,2,?????,0,0,0,DATA/INTERFACE/HELP/HELP_18-01_0.png,0,0
920,2,???? ???,0,0,0,DATA/INTERFACE/HELP/HELP_18-02_0.png,0,0
930,2,????,0,0,0,DATA/INTERFACE/HELP/HELP_18-03_0.png,0,0
940,2,???? ??? ????,0,0,0,DATA/INTERFACE/HELP/HELP_18-04_0.png,0,0
950,2,???? ??,0,0,0,DATA/INTERFACE/HELP/HELP_18-05_0.png,0,0
960,2,???? ????,0,0,0,DATA/INTERFACE/HELP/HELP_18-06_0.png,0,0
970,2,?? ????,0,0,0,DATA/INTERFACE/HELP/HELP_18-07_0.png,0,0
1000,1,??,11,0,0,DATA/INTERFACE/HELP/HELP_33-00_0.png,0,0
1010,2,???,1,0,0,DATA/INTERFACE/HELP/HELP_33-01_0.png,0,0
1100,2,???,2,0,0,DATA/INTERFACE/HELP/HELP_33-02_0.png,0,0
1110,2,???,3,0,0,DATA/INTERFACE/HELP/HELP_33-03_0.png,0,0
1200,1,??,13,0,0,DATA/INTERFACE/HELP/HELP_34-00_0.png,0,0
1210,2,????,1,0,0,DATA/INTERFACE/HELP/HELP_34-01_0.png,0,0
