ID,_Mission_Name,_Mission_Description,_Require_Type,_Require_ID,_Require_Value1,_Require_Value2,_Mission_Kind1,_Mission_ID1,_Mission_Count1,_Mission_Kind2,_Mission_ID2,_Mission_Count2,_Mission_Purpseposition,_Mission_Reward_Point
1,為了與召喚獸共存 (1),獲得方式: 訓練召喚獸\n\n「你珍惜的孩子們也需要更多的經驗。」,1,578,1500,,2,190145623,300,0,0,0,0,1
2,為了與召喚獸共存 (2),獲得方式: 訓練召喚獸\n\n「隨著生命的力量越強，土地上會有越多的生命綻放。」,1,578,1500,,2,190145624,300,0,0,0,0,1
3,收集刻印石,獲得地區: 財貨副本\n\n「想收藏東西的心情是本能。你非常誠實。」,1,578,1500,,2,300199014,999,0,0,0,179,1
4,分解專家,獲得方式: 道具分解\n\n「給我帶來可以用於其他地方的希望。」,1,578,1500,,2,180134429,999,2,180134430,999,0,1
5,符文分析,"獲得方式: 向貝羅斯的洛汗購買\n\n「如果讓珍惜的生命看到新的可能性，就沒關係了。」""",1,578,1500,,2,190145203,10,0,0,0,0,1
6,釣魚狂,獲得地區: 彩虹釣魚場\n\n「稍微在這個地方找回沉著。現在還有方法。」,1,578,1500,,2,190190931,10,0,0,0,0,1
7,加工匠人,獲得方式: 兌換聲望商品\n\n「這個會很適合你的。記住我，別忘了我。」,1,578,1500,,2,300136004,200,0,0,0,0,1
8,噢! 甜椒,獲得方式: 隨機任務獎勵\n\n「為了讓植物生長，溫暖的土地、陽光和充足的水…。」,1,578,1500,,2,190192121,3,2,190192111,150,0,1
9,特別的表情,獲得方式: 向NPC阿思瑪購買後強化\n\n「人類們透過臉顯露各種情緒啊。看起來真好。」,1,578,1500,,2,120140451,1,2,120140851,1,0,1
10,不希望的未來,執行地區: 夢境奧涅伊洛\n\n「這個說不定是我們都不希望的未來。」,1,578,1500,,1,810008914,30,0,0,0,442,1
11,過來吧，沒關係,執行地區: 忘卻湖畔\n\n「雷黛，我們不怕你。沒關係。」,1,578,1700,,1,810009070,50,0,0,0,452,1
12,貪圖靈魂之人,執行地區: 玫瑰園\n\n「是貝萊德嗎。貪圖這裡靈魂的…。」,1,578,1800,,1,810009158,30,0,0,0,462,1
13,呼喚絕望的名字,執行地區: 誓約的聖地\n\n「巴爾巴托斯，你到底想聽到什麼?」,1,578,2000,,1,810009360,50,0,0,0,471,1
14,愚蠢的精靈,執行地區: 回音之泉\n\n「或許在未來的某一天，又會出現愚蠢的精靈。」,1,578,2200,,1,810009519,30,0,0,0,490,1
15,存在的證明,獲得方式: 每週挑戰最高級完成\n\n「睜大雙眼! 不要逃避迎面而來的考驗，證明你的存在…。」,1,578,2500,,2,190146188,2,2,190146641,5,6,1
