ID,_ItemID1,_ItemID2,_ItemID3,_ItemID4,_ItemID5,_ItemID6,_ItemID7,_ItemID8,_ItemID9,_ItemID10,_ItemID11,_ItemID12,_ItemID13,_ItemID14,_ItemID15,_ItemID16,_ItemID17,_ItemID18,_ItemID19,_ItemID20
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
