ID,_Description,_inventory1,_inventorycount1,_inventory2,_inventorycount2,_inventory3,_inventorycount3,_inventory4,_inventorycount4,_inventory5,_inventorycount5,_Consumption_ITEMID1-1,_Consumption_ITEMCount1-1,_Consumption_ITEMID1-2,_Consumption_ITEMCount1-2,_Error_Message1-1,_Error_Type1-1,_Error_Message1-2,_Error_Type1-2,_Consumption_ITEMID2-1,_Consumption_ITEMCount2-1,_Consumption_ITEMID2-2,_Consumption_ITEMCount2-2,_Error_Message2-1,_Error_Type2-1,_Error_Message2-2,_Error_Type2-2,_Consumption_ITEMID3-1,_Consumption_ITEMCount3-1,_Consumption_ITEMID3-2,_Consumption_ITEMCount3-2,_Error_Message3-1,_Error_Type3-1,_Error_Message3-2,_Error_Type3-2,_NoticeID,_ItemConsumeCheck
190172202,?? ?? ??,1,1,2,1,3,1,4,1,5,1,190172202,1,0,0,需要 【公會金幣箱子】,1,,0,0,0,0,0,,0,,0,0,0,0,0,,0,,0,0,1
190193801,??? ?? ?? ??,1,1,2,1,3,1,4,1,5,1,190193801,1,0,0,需要 【黃玉硬幣箱子初級】,1,,0,0,0,0,0,,0,,0,0,0,0,0,,0,,0,0,1
190193802,??? ?? ?? ??,1,1,2,1,3,1,4,1,5,1,190193802,1,0,0,需要 【黃玉硬幣箱子中級】,1,,0,0,0,0,0,,0,,0,0,0,0,0,,0,,0,0,1
190193803,??? ?? ?? ??,1,1,2,1,3,1,4,1,5,1,190193803,1,0,0,需要 【黃玉硬幣箱子高級】,1,,0,0,0,0,0,,0,,0,0,0,0,0,,0,,0,0,1
190193811,???? ?? ??,1,1,2,1,3,1,4,1,5,1,190193811,1,0,0,需要 【藍寶石硬幣箱子】,1,,0,0,0,0,0,,0,,0,0,0,0,0,,0,,0,0,1
190197001,??? ? ?? ??,1,1,2,1,3,1,4,1,5,1,190197001,1,0,0,需要 【裝有分解破片的箱子1】,1,,0,0,0,0,0,,0,,0,0,0,0,0,,0,,0,0,1
190197002,???? ? ?? ??,1,1,2,1,3,1,4,1,5,1,190197002,1,0,0,需要 【裝有分解破片的箱子2】,1,,0,0,0,0,0,,0,,0,0,0,0,0,,0,,0,0,1
190197003,Ely? ? ?? ??,1,1,2,1,3,1,4,1,5,1,190197003,1,0,0,需要 【裝有彩虹幣的魔術寶箱子】,1,,0,0,0,0,0,,0,,0,0,0,0,0,,0,,0,0,1
190197009,?? ??? ? ?? ??,1,1,2,1,3,1,4,1,5,1,190197009,1,0,0,需要 【高級分解破片寶箱子】,1,,0,0,0,0,0,,0,,0,0,0,0,0,,0,,0,0,1
190197010,?? ???? ? ?? ??,1,1,2,1,3,1,4,1,5,1,190197010,1,0,0,需要 【高級分解破片寶箱子】,1,,0,0,0,0,0,,0,,0,0,0,0,0,,0,,0,0,1
190197004,10K ???,1,1,2,1,3,1,4,1,5,1,190197004,1,0,0,需要 【10K黃金蛋】,1,,0,0,0,0,0,,0,,0,0,0,0,0,,0,,0,0,1
190197005,14K ???,1,1,2,1,3,1,4,1,5,1,190197005,1,0,0,需要 【14K黃金蛋】,1,,0,0,0,0,0,,0,,0,0,0,0,0,,0,,0,0,1
190197006,18K ???,1,1,2,1,3,1,4,1,5,1,190197006,1,0,0,需要 【18K黃金蛋】,1,,0,0,0,0,0,,0,,0,0,0,0,0,,0,,0,0,1
190197007,24K ???,1,1,2,1,3,1,4,1,5,1,190197007,1,0,0,需要 【24K黃金蛋】,1,,0,0,0,0,0,,0,,0,0,0,0,0,,0,,0,0,1
190192601,?? ??,1,1,2,1,3,1,4,1,5,1,190192601,1,0,0,需要 【大獎箱子】,1,,0,0,0,0,0,,0,,0,0,0,0,0,,0,,0,0,1
190192697,?? ?? ?? ??,1,1,2,1,3,1,4,1,5,1,190192697,1,0,0,需要 【知識猜謎小型證明箱子】,1,,0,0,0,0,0,,0,,0,0,0,0,0,,0,,0,0,1
190192698,?? ?? ?? ??,1,1,2,1,3,1,4,1,5,1,190192698,1,0,0,需要 【知識猜謎中型證明箱子】,1,,0,0,0,0,0,,0,,0,0,0,0,0,,0,,0,0,1
190192699,?? ?? ?? ??,1,1,2,1,3,1,4,1,5,1,190192699,1,0,0,需要 【知識猜謎大型證明箱子】,1,,0,0,0,0,0,,0,,0,0,0,0,0,,0,,0,0,1
190192003,?? ?? ?? ?? ??,1,1,2,1,3,1,4,1,5,1,190192003,1,0,0,需要 【特殊副本大型恢復藥水箱子】,1,,0,0,0,0,0,,0,,0,0,0,0,0,,0,,0,0,1
190193302,??? ?? ??,1,1,2,1,3,1,4,1,5,1,190193302,1,0,0,需要 【升級祝福箱子】,1,,0,0,0,0,0,,0,,0,0,0,0,0,,0,,0,0,1
190170903,???? ?? ???,1,1,2,1,3,1,4,1,5,1,190170903,1,0,0,需要 【尋求公會戒指兌換券】,1,,0,0,0,0,0,,0,,0,0,0,0,0,,0,,0,17000001,1
