ID,_Subject,_Question,_Ex_1,_Ex_2,_Ex_3,_Ex_4,_Ex_5
1,7,政府為支援金融機構的結構調整而準備的資金，當無法回收企業貸款而變成呆帳壞賬時投入的資金是？,不良債權,壓歲錢,社會間接資本,政府資金,小金庫
2,7,由碳元素組成的晶體，被稱為寶石中的帝王，在地球上最堅硬的礦物質是？,鑽石,祖母綠,紅寶石,琥珀,水泥
3,7,該行星在黃昏時見於西方天空時稱作長庚星、太白星，黎明前出現在東方天空時稱作啟明星。這是為什麼呢？,水星,金星,火星,木星,土星
4,7,提煉石油原油時，最後能獲得下面各項中的哪個物質？,煤油,柴油,高粘度船用油,柏油,汽油
5,7,根據柯本氣候分類法，最熱月份均溫10℃是區分冷溫帶與極地帶的標準。那麼這是什麼界線呢？,樹木線,冬候鳥線,農作物種植界線,防寒服穿著界線,無正確答案
6,7,在杯子裡放入冰塊再倒滿水，當杯子裡的冰塊融化時，杯子裡的水會怎麼樣呢？,溢出,減少,保持原狀,消失,蒸發
7,7,下面正確連接元素符號的是？,銅 - Qw,鈉 - Er,鉛 - Ty,鋰 - Ui,氯 - Cl
8,7,從下面的生活工具中可以看出祖先們的哪種生活方式？鐵鍋、石磨、勺子、菜板,衣著,飲食,居住,休閒,趣味
9,7,請選擇過去常用作柴火的物品。,稻草,煤氣,電,石油,鐵
10,7,可以給朋友發送電子郵件或者獲得生活所需的各種知識，而且不去市場也能購買商品的通信手段是？,信件,電報,電話,傳真,互聯網
11,7,如果想瞭解種子的特徵，應該觀察種子的什麼方面呢？,形狀,顏色,大小,形狀和顏色,形狀、顏色和大小
12,7,下面幾項中，最大的種子是？,桃子,扁豆,稻子,玉米,絲瓜
13,7,研究溫度對種子發芽產生的影響時，需要調整的條件是？,溫度,氧氣量,種子大小,給水量,花盆大小
14,4,4隻貓的怪物是？,4隻貓,口袋妖怪,貓女,4隻怪物,豹頭怪物
15,4,倒著長的是？,青春痘,冰淩,斯芬克斯,人,雪人
16,4,冬天復活，夏天死的人是？,雪人,蜉蝣,冬力人,冬天的故事,暑假
17,4,夏天死，冬天復活的人是？,蟾蜍,北極熊,狗,熊,雪人
18,4,級別最高的菌是？,腸道球菌,大腸桿菌,痢疾桿菌,傷寒沙門菌,狀球菌
19,4,會飛的尾巴是？,狗,企鵝,黃鼠狼,黃鶯,海鷗
20,4,五棵樹是？,西洋棋,圍棋,銀杏樹,樹,五目
21,4,已經長成，但還要繼續長大的是？,烏龜,甲魚,哈哈,小矮子,藍精靈
22,4,小偷最喜歡的雪糕是？,西瓜冰棒,誰看你,寶石冰棒,奶油冰棒,螺旋冰棒
23,4,小恐龍Dooly上的學校是？,恐龍學校,這麼看看,動物園,霍邑學校,動物使者
