ID,_Name,_Require1_Type,_Require1_ID,_Require1_Value1,_Require1_Value2,_Require2_Type,_Require2_ID,_Require2_Value1,_Require2_Value2,_Require3_Type,_Require3_ID,_Require3_Value1,_Require3_Value2,_Require4_Type,_Require4_ID,_Require4_Value1,_Require4_Value2,_Require5_Type,_Require5_ID,_Require5_Value1,_Require5_Value2,_Visible,_Acquisition_EffectID1,_Acquisition_EffectID2,_Acquisition_EffectID3,_Acquisition_EffectID4,_Acquisition_EffectID5,_Acquisition_ItemID1,_Acquisition_StackCount1,_Acquisition_Rare1,_Acquisition_ItemID2,_Acquisition_StackCount2,_Acquisition_Rare2,_Mission_Type1,_Mission_ID1,_Mission_Count1,_Mission_Type2,_Mission_ID2,_Mission_Count2,_Mission_Type3,_Mission_ID3,_Mission_Count3,_Mission_Type4,_Mission_ID4,_Mission_Count4,_Complete_NPCID,_Consumption_ItemID1,_Consumption_ItemCount1,_Consumption_ItemID2,_Consumption_ItemCount2,_Consumption_ItemID3,_Consumption_ItemCount3,_Consumption_ItemID4,_Consumption_ItemCount4,_Consumption_ItemID5,_Consumption_ItemCount5,_Rank1_Require1_Type,_Rank1_Require1_ID,_Rank1_Require1_Value1,_Rank1_Require1_Value2,_Rank1_Require2_Type,_Rank1_Require2_ID,_Rank1_Require2_Value1,_Rank1_Require2_Value2,_Rank2_Require1_Type,_Rank2_Require1_ID,_Rank2_Require1_Value1,_Rank2_Require1_Value2,_Rank2_Require2_Type,_Rank2_Require2_ID,_Rank2_Require2_Value1,_Rank2_Require2_Value2,_Rank3_Require1_Type,_Rank3_Require1_ID,_Rank3_Require1_Value1,_Rank3_Require1_Value2,_Rank3_Require2_Type,_Rank3_Require2_ID,_Rank3_Require2_Value1,_Rank3_Require2_Value2,_Rank1_ID1,_Rank2_ID1,_Rank3_ID1,_Quest_AcceptType,_Quest_CompletionDel,_Quest_Type,_Complete_Remote,_IsUnique,_RewardType,_REWARD_REP,_Hero_Mission,_Reward_Lv
115003000,花之少女,4,2,115003000,1,1,3,8,0,9,1,2,0,1,1,10038,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,5,4,1,0,0,0,0,0,0,0,0,0,7001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115003000,0,0,8,0,3,0,1,1,0,0,8
115005000,迭爾的弓 (1),4,2,115005000,1,1,3,11,0,4,1,115003000,1,1,1,10038,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,5,5,1,3,190132306,1,0,0,0,0,0,0,6002,190132306,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115005000,0,0,8,0,3,0,1,1,0,0,11
115007000,迭爾的弓 (2),4,2,115007000,1,1,3,11,0,4,1,115005000,1,1,1,10038,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,5,7,1,3,80999211,1,0,0,0,0,0,0,7003,80999211,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115007000,0,0,8,0,3,0,1,1,0,0,11
115009000,我是莫恩,4,2,115009000,1,1,3,30,0,4,1,115007000,1,1,1,10038,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,5,9,1,0,0,0,0,0,0,0,0,0,7007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115009000,0,0,8,0,3,0,1,1,0,0,30
115012000,消失的樂師,4,2,115012000,1,1,3,50,0,9,1,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,5,12,1,0,0,0,0,0,0,0,0,0,1065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115012000,0,0,8,0,3,0,1,1,0,0,50
115013000,災難的種子,4,2,115013000,1,1,3,50,0,4,1,115012000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,5,13,1,3,190139101,15,0,0,0,0,0,0,7008,190139101,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115013000,0,0,8,0,3,0,1,1,0,0,50
115015000,劍花，蕭羽,4,2,115015000,1,1,3,50,0,4,1,115013000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,5,15,1,0,0,0,0,0,0,0,0,0,7009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115015000,0,0,8,0,3,0,1,1,0,0,50
115016000,八仙秘藥,4,2,115016000,1,1,3,50,0,4,1,115015000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,3,190117002,30,0,0,0,0,0,0,0,0,0,7010,190117002,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115016000,0,0,8,0,3,0,1,1,0,0,50
115017000,玄武洞的相遇,4,2,115017000,1,1,3,50,0,4,1,115016000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,5,17,1,1,810001706,1,0,0,0,0,0,0,7013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115017000,0,0,8,0,3,0,1,1,0,0,50
115018000,黑月城的異變,4,2,115018000,1,1,3,53,0,4,1,115017000,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,5,18,1,0,0,0,0,0,0,0,0,0,7016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115018000,0,0,8,0,3,0,1,1,0,0,53
