ID,_Group,_Rank,_ItemID,_ItemRare,_ItemPoint,_ItemCount,_Ely,_Exp_Factor
1,1,1,190179901,1,0,10,0,100000
2,1,2,190179901,1,0,7,0,70000
3,1,3,190179901,1,0,5,0,50000
4,1,4,190179901,1,0,5,0,50000
5,1,5,190179901,1,0,5,0,50000
6,1,6,190179901,1,0,5,0,50000
7,1,7,190179901,1,0,5,0,50000
8,1,8,190179901,1,0,5,0,50000
9,1,9,190179901,1,0,5,0,50000
10,1,10,190179901,1,0,5,0,50000
11,1,11,190179901,1,0,5,0,30000
12,1,12,190179901,1,0,5,0,30000
13,1,13,190179901,1,0,5,0,30000
14,1,14,190179901,1,0,5,0,30000
15,1,15,190179901,1,0,5,0,30000
16,1,16,190179901,1,0,5,0,30000
17,1,17,190179901,1,0,5,0,30000
18,1,18,190179901,1,0,5,0,30000
19,1,19,190179901,1,0,5,0,30000
20,1,20,190179901,1,0,5,0,30000
