ID,_Red,_Green,_Blue
1,0,255,255
2,51,204,255
3,51,143,255
4,102,153,255
5,102,255,204
6,102,255,255
7,102,204,255
8,153,204,255
9,153,153,255
10,102,255,153
11,153,255,204
12,204,255,255
13,204,236,255
14,204,204,255
15,204,153,255
16,102,255,102
17,153,255,153
18,204,255,204
19,255,255,255
20,255,204,255
21,255,153,255
22,255,102,255
23,153,255,102
24,204,255,153
25,255,255,204
26,255,204,204
27,255,153,204
28,255,102,204
29,204,255,102
30,255,255,153
31,255,204,153
32,255,153,153
33,255,102,153
34,255,255,102
35,255,204,102
36,255,153,102
37,255,153,153
