ID,_Icon1,_IconIndex1,_Place_Info1,_NPC_Info1,_Icon2,_IconIndex2,_Place_Info2,_NPC_Info2,_Talk1,_Talk2,_Purpose,_Accept_Message,_Accept_Image,_Complete_Message,_Complete_Image,_City_Name,_Mission_OnOff1,_Mission_OnOff2,_Mission_OnOff3,_Mission_OnOff4,_Quest_BaseLV,_Quest_Kind,_Quest_Guidegroup,_Quest_Npcposition,_Quest_Purpseposition,_Quest_Next,_Quest_Guidediable,_Quest_DifficultyLV,_Mission_Note1,_Npc_Talk1,_Npc_Talk2,_Npc_Talk3,_Npc_Talk4
148101001,10005000,217,新手訓練場 1,萊莉,10005000,217,新手訓練場 1,萊莉,頭頂上顯示驚嘆號(!)的人即是帶有任務的人。接收並執行任務後會改成問號(?)，故若看到問號時請完成任務~,那麼要不要簡單地來練習一下接收與完成任務呢? 這次任務就先省略了喔~,"點擊""萊莉""後完成任務。",有看到完成的標誌和NPC旁邊的V符號吧? 請再次點擊任務後，試著完成任務。,0,做得很好。不難吧? 可以於貝羅斯中接受下一次的輔導喔。,0,22,1,1,1,1,1,一般,2,1,1,0,1,1,,0,0,0,0
144901001,10005000,2,山林地帶,亞瑟絲,10005000,2,貝羅斯,亞瑟絲,現在應該要來試著對付怪物了吧? 在村莊附近的山林地帶有叫作耶比妹妹的怪物們。對於第一次對付怪物的你來說，他們是再好不過了。,只要試著抓個幾隻看看。,"狩獵""山林地帶""的 [耶比妹妹]後，向""山林地帶""的 ""亞瑟絲""報告任務。",那麼我就在山林地帶等你喔~,0,怎麼樣? 沒有那麼難吧?,0,1,1,1,1,1,2,一般,2,2,3,0,0,2,,0,0,0,0
144901002,10005000,2,山林地帶,亞瑟絲,10005000,2,貝羅斯,亞瑟絲,在已接收任務的狀態下對付怪物時，可以獲得特別的道具。請收集這些東西。,首先，請收集 [香囊]。該物可以從兵蟻G那邊得到。,"從""山林地帶""的 [兵蟻G]那收集到 <香囊>後， 向""山林地帶""的 ""亞瑟絲""報告。",那麼我就在山林地帶等你喔~,0,怎麼樣? 很簡單吧?,0,1,1,1,1,1,2,一般,2,2,3,0,0,2,,0,0,0,0
144901003,10005000,2,山林地帶,亞瑟絲,10005000,2,貝羅斯,亞瑟絲,聽說最近樹林裡的野狗成群結隊。,可能也會對旅行者與村裡的孩子們造成危險。,"請狩獵""山林地帶""的 [野狗]後，向 ""山林地帶""的 ""亞瑟絲""報告。",那麼我就在山林地帶等你喔~,0,謝謝你。這是對你的謝意。,0,1,1,1,1,1,2,一般,2,2,3,0,0,2,,0,0,0,0
144901004,10005000,2,山林地帶,亞瑟絲,10005000,2,貝羅斯,亞瑟絲,呃嗯。最近受到野狼與野狗迫害的人漸漸增加中。似乎必須要認真處理這件事情了。,不幫我去狩獵野狗與野狼嗎?拜託。,"請從""山林地帶""的 [野狗]那收集 <粗糙的毛>、從野狼那收集 <葉子>後，向 ""山林地帶""的 ""亞瑟絲""報告。",那麼我就在山林地帶等你喔~,0,辛苦了。現在有熟悉一點了嗎?,0,1,1,1,1,1,2,一般,2,2,3,0,0,2,,0,0,0,0
148101002,10005000,2,貝羅斯,亞瑟絲,10005000,2,貝羅斯,亞瑟絲,要不要使用 <技能>來讓戰鬥更容易呢? 於選單中選擇技能，或是按下快捷鍵K即可開啟技能視窗。若將所學習到的技能放至快捷欄，使用起來會更加方便喔~,若提升等級則可以獲得技能點數。 等級越高越可以使用更華麗、更強大的技能~ 若想再聽一次技能說明，歡迎您隨時跟我搭話喔。,"可以馬上向""亞瑟絲""完成任務。",可以馬上完成任務喔~,0,下次戰鬥時記得一定要試用看看技能喔!,0,1,1,1,1,1,1,一般,2,2,2,0,0,1,,0,0,0,0
144002001,10005000,2,冥王神殿,亞瑟絲,10005000,2,山林地帶,亞瑟絲,那麼，我們再試著狩獵看看更困難一些的山林地帶怪物吧。,你有聽說奇特蜥蜴的故事嗎? 牠的長相在動物群中也非常特別。牠的脖子上有著像荷葉邊的裝飾呢。,"狩獵""古木林""的 [小綠龍]後向 ""冥王神殿""的""亞瑟絲""報告。",看到後請別太過驚訝啊~,0,小綠龍... 不覺得有點可愛嗎?,0,1,1,1,1,1,8,一般,2,3,47,0,0,8,,0,0,0,0
144002002,10005000,2,冥王神殿,亞瑟絲,10005000,2,山林地帶,亞瑟絲,位於古木林裡的青狼比起野狗和野狼還要來得危險。,牠不會隨便猛撲，但牠一旦生氣的話就會變得具有攻擊性。,"狩獵""古木林""的 [青狼]後，向 ""冥王神殿""的""亞瑟絲""報告。",若你慎重對付牠的話是應付得來的。,0,還好嗎?,0,1,1,1,1,1,8,一般,2,3,47,0,0,8,,0,0,0,0
144002003,10005000,2,冥王神殿,亞瑟絲,10005000,2,山林地帶,亞瑟絲,到了能夠在古木林中狩獵野豬的時期了呢。,狩獵到野豬後交給沃爾丁的話，餐廳裡的菜單似乎會變得更加豐富又多樣化呢。,"從""古木林""的 [野豬]那收集 <野豬獠牙>後，向 ""冥王神殿""的""亞瑟絲""報告。",請小心野豬的猛衝突進!,0,真棒! 開始期待餐廳的新菜單了呢!,0,1,1,1,1,1,8,一般,2,3,47,0,0,8,,0,0,0,0
148101003,10005000,2,山林地帶,亞瑟絲,10005000,2,山林地帶,亞瑟絲,您知道技能中有個叫 <行動技能> 的嗎?,,"向""亞瑟絲""按下對話鍵後，聽取有關行動技能的說明並完成任務。",,0,,0,1,1,1,1,1,8,一般,2,3,3,0,0,8,,0,0,0,0
144003001,10005000,1,艾利亞斯,伊克納特,10005000,2,冥王神殿,亞瑟絲,冥王神殿的怪物中有個叫作花花衛兵的傢伙，那傢伙十分難對付呢。,若熟悉那能夠有效抵抗花花衛兵攻擊的要領，那麼於往後的冒險中也會有所幫助的。,"狩獵""冥王神殿""的 [花花衛兵]後，向 ""艾利亞斯""的 ""伊克納特""報告。",那麼，請小心囉~,0,辛苦了~,0,1,1,1,1,1,11,一般,2,4,4,0,0,11,,0,0,0,0
144003002,10005000,1,艾利亞斯,伊克納特,10005000,2,冥王神殿,亞瑟絲,除了花花衛兵之外，泡泡形怪物的數量也相當多。,那其中有非常麻煩的傢伙，請注意別散漫分心囉。,"狩獵""冥王神殿""的 [黃甲衛兵]和 [啵啵]後，向 ""艾利亞斯""的 ""伊克納特""報告。",那麼，請小心囉~,0,辛苦了~,0,1,1,1,1,1,11,一般,2,4,4,0,0,11,,0,0,0,0
144003003,10005000,1,艾利亞斯,伊克納特,10005000,2,冥王神殿,亞瑟絲,最近前去冥王神殿冒險的人越來越多了。但是啊，沒有仔細確認與了解有關怪物的資訊而受苦的人似乎很多。,您應該是沒問題啦，但是對於第一次看到的怪物請多多留意。,"從""冥王神殿""的綠凍凍那收集 <高級果凍>後，向 ""艾利亞斯""的 ""伊克納特""報告。",那麼，要不要狩獵下隻怪物啊?,0,辛苦了~,0,1,1,1,1,1,11,一般,2,4,4,0,0,11,,0,0,0,0
144003004,10005000,1,艾利亞斯,伊克納特,10005000,2,冥王神殿,亞瑟絲,在神殿裡面有個在說奇怪的話的哥布林型怪物。牠一定是叫作哥布哥布對吧?,連叫作啵啵的怪物都有，真神奇呢，啵啵啵啵哥布哥布啵啵啵啵…,"狩獵""冥王神殿""的 [哥布哥布]後，向 ""艾利亞斯""的 ""伊克納特""報告。",…這可以練習發音耶?,0,辛苦了~,0,1,1,1,1,1,11,一般,2,4,4,0,0,11,,0,0,0,0
144003005,10005000,1,艾利亞斯,伊克納特,10005000,2,冥王神殿,亞瑟絲,哥布林們有翻找別人口袋的習慣，是非常麻煩的怪物。,聽說他們的寶石缸中裝滿了村里居民跟旅行者們的物品!,"從""冥王神殿""的 [哥布林]那收集到哥布林的 <寶石缸>後， 向 ""艾利亞斯""的 ""伊克納特""報告。",如果能夠找回那些物品，並將它們歸還給主人的話就太好了?。,0,辛苦了~,0,1,1,1,1,1,11,一般,2,4,4,0,0,11,,0,0,0,0
144003006,10005000,1,艾利亞斯,伊克納特,10005000,2,冥王神殿,亞瑟絲,大王哥布林是冥王神殿中最危險的怪物。,是非常令人厭煩的對象，你看到的話務必要小心決鬥!,"狩獵""冥王神殿""的 [大王哥布林]後，向 ""艾利亞斯""的 ""伊克納特""報告。",您應該會做得不錯。但還是請您要小心~,0,辛苦了~,0,1,1,1,1,1,11,一般,2,4,4,0,0,11,,0,0,0,0
148101004,10005000,1,艾利亞斯,伊克納特,10005000,1,艾利亞斯,伊克納特,你有看過那種在名字上面掛有帥氣文句的人嗎? 那個啊就叫作 '稱號' 。你在旅行的過程中一定會取得各種稱號的。那會賦予你多樣的能力值，也帶有回憶自身旅行成就的意義。若入手的話想必會非常滿足的。,我會給你一個稱號，試著用用看吧。暗下T鍵即可馬上配戴喔。,"向 ""艾利亞斯""的 ""伊克納特""報告。",完成任務時，就馬上給你一個可以配戴的稱號喔。,0,祝您找到喜歡的帥氣稱號喔。,0,1,1,1,1,1,11,一般,2,6,6,0,0,11,,0,0,0,0
