ID,_GroupID,_Rank,_Mission_Type1,_Mission_ID1,_Mission_Value1-1,_Mission_Value1-2,_Mission_Type2,_Mission_ID2,_Mission_Value2-1,_Mission_Value2-2,_Mission_Type3,_Mission_ID3,_Mission_Value3-1,_Mission_Value3-2,_Mission_Type4,_Mission_ID4,_Mission_Value4-1,_Mission_Value4-2,_Reward_Type1,_Reward_ID1,_Reward_Type2,_Reward_ID2,_Reward_Type3,_Reward_ID3,_Reward_Type4,_Reward_ID4
1,1,1,1,1,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,1,1910017,0,0,0,0,0,0
2,1,1,1,1,1201,1500,0,0,0,0,0,0,0,0,0,0,0,0,1,1910027,0,0,0,0,0,0
3,1,1,1,1,1501,2000,0,0,0,0,0,0,0,0,0,0,0,0,1,1910028,0,0,0,0,0,0
4,2,1,1,1,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,1,1860024,0,0,0,0,0,0
5,2,1,1,1,1201,1500,0,0,0,0,0,0,0,0,0,0,0,0,1,1860036,0,0,0,0,0,0
6,2,1,1,1,1501,2000,0,0,0,0,0,0,0,0,0,0,0,0,1,1860037,0,0,0,0,0,0
7,3,1,1,1,0,1200,0,0,0,0,0,0,0,0,0,0,0,0,1,1920017,0,0,0,0,0,0
8,3,1,1,1,1201,1500,0,0,0,0,0,0,0,0,0,0,0,0,1,1920030,0,0,0,0,0,0
9,3,1,1,1,1501,2000,0,0,0,0,0,0,0,0,0,0,0,0,1,1920031,0,0,0,0,0,0
10,4,1,1,1,0,1080,0,0,0,0,0,0,0,0,0,0,0,0,1,1870017,0,0,0,0,0,0
11,4,1,1,1,1081,1380,0,0,0,0,0,0,0,0,0,0,0,0,1,1870030,0,0,0,0,0,0
12,4,1,1,1,1381,2000,0,0,0,0,0,0,0,0,0,0,0,0,1,1870031,0,0,0,0,0,0
13,5,1,1,1,0,780,0,0,0,0,0,0,0,0,0,0,0,0,1,1970059,0,0,0,0,0,0
14,5,1,1,1,781,900,0,0,0,0,0,0,0,0,0,0,0,0,1,1970060,0,0,0,0,0,0
15,5,1,1,1,901,1500,0,0,0,0,0,0,0,0,0,0,0,0,1,1970061,0,0,0,0,0,0
16,6,1,1,1,0,780,0,0,0,0,0,0,0,0,0,0,0,0,1,1960015,0,0,0,0,0,0
17,6,1,1,1,781,900,0,0,0,0,0,0,0,0,0,0,0,0,1,1960016,0,0,0,0,0,0
18,6,1,1,1,901,1500,0,0,0,0,0,0,0,0,0,0,0,0,1,1960017,0,0,0,0,0,0
19,7,1,1,1,0,660,0,0,0,0,0,0,0,0,0,0,0,0,1,2120006,0,0,0,0,0,0
20,7,1,1,1,661,900,0,0,0,0,0,0,0,0,0,0,0,0,1,2120007,0,0,0,0,0,0
21,7,1,1,1,901,1500,0,0,0,0,0,0,0,0,0,0,0,0,1,2120008,0,0,0,0,0,0
22,8,1,1,1,0,801,0,0,0,0,0,0,0,0,0,0,0,0,1,2570024,0,0,0,0,0,0
23,9,1,1,1,0,801,0,0,0,0,0,0,0,0,0,0,0,0,1,2580031,0,0,0,0,0,0
24,10,1,1,1,0,601,0,0,0,0,0,0,0,0,0,0,0,0,1,2071402,0,0,0,0,0,0
25,11,1,1,1,0,601,0,0,0,0,0,0,0,0,0,0,0,0,1,3224002,0,0,0,0,0,0
26,12,1,1,1,0,136,0,0,0,0,0,0,0,0,0,0,0,0,1,3252901,0,0,0,0,0,0
27,13,1,1,1,0,901,0,0,0,0,0,0,0,0,0,0,0,0,1,3320801,0,0,0,0,0,0
28,14,1,1,1,0,601,0,0,0,0,0,0,0,0,0,0,0,0,1,600000131,0,0,0,0,0,0
29,15,1,1,1,0,601,0,0,0,0,0,0,0,0,0,0,0,0,1,600000151,0,0,0,0,0,0
30,16,1,1,1,0,601,0,0,0,0,0,0,0,0,0,0,0,0,1,3500601,0,0,0,0,0,0
31,17,1,1,1,0,301,0,0,0,0,0,0,0,0,0,0,0,0,1,1840202,0,0,0,0,0,0
32,18,1,1,1,0,601,0,0,0,0,0,0,0,0,0,0,0,0,1,3741001,0,0,0,0,0,0
33,19,1,1,1,0,601,0,0,0,0,0,0,0,0,0,0,0,0,1,600000257,0,0,0,0,0,0
34,20,1,1,1,0,601,0,0,0,0,0,0,0,0,0,0,0,0,1,600000262,0,0,0,0,0,0
35,21,1,1,1,0,601,0,0,0,0,0,0,0,0,0,0,0,0,1,600000322,0,0,0,0,0,0
36,23,1,1,1,0,601,0,0,0,0,0,0,0,0,0,0,0,0,1,600000337,0,0,0,0,0,0
37,24,1,1,1,0,181,0,0,0,0,0,0,0,0,0,0,0,0,1,600000383,0,0,0,0,0,0
38,25,1,1,1,0,301,0,0,0,0,0,0,0,0,0,0,0,0,1,19060501,0,0,0,0,0,0
39,26,1,1,1,0,301,0,0,0,0,0,0,0,0,0,0,0,0,1,600000410,0,0,0,0,0,0
40,27,1,1,1,0,601,0,0,0,0,0,0,0,0,0,0,0,0,1,600000433,0,0,0,0,0,0
41,28,1,1,1,0,181,0,0,0,0,0,0,0,0,0,0,0,0,1,600000450,0,0,0,0,0,0
42,29,1,1,1,0,301,0,0,0,0,0,0,0,0,0,0,0,0,1,600000458,0,0,0,0,0,0
43,30,1,1,1,0,420,1,1,0,420,1,1,0,420,0,0,0,0,1,4560401,1,4560504,1,4560505,0,0
44,30,1,1,1,421,2400,1,1,421,2400,1,1,421,2400,0,0,0,0,1,4560406,1,4560504,1,4560505,0,0
