ID,_CutInImage,_Npcname,_Message,_EventType1,_TypeID1,_Text1,_EventType2,_TypeID2,_Text2,_EventType3,_TypeID3,_Text3,_EventType4,_TypeID4,_Text4,_EventType5,_TypeID5,_Text5,_EventType6,_TypeID6,_Text6
999,1,??,????? ID,1,0,,0,0,,0,0,,0,0,,0,0,,0,0,
1001,5,愛麗絲,你好，旅行者…!,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
1002,19,紅色阿飛歐,我是「紅色阿飛歐」!很高興認識你!,4,21899,1. 任務,0,0,,0,0,,0,0,,0,0,,0,0,
1003,30,藍色阿飛歐,主人 安好，我是「藍色阿飛歐」,4,10003,1. 教學任務,0,0,,0,0,,0,0,,0,0,,0,0,
1004,31,黃色阿飛歐,誰…是誰…..是誰在偷看我練功……,4,10005,1. 教學任務,0,0,,0,0,,0,0,,0,0,,0,0,
1005,33,耶比姊姊,主人 日安 我是「耶比姊姊」，「耶比姊姊」就是我。,4,10004,1. 教學任務,0,0,,0,0,,0,0,,0,0,,0,0,
1006,35,粉粉耶比,給我粉紅..其餘免談…,4,10006,1. 教學任務,0,0,,0,0,,0,0,,0,0,,0,0,
1007,19,紅色阿飛歐,我是「紅色阿飛歐」。試著念念看!,4,10007,1. 任務,10,10071,2. 兌換新手武器,0,0,,0,0,,0,0,,0,0,
1008,741,亞瑟絲,很高興見到你，請試著用各種技能去進行冒險吧。,1,115601000,1. 對話,4,102,2. 任務,0,0,,0,0,,0,0,,0,0,
1009,753,愛思泰,您好，謝謝你來找我。需要什麼嗎?,1,115602000,1. 對話,4,10091,2. 任務,2,91,3. 道具交易,2,92,4. 拼圖和魔盒,0,0,,0,0,
1010,765,凱佩爾,有什麼事情嗎?,1,115603000,1. 對話,2,2800,2. 武器交易(物理系列),2,2820,3. 武器交易(魔法系列),2,2801,4. 武器交易(副職業),4,10101,5. 任務,0,0,
1011,733,巴特,喔喔∼歡迎歡迎!有什麼事情嗎?,1,115604000,1. 對話,4,10111,2. 任務,2,112,3. 交易防具,0,0,,0,0,,0,0,
1012,737,亞蓮,很高興見到你。我是從艾利亞斯的物品保管處總部派遣而來的亞蓮，有什麼可以幫你的嗎?,1,115605000,1. 對話,4,108,2. 任務,0,0,,0,0,,0,0,,0,0,
1013,725,洛汗,很高興見到你，呼∼我來到貝羅斯已經有45年了。,1,115606000,1. 對話,4,103,2. 任務,2,131,3. 特別道具交易,10,10131,4. 凝聚舞扇忍者氣息的圖騰碎片兌換,0,0,,0,0,
1014,48,貝羅斯區域傳點,"超時空網路通訊中…H-E-L-L-O,我是拉姆亞。",9,141,1. 使用區域傳點,0,0,,0,0,,0,0,,0,0,,0,0,
1015,49,排名佈告欄,要公佈了---啊!,17,12345678,1. 排名,0,0,,0,0,,0,0,,0,0,,0,0,
1016,50,莫亞,歡迎來到莫亞的拍賣場!,1,115607000,1. 對話,4,10161,2. 任務,0,0,,0,0,,0,0,,0,0,
1017,51,賽蘿,屋嚕嚕…請來看看可愛的同伴寵物喔!,2,171,1. 購買寵物物品,10,10171,2. 領養特殊的寵物,10,10172,3. 寵物活動,4,10171,4. 任務,10,10173,5. [活動]領養特殊的寵物,0,0,
1018,51,賽蘿,屋嚕嚕…請來看看可愛的同伴寵物喔!,1,115608000,1. 對話,2,181,2. 購買寵物物品,10,10181,3. 領養特殊的寵物,10,10182,4. 寵物活動,10,10183,5. [活動]領養特殊的寵物,0,0,
1019,729,美琳,你好∼這裡有非常多漂亮的衣服。,1,115609000,1. 對話,4,104,2. 任務,2,191,3. 交易首飾物品,0,0,,0,0,,0,0,
1020,757,沃爾丁,呵呵，很高興見到你。有需要什麼嗎?還是想要和我這個老人對話呢?,1,115610000,1. 對話,4,10201,2. 任務,10,10201,3. 兌換任務道具,0,0,,0,0,,0,0,
1021,749,愛琳,天啊∼是帥氣的客人啊!很高興見到你∼,1,115611000,1. 對話,4,10211,2. 任務,0,0,,0,0,,0,0,,0,0,
1022,745,愛伊琳,你好，我們酒店可以替你解除疲勞，度過愉快的休息時光的。,1,115612000,1. 對話,4,10221,2. 任務,0,0,,0,0,,0,0,,0,0,
1023,56,貝伊兒,站起來吧，鬥士們啊!,4,231,1. 怪物競技場 (初級),4,232,2. 怪物競技場 (中級),4,233,3. 怪物競技場(高級),4,234,4. 怪物競技場(高難度/獎勵),0,0,,0,0,
1024,56,努納貝爾,在壯烈的戰鬥後，隨之而來的是甜美的休息，同時有豐盛的獎勵∼,10,241,1. 兌換競技場物品,10,242,2. 兌換競技場裝備,4,243,3. 怪物競技場 任務,2,10241,4. 道具交易,0,0,,0,0,
1025,57,朵莉亞,你好，我是艾利亞斯物品店的朵莉亞。,1,115613000,1. 對話,4,25,2. 任務,2,251,3. 道具交易,2,252,4. 拼圖和魔盒,0,0,,0,0,
1026,58,尚恩,Hi∼很高興見到你!今天過的如何啊?,1,115614000,1. 對話,4,261,2. 任務,2,2810,3. 武器交易(物理系列),2,2821,4. 武器交易(魔法系列),2,2811,5. 武器交易(副職業),0,0,
1027,59,瑞米,你好!今天也要加油喔!,1,115615000,1. 對話,4,10271,2. 任務,2,272,3. 交易防具,0,0,,0,0,,0,0,
1028,60,亞拉,你好，歡迎來到首飾店∼,1,115616000,1. 對話,4,10281,2. 任務,2,281,3. 交易首飾物品,0,0,,0,0,,0,0,
1029,61,亞輝,嗯，有什麼可以幫助你的嗎?,1,115617000,1. 對話,4,29,2. 任務,0,0,,0,0,,0,0,,0,0,
1030,62,兔女郎,美麗又帥氣的冒險家還真多啊~★,4,10301,1. 活動任務,10,10301,2. 職業服裝兌換,10,10302,3. 其它道具兌換,10,10303,4. 鑰匙道具兌換,0,0,,0,0,
1031,63,寶拉,Event!是任務∼,10,301,1. 兌換特殊物品,10,302,2. 猜謎獎勵,10,10311,3. 彩虹島皇家兌換,10,10312,4. 兌換職業服裝,10,10313,5. 兌換時尚商店道具,0,0,
1032,48,艾利亞斯區域傳點,"超時空網路通訊中…H-E-L-L-O,我是拉姆亞。",9,321,1. 使用區域傳點,0,0,,0,0,,0,0,,0,0,,0,0,
1033,64,夏奴伊,我說年輕人啊，艾利亞斯仍然不停歇地一直在開發中呢。,1,115618000,1. 對話,4,209,2. 任務,2,331,3. 道具交易,2,332,4. 拼圖和魔盒,0,0,,0,0,
1034,65,傑尼斯,想要搭乘航空機的客人，來找我就對了。,1,115619000,1. 想要進行對話,4,10341,2. 瞭解任務,9,341,3. 使用航空機,0,0,,0,0,,0,0,
1035,761,伊克納特,是開始正式進入冒險的日子了啊，那麼就祝你戰鬥過程一路平安了!,1,115620000,1. 對話,4,101,2. 任務,25,101,3. 物品圖鑑登錄,0,0,,0,0,,0,0,
1036,67,修普勒,我正在負責管理工會的所有業務。,26,20230000,1. 變更公會種類,0,0,2. 兌換公會移轉道具,0,0,,0,0,,0,0,,0,0,
1037,68,中立的修普勒,我正在負責管理工會的所有業務。,12,29801001,1. 變更公會徽章,2,371,2. 交易,10,371,3. 兌換公會物品,4,1037,4. 任務,0,0,,0,0,
1038,69,秩序的修普勒,我正在負責管理工會的所有業務。,12,29802001,1. 變更公會徽章,2,381,2. 交易,10,381,3. 兌換公會物品,4,1038,4. 任務,0,0,,0,0,
1039,70,邪惡的修普勒,我正在負責管理工會的所有業務。,12,29803001,1. 變更公會徽章,2,391,2. 交易,10,391,3. 兌換公會物品,4,1039,4. 任務,0,0,,0,0,
1040,71,夏洛,今天，明天，每天都很歡樂的彩虹島物語!,4,10401,1. 任務,20,29800007,2. 屬性物品鎖定以及解除,1,115621000,3. 物品鎖定功能是什麼?,28,29800008,4. 物品封印,0,0,,0,0,
1041,77,德尼歐,我是從亞特蘭提斯來購買物品的。,1,115622000,1. 想要進行對話,4,10411,2. 瞭解任務,15,41,3. 屬性重置,0,0,,0,0,,0,0,
1042,78,碧安卡,YA-HO∼!我可以更輕鬆地幫助你進行製作喔!,1,115623000,1. 對話,4,10421,2. 任務,0,0,,0,0,,0,0,,0,0,
1043,79,希斯,"歡迎你來到艾利亞斯最大,最棒的物品保管處。",1,115624000,1. 對話,4,10431,2. 任務,0,0,,0,0,,0,0,,0,0,
1044,80,貝倫,我會誠心誠意地協助你的。,1,115625000,1. 對話,4,441,2. 任務,10,10441,3. 兌換任務道具,0,0,,0,0,,0,0,
