ID,_Icon1,_IconIndex1,_Place_Info1,_NPC_Info1,_Icon2,_IconIndex2,_Place_Info2,_NPC_Info2,_Talk1,_Talk2,_Purpose,_Accept_Message,_Accept_Image,_Complete_Message,_Complete_Image,_City_Name,_Mission_OnOff1,_Mission_OnOff2,_Mission_OnOff3,_Mission_OnOff4,_Quest_BaseLV,_Quest_Kind,_Quest_Guidegroup,_Quest_Npcposition,_Quest_Purpseposition,_Quest_Next,_Quest_Guidediable,_Quest_DifficultyLV,_Mission_Note1,_Npc_Talk1,_Npc_Talk2,_Npc_Talk3,_Npc_Talk4,_Npc_Talk5,_Npc_Talk6
112000001,10005000,53,奧亦奇村莊,凱伊,10005000,56,奧亦奇村莊,塔莫里,去見過凱伊嗎？他正在尋找像您這種品行端正且優秀的冒險家呢。,凱伊好像正在尋找像您這種品德高尚的冒險家呢，您不妨到凱伊那兒看看呀？,需要與“奧亦奇”的“凱伊”對話。,凱伊好像急著找你，趕緊過去助他一臂之力吧。,0,啊！我聽塔莫里說過很多關於冒險家的故事。,0,4,1,1,1,1,51,一般,2,20,20,112000002,1,51,,0,0,0,0,0,0
112000002,10005000,53,奧亦奇村莊,凱伊,10005000,53,奧亦奇村莊,凱伊,通過那些傳聞，冒險家您也應該很清楚這村裡發生的事情吧。,我也有件事情需要拜託冒險家呢，您能否先到沙漠地帶打敗一下最弱的耶比姐姐呢？我想先確認一下您的實力……,需要消滅“沙漠地帶”的[耶比姐姐] 20隻。,那麼我就等著你了。,0,果然傳聞是沒有錯的。,0,4,1,1,1,1,51,一般,2,20,24,112000003,1,51,,0,0,0,0,0,0
112000003,10005000,53,奧亦奇村莊,凱伊,10005000,53,奧亦奇村莊,凱伊,我之所以叫冒險家您到這裡，是因為那些橫穿奧亦奇和阿法村的沙漠地帶的怪物們。,天氣還這麼炎熱，那沙漠地帶還有那些怪物，真是一刻都不能放心呀。,需要消滅“沙漠地帶”的[耶比姐姐] 10隻， [禿鷲] 10隻。,冒險家能幫我處理這件事情嗎？,0,很了不起。,0,4,1,1,1,1,51,一般,2,20,24,112000004,1,51,,0,0,0,0,0,0
112000004,10005000,53,奧亦奇村莊,凱伊,10005000,53,奧亦奇村莊,凱伊,據說，禿鷲是沙漠地帶特有的鳥類，雖不能飛翔，但其力量強大。,如果運用那些強大大傢伙的筋的話，就能給在奧亦奇村準備旅程的冒險家，賣出很不錯的武器呢，冒險家您能幫忙一下嗎？,需要從“沙漠地帶”的 [禿鷲] 那裡收集 <禿鷲的筋> 18個。,那就拜託了。,0,謝謝。,0,4,1,1,1,1,51,一般,2,20,24,112000005,1,51,,0,0,0,0,0,0
112000005,10005000,53,奧亦奇村莊,凱伊,10005000,53,奧亦奇村莊,凱伊,近來，在奧亦奇的孩童們失去了笑容，真是擔心呀！,孩子們找回笑容，這村子才能和睦呀……您知道讓人不得不笑起來的方法嗎？,需要從“沙漠地帶”的 [禿鷲] 那裡收集 <禿鷲的羽毛> 18個。,孩子們會不會因為禿鷹的羽毛搔癢而笑呢？,0,果然很厲害。,0,4,1,1,1,1,51,一般,2,20,24,112000006,1,51,,0,0,0,0,0,0
112000006,10005000,53,奧亦奇村莊,凱伊,10005000,53,奧亦奇村莊,凱伊,冒險家您前不久拿過來的禿鷲筋銷量遠超過了預期。,我想研發成村裡的新特產品，冒險家您能再幫我拿禿鷲的筋來嗎?,需要從“沙漠地帶”的 [禿鷲] 那裡收集 <禿鷲的筋> 18個。,那就拜託了。,0,多虧冒險家，應該能製作出新的特產物。,0,4,1,1,1,1,51,一般,2,20,24,112000007,1,51,,0,0,0,0,0,0
112000007,10005000,56,奧亦奇村莊,塔莫里,10005000,53,奧亦奇村莊,凱伊,塔莫里聽到關於冒險家您的傳聞後，正在找您呢。,去一趟塔莫里那裡呀？,需要與“奧亦奇”的“塔莫里”對話。,好好幫助塔莫里的事情吧。,0,來了？一直等著你呢。,0,4,1,1,1,1,51,一般,2,20,20,0,1,51,,0,0,0,0,0,0
112000008,10005000,56,奧亦奇村莊,塔莫里,10005000,56,奧亦奇村莊,塔莫里,來得正好！正想拜託你新的事情呢。,聽說您能除掉沙漠地帶的禿鷲，是嗎？,需要消滅“沙漠地帶”的 [禿鷲] 20隻。,能試一下你的實力嗎？,0,謝謝，果然不是一般的實力啊。,0,4,1,1,1,1,51,一般,2,20,24,112000009,1,51,,0,0,0,0,0,0
112000009,10005000,56,奧亦奇村莊,塔莫里,10005000,56,奧亦奇村莊,塔莫里,知道您能打敗禿鷲了。其實，我正需要禿鷲的羽毛呢。,我的這把老劍無法打敗強韌的禿鷲，您能幫忙除掉禿鷲並找來其羽毛嗎？,需要從“沙漠地帶”的 [禿鷲] 那裡收集 <禿鷲的羽毛> 18個。,那就拜託你了。,0,謝謝。,0,4,1,1,1,1,51,一般,2,20,24,112000010,1,51,,0,0,0,0,0,0
112000010,10005000,55,奧亦奇村莊,亞美,10005000,56,奧亦奇村莊,塔莫里,… 俗話說，禿鷲的羽毛能帶來幸運 …,小生想得到禿鷲羽毛的原因是，為了能送給小生認識的最優秀的女人。能把這羽毛先交給與她最親的亞美嗎？,需要從“沙漠地帶”的 [禿鷲] 那裡收集 <禿鷲的羽毛> 18個，再交給“奧亦奇”的“亞美”。,首先把羽毛送給和她關係最好的亞美好嗎？,0,嗯？塔莫里？,0,4,1,1,1,1,51,一般,2,20,24,112000011,1,51,,0,0,0,0,0,0
