ID,_StageID,_MapGroupID,_MapID,_RectLeft,_RectTop,_RectRight,_RectBottom,_MobID,_Count,_RespawnTime,_RespawnTime2,_BombDropDefault,_BombMinDrops,_BombRanDrops,_BombDropDefault_Easy,_BombMinDrops_Easy,_BombRanDrops_Easy,_BombDropDefault_Hard,_BombMinDrops_Hard,_BombRanDrops_Hard,_BombDropX1,_BombDropY1,_BombDropX2,_BombDropY2,_DynamicType,_Difficulty_type
15030311,47,2,0,1200,1000,1201,1001,810003185,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030312,4,1,0,900,1400,901,1401,810003185,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030313,22,2,0,1500,1500,1501,1501,810003185,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030314,22,4,0,1500,1200,1501,1201,810003185,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030315,5,1,0,800,1000,801,1001,810003185,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030316,23,3,0,2500,1200,2501,1201,810003185,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030317,23,5,0,1300,1200,1301,1201,810003185,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030318,33,1,0,1200,1000,1201,1001,810003185,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030319,33,2,0,1200,1000,1201,1001,810003185,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030320,33,4,0,1500,1000,1501,1001,810003185,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030321,68,1,0,1800,1000,1801,1001,810003185,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030322,68,2,0,1200,1000,1201,1001,810003185,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030323,68,4,0,1000,1000,1001,1001,810003185,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030324,85,1,0,1200,1600,1201,1601,810003185,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030325,85,2,0,1000,1600,1001,1601,810003185,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030326,146,2,0,1500,800,1501,801,810003185,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030327,146,3,0,1500,700,1501,701,810003185,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030328,146,5,0,2000,600,2001,601,810003185,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030329,146,6,0,1800,400,1801,401,810003185,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030330,142,1,0,1900,1000,1901,1001,810003185,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030331,142,2,0,1200,1000,1201,1001,810003185,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030332,228,1,0,1000,900,1001,901,810003186,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030333,228,2,0,1800,700,1801,701,810003186,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030335,195,1,0,1500,800,1501,801,810003186,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030336,195,2,0,2000,800,2001,801,810003186,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030337,195,3,0,1800,900,1801,901,810003186,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030338,195,4,0,1900,900,1901,901,810003186,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030339,198,1,0,2300,700,2301,701,810003186,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030340,198,2,0,1300,700,1301,701,810003186,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030341,198,3,0,1300,700,1301,701,810003186,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030342,198,4,0,1700,700,1701,701,810003186,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030343,208,1,0,1800,700,1801,701,810003186,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030344,208,2,0,2000,900,2001,901,810003186,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030345,208,3,0,1200,1200,1201,1201,810003186,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030346,208,4,0,2000,1200,2001,1201,810003186,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030347,208,5,0,1300,800,1301,801,810003186,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030348,181,1,0,1300,900,1301,901,810003186,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030349,181,2,0,2000,1000,2001,1001,810003186,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030350,181,3,0,1500,1200,1501,1201,810003186,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030351,309,1,0,1800,400,1801,401,810003187,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030352,309,2,0,2300,900,2301,901,810003187,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030353,309,3,0,2000,700,2001,701,810003187,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030354,309,4,0,2200,900,2201,901,810003187,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030355,307,1,0,1700,1200,1701,1201,810003187,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030356,307,2,0,1500,1200,1501,1201,810003187,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030357,307,3,0,1500,1200,1501,1201,810003187,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030358,307,4,0,1500,1200,1501,1201,810003187,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030359,306,1,0,2000,700,2001,701,810003187,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030360,306,2,0,2000,700,2001,701,810003187,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15030361,306,3,0,2000,1100,2001,1101,810003187,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
10000001,321,1,0,2000,1300,2001,1301,810003585,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
10000002,321,2,0,2400,1300,2401,1301,810003585,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
10000003,322,1,0,1500,1200,1501,1201,810003585,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
10000004,322,2,0,1700,1200,1701,1201,810003585,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
10000005,336,2,0,1584,1023,1584,1023,810006741,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
17012501,2,0,0,32,1455,6367,1455,810007155,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
17012502,3,2,0,32,1119,3167,1247,810007155,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
17012503,47,2,0,32,399,3167,1311,810007155,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
17012504,3,0,0,32,1375,3167,1375,810007155,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
17012505,47,0,0,32,650,3167,1375,810007155,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
17071901,203,0,0,160,1239,160,1239,810003199,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
17071902,203,0,0,2841,1239,2841,1239,810003199,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
17071903,117,1,0,32,1311,32,1311,810003199,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
17071904,117,1,0,3167,1311,3167,1311,810003199,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
