ID,_Gamble_ID,_ITEM_ID,_ITEM_Count,_ITEM_Rare,_ITEM_Point,_Effect,_ITEM_ID_2,_ITEM_Count_2,_ITEM_Rare_2,_ITEM_Point_2,_Effect_2,_ITEM_ID_3,_ITEM_Count_3,_ITEM_Rare_3,_ITEM_Point_3,_Effect_3,_ITEM_ID_4,_ITEM_Count_4,_ITEM_Rare_4,_ITEM_Point_4,_Effect_4,_ITEM_ID_5,_ITEM_Count_5,_ITEM_Rare_5,_ITEM_Point_5,_Effect_5,_Reward_Message,_Reward_Message_Ely,_NoticeID,_World_MessageID,_Mice_type,_World_Message_TXT_Red,_World_Message_TXT_Green,_World_Message_TXT_Blue
1,190170901,700101120,1,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
2,190170902,700101020,1,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
3,190170906,160190101,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
4,190170907,160190102,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
5,190170908,160190103,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
6,190170903,160290104,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
7,190170904,160290105,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
8,190170905,160290106,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
9,190171031,700101605,1,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
10,190171032,700101520,1,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
11,190197001,180134426,10,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
12,190197001,180134426,20,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
13,190197001,180134426,30,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
14,190197001,180134426,40,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
15,190197001,180134426,50,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
16,190197001,180134426,70,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
17,190197001,180134426,90,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
18,190197001,180134427,10,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
19,190197001,180134427,20,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
20,190197001,180134427,30,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
21,190197001,180134427,40,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
22,190197001,180134427,50,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
23,190197001,180134427,70,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
24,190197001,180134427,90,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
25,190197001,180134428,5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
26,190197001,180134428,10,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
27,190197001,180134428,15,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
28,190197001,180134428,20,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
29,190197001,180134428,25,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
30,190197001,180134428,30,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
31,190197001,180134428,40,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
32,190197001,180134429,5,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
33,190197001,180134429,10,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
34,190197001,180134429,15,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
35,190197001,180134429,20,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
36,190197001,180134429,25,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
37,190197001,180134429,30,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
38,190197001,180134429,40,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
39,190197001,180134430,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
40,190197001,180134430,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
41,190197002,180134426,10,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,,,0,0,1,0,0,0
