ID,Max_Ppoint,String,Icon,_StatusType1,_StatusValue1,_StatusType2,_StatusValue2,_StatusType3,_StatusValue3,_StatusType4,_StatusValue4
1,3000,10級菜鳥騎士,,14,0,26,0,22,0,18,0
2,4500,9級菜鳥騎士,,14,5,26,5,22,5,18,5
3,6000,8級菜鳥騎士,,14,10,26,10,22,10,18,10
4,7500,7級菜鳥騎士,,14,15,26,15,22,15,18,15
5,9000,6級菜鳥騎士,,14,20,26,20,22,20,18,20
6,10500,5級菜鳥騎士,,14,25,26,25,22,25,18,25
7,12000,4級菜鳥騎士,,14,30,26,30,22,30,18,30
8,13500,3級菜鳥騎士,,14,35,26,35,22,35,18,35
9,15000,2級菜鳥騎士,,14,40,26,40,22,40,18,40
10,20000,1級菜鳥騎士,,14,45,26,45,22,45,18,45
11,25000,10級護衛騎士,,14,50,26,50,22,50,18,50
12,30000,9級護衛騎士,,14,55,26,55,22,55,18,55
13,35000,8級護衛騎士,,14,60,26,60,22,60,18,60
14,40000,7級護衛騎士,,14,65,26,65,22,65,18,65
15,45000,6級護衛騎士,,14,70,26,70,22,70,18,70
16,50000,5級護衛騎士,,14,75,26,75,22,75,18,75
17,55000,4級護衛騎士,,14,80,26,80,22,80,18,80
18,60000,3級護衛騎士,,14,85,26,85,22,85,18,85
19,65000,2級護衛騎士,,14,90,26,90,22,90,18,90
20,85000,1級護衛騎士,,14,95,26,95,22,95,18,95
21,105000,10級精英騎士,,14,100,26,100,22,100,18,100
22,125000,9級精英騎士,,14,105,26,105,22,105,18,105
23,145000,8級精英騎士,,14,110,26,110,22,110,18,110
24,165000,7級精英騎士,,14,115,26,115,22,115,18,115
25,185000,6級精英騎士,,14,120,26,120,22,120,18,120
26,205000,5級精英騎士,,14,125,26,125,22,125,18,125
27,225000,4級精英騎士,,14,126,26,126,22,126,18,126
28,245000,3級精英騎士,,14,127,26,127,22,127,18,127
29,265000,2級精英騎士,,14,128,26,128,22,128,18,128
30,315000,1級精英騎士,,14,129,26,129,22,129,18,129
31,365000,10級名譽騎士,,14,130,26,130,22,130,18,130
32,415000,9級名譽騎士,,14,131,26,131,22,131,18,131
33,465000,8級名譽騎士,,14,132,26,132,22,132,18,132
34,515000,7級名譽騎士,,14,133,26,133,22,133,18,133
35,565000,6級名譽騎士,,14,134,26,134,22,134,18,134
36,615000,5級名譽騎士,,14,135,26,135,22,135,18,135
37,665000,4級名譽騎士,,14,136,26,136,22,136,18,136
38,715000,3級名譽騎士,,14,137,26,137,22,137,18,137
39,765000,2級名譽騎士,,14,138,26,138,22,138,18,138
40,885000,1級名譽騎士,,14,139,26,139,22,139,18,139
41,1005000,10級將軍,,14,140,26,140,22,140,18,140
42,1125000,9級將軍,,14,141,26,141,22,141,18,141
43,1245000,8級將軍,,14,142,26,142,22,142,18,142
44,1365000,7級將軍,,14,143,26,143,22,143,18,143
45,1485000,6級將軍,,14,144,26,144,22,144,18,144
46,1605000,5級將軍,,14,145,26,145,22,145,18,145
47,1725000,4級將軍,,14,146,26,146,22,146,18,146
48,1845000,3級將軍,,14,147,26,147,22,147,18,147
49,1965000,2級將軍,,14,148,26,148,22,148,18,148
50,3000000,大將軍,,14,149,26,149,22,149,18,149
51,1000000000,司令官,,14,150,26,150,22,150,18,150
