ID,_Quest_Type,_Category,_ChapterNumber,_SectionNumber,_Name,_Quest_Link,_Require_Lv,_Require_ULv,_Require_Message,_Require1_Type,_Require1_ID,_Require1_Value1,_Require1_Value2,_Require2_Type,_Require2_ID,_Require2_Value1,_Require2_Value2,_Require3_Type,_Require3_ID,_Require3_Value1,_Require3_Value2,_Require4_Type,_Require4_ID,_Require4_Value1,_Require4_Value2
1,1,1,1,0,愛麗絲利比耶樂,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,2,1,1,1. 冒險開始,1101,1,0,- [冒險開始] 結束,9,1,999,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2,1,2,2. 尋找愛麗絲,1102,50,0,- 等級 50 以上,24,1,1101,0,0,0,0,0,0,0,0,0,0,0,0,0
4,1,2,1,3,3. 喬安潘,1103,99,0,- 等級 99 以上,24,1,1102,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,2,1,4,4. 時間之影,1104,130,0,- 等級 130 以上,24,1,1103,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,2,1,5,5. 時空旅行者,1105,175,0,- 等級 175 以上,24,1,1104,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,2,1,6,6. 華納海姆,1106,180,0,- 等級 180 以上,24,1,1105,0,0,0,0,0,0,0,0,0,0,0,0,0
8,1,2,1,7,7. 世界樹,1107,180,0,- 等級 180 以上,24,1,1106,0,0,0,0,0,0,0,0,0,0,0,0,0
9,1,1,2,0,不安的世界,0,0,0,- 主要章節 1 通關,24,1,1107,0,0,0,0,0,0,0,0,0,0,0,0,0
10,1,2,2,8,1. 奧斯古拉斯傭兵團,1108,200,0,- 等級 200 以上,24,1,1107,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,2,2,9,2. 甦醒的龍祭城,1109,205,0,- 等級 205 以上,24,1,1108,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,2,2,10,3. 特洛里防禦戰,1110,207,0,- 等級 207 以上,24,1,1109,0,0,0,0,0,0,0,0,0,0,0,0,0
13,1,2,2,11,4. 革命的立佩拉,1111,211,0,- 等級 211 以上,24,1,1110,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,2,2,12,5. 燃燒的賽蕾斯神殿,1112,215,0,- 等級 215 以上,24,1,1111,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,2,2,13,6. 痛苦的猶忒王國,1113,220,0,- 等級 220 以上,24,1,1112,0,0,0,0,0,0,0,0,0,0,0,0,0
16,1,2,2,14,7. 遭到襲擊的白煤峽谷,1114,227,0,- 等級 227 以上,24,1,1113,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,2,2,15,8. 修練森林,1115,235,0,- 等級 235 以上,24,1,1114,0,0,0,0,0,0,0,0,0,0,0,0,0
18,1,2,2,16,9. 內心世界,1116,235,0,- 等級 235 以上,24,1,1115,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,1,3,0,戴伊墨斯宅邸,0,0,0,- 主要章節 2 通關,24,1,1116,0,0,0,0,0,0,0,0,0,0,0,0,0
20,1,2,3,17,1. 亞瑪倫沙漠,1117,235,0,- 等級 235 以上,24,1,1116,0,0,0,0,0,0,0,0,0,0,0,0,0
21,1,2,3,18,2. 地下都市塔爾達洛斯,1118,235,500,- 超越等級 500 以上,24,1,1117,0,0,0,0,0,0,0,0,0,0,0,0,0
