ID,_CutInImage,_Message
20225000,67,[修普勒] 根據水晶的反應，公會的職位會有所不同，因此請要慎重地進行決定。
27200000,67,[修普勒] 要解除公會嗎?
29801000,29801000,[修普勒] 要進行公會升級嗎?
29801001,29801000,[修普勒] 要變更公會徽章嗎?
29802000,29802000,[修普勒] 要進行公會升級嗎?
29802001,29802000,[修普勒] 要變更公會徽章嗎?
29803000,29803000,[修普勒] 要進行公會升級嗎?
29803001,29803000,[修普勒] 要變更公會徽章嗎?
20212000,82,[雷米] 真正的勝利者是格鬥場的優勝者。
20213000,86,[葛莉思] 細密的戰略和嚴謹的團隊合作，才是取得勝利的捷徑。
29800007,71,[夏洛] 如果擔心帳號會被盜用，那麼就使用看看這個功能吧!
29800008,71,[夏洛] 有無法交易的道具呢? 試試看封印功能吧!
20230000,67,[修普勒] 是否變更公會種類?
27300000,67,[修普勒] 請注意!推出後，會消失公會點數。
29800009,686,[每週挑戰管理者]\n 真想知道你能成功挑戰到哪個階段啊。
