ID,_Total_Point,_Material1,_Point1,_Material2,_Point2,_Material3,_Point3,_Material4,_Point4,_Material5,_Point5,_Material6,_Point6,_Potential_GroupID,_Special_Potential,_Special_Potential_Item,_Special_Potential_Item_Event,_Special_GroupID
1001,1000,190144675,1,190144676,50,190144677,100,190144678,300,190144680,1000,190144679,500,100101,1,190144681,190146277,200101
3001,500,190144679,500,0,0,0,0,0,0,0,0,0,0,300101,0,0,0,0
3002,500,190144679,500,0,0,0,0,0,0,0,0,0,0,300102,0,0,0,0
3003,500,190144679,500,0,0,0,0,0,0,0,0,0,0,300103,0,0,0,0
3004,500,190144679,500,0,0,0,0,0,0,0,0,0,0,300104,0,0,0,0
3005,500,190144679,500,0,0,0,0,0,0,0,0,0,0,300105,0,0,0,0
3006,500,190144679,500,0,0,0,0,0,0,0,0,0,0,300106,0,0,0,0
3007,500,190144679,500,0,0,0,0,0,0,0,0,0,0,300107,0,0,0,0
3008,500,190144679,500,0,0,0,0,0,0,0,0,0,0,300108,0,0,0,0
3009,500,190144679,500,0,0,0,0,0,0,0,0,0,0,300109,0,0,0,0
