ID,_Description,_Option_Group1,_Option_Group2,_Option_Group3,_Option_Group4,_Option_Group5,_Option_Group6,_Option_Group7,_Option_Group8,_Option_Group9,_Option_Group10,_Option_Group11,_Option_Group12,_Option_Group13,_Option_Group14,_Option_Group15,_Option_Group16,_Option_Group17,_Option_Group18,_Option_Group19,_Option_Group20,_Option_Group21,_Option_Group22,_Option_Group23,_Option_Group24,_Option_Group25,_Option_Group26,_Option_Group27,_Option_Group28,_Option_Group29,_Option_Group30,_Option_Group31,_Option_Group32,_Option_Group33,_Option_Group34,_Option_Group35,_Option_Group36,_Option_Group37,_Option_Group38,_Option_Group39,_Option_Group40
1001,??_??,1,2,3,101,102,103,104,105,106,107,108,201,202,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1002,??_??,1001,1002,1003,1101,1102,1103,1104,1105,1106,1107,1108,1201,1202,1203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1003,??_??,2001,2002,2003,2101,2102,2103,2104,2105,2106,2107,2108,2201,2202,2203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1004,??_??,3001,3002,3003,3101,3102,3103,3104,3105,3106,3107,3108,3201,3202,3203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1005,??_??,4001,4002,4003,4004,4101,4102,4103,4104,4105,4106,4107,4108,4201,4202,4203,4204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1006,??_???,5001,5002,5003,5004,5005,5006,5007,5008,5101,5102,5103,5104,5105,5106,5107,5108,5201,5202,5203,5204,5205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1007,??_??,6001,6002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1008,??_??,6001,6002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1009,??_??,6001,6002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1010,??_???,6001,6002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1011,??_???,6001,6002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1012,??_??,7001,7002,7003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1013,??_???,7001,7002,7003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
