ID,_Rank,_Point,_Reward_Type1,_Reward_Value1,_Reward_Type2,_Reward_Value2,_Reward_Type3,_Reward_Value3,_Reward_Type4,_Reward_Value4,_Reward_Type5,_Reward_Value5,_Reward_Type6,_Reward_Value6,_Reward_Type7,_Reward_Value7,_Reward_Type8,_Reward_Value8
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,500,455,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,1000,455,75,462,1,488,1,0,0,0,0,0,0,0,0,0,0
4,4,1500,455,100,462,2,488,2,0,0,0,0,0,0,0,0,0,0
5,5,2000,455,125,462,3,488,3,461,1,30,500,0,0,0,0,0,0
6,6,2500,455,150,462,4,488,4,461,2,30,600,0,0,0,0,0,0
7,7,3000,455,175,462,5,488,5,461,3,30,700,132,1,464,1,0,0
8,8,3500,455,200,462,6,488,6,461,4,30,800,132,1,464,2,0,0
9,9,4000,455,225,462,7,488,7,461,5,30,900,132,2,464,3,0,0
10,10,4500,455,250,462,8,488,8,461,6,30,1000,132,2,464,4,384,2
11,11,5000,455,275,462,9,488,9,461,7,30,1000,132,3,464,5,384,2
12,12,5500,455,300,462,10,488,10,461,8,30,1100,132,3,464,6,384,3
13,13,6000,455,325,462,11,488,11,461,9,30,1200,132,4,464,7,384,3
14,14,6500,455,350,462,12,488,12,461,10,30,1400,132,4,464,8,384,3
15,15,7000,455,375,462,13,488,13,461,11,30,1500,132,5,464,9,384,4
16,16,7500,455,400,462,14,488,14,461,12,30,1600,132,5,464,10,384,4
17,17,8000,455,425,462,15,488,15,461,13,30,1700,132,6,464,11,384,4
18,18,8500,455,450,462,16,488,16,461,14,30,1800,132,6,464,12,384,4
19,19,9000,455,475,462,17,488,17,461,15,30,1900,132,7,464,13,384,5
20,20,9500,455,500,462,18,488,18,461,16,30,2000,132,7,464,14,384,5
21,21,10000,455,525,462,19,488,19,461,17,30,2100,132,8,464,15,384,5
22,22,11000,455,550,462,20,488,20,461,18,30,2200,132,8,464,16,384,5
23,23,12000,455,575,462,21,488,21,461,19,30,2300,132,9,464,17,384,5
24,24,13000,455,600,462,22,488,22,461,20,30,2400,132,9,464,18,384,6
