ID,_EventGroup,_Subject,_Description,_ItemID,_ItemName,_ItemRare,_ItemCount,_Ely
1002,1001,愛麗絲的禮物,首購禮物,170140398,活動 特殊雪狸貓溫泉門票(1小時) (x 5),1,5,0
1003,1001,愛麗絲的禮物,首購禮物,170170904,活動 用大型葡萄酒 (x 99),1,99,0
1004,1001,愛麗絲的禮物,首購禮物,1300000242,活動 雪狸貓套裝兌換券,1,1,0
1005,1001,愛麗絲的禮物,首購禮物,170196625,活動:經驗值秘藥500%,1,1,0
1006,1001,愛麗絲的禮物,首購禮物,170171241,肥宅快樂水,1,30,0
1007,1001,愛麗絲的禮物,首購禮物,1300000242,活動 雪狸貓套裝兌換券,1,1,0
1008,1001,愛麗絲的禮物,首購禮物,1300000615,護目鏡貓咪套裝箱子(30日),1,1,0
1010,1001,愛麗絲的禮物,首購禮物,170195394,活動:經驗值秘藥 1000%,1,2,0
1011,1001,愛麗絲的禮物,首購禮物,1300000233,[活動] 經驗值秘藥200%,1,3,0
1012,1001,愛麗絲的禮物,首購禮物,190146294,[活動] 耶比妹妹套裝,1,1,0
1013,1001,愛麗絲的禮物,首購禮物,1300000220,彩虹島物語 FX title(永久),1,1,0
1014,1001,愛麗絲的禮物,首購禮物,1300000628,活動:經驗值秘藥1000%,1,3,0
1015,1001,愛麗絲的禮物,首購禮物,170195350,活動:經驗值的秘藥888%,1,5,0
1111,1110,愛麗絲的禮物,愛麗絲的禮物1級獎勵,160190111,雷比的石頭 7日,1,1,0
1112,1110,愛麗絲的禮物,愛麗絲的禮物2級獎勵,170196601,經驗值秘藥100%,1,1,0
1113,1110,愛麗絲的禮物,愛麗絲的禮物2級獎勵,1100000007,悸動的博物館馬造型徽章 +3(30日),5,1,0
1114,1110,愛麗絲的禮物,愛麗絲的禮物3級獎勵,190179866,聰明藥寶箱 (x 2),1,2,0
1115,1110,愛麗絲的禮物,愛麗絲的禮物3級獎勵,1100000008,回憶的神龍徽章 +3(30日),5,1,0
1116,1110,愛麗絲的禮物,愛麗絲的禮物3級獎勵,170196602,經驗值秘藥200%,1,1,0
1117,1110,愛麗絲的禮物,愛麗絲的禮物4級獎勵,190179866,聰明藥寶箱 (x 3),1,3,0
1118,1110,愛麗絲的禮物,愛麗絲的禮物4級獎勵,190170909,超級拼圖兌換券 (x 2),1,2,0
1119,1110,愛麗絲的禮物,愛麗絲的禮物4級獎勵,1100000009,彩虹島物語鳳凰徽章 +3(30日),1,1,0
1120,1110,愛麗絲的禮物,愛麗絲的禮物4級獎勵,170196603,經驗值秘藥300%,1,1,0
1121,1110,愛麗絲的禮物,愛麗絲的禮物5級獎勵,190179866,聰明藥寶箱 (x 4),1,4,0
1122,1110,愛麗絲的禮物,愛麗絲的禮物5級獎勵,1200000012,【瞬移】 可愛龍龍 (30日),1,1,0
1123,1110,愛麗絲的禮物,愛麗絲的禮物5級獎勵,170195273,優質稱號學習書(30日),1,1,0
1124,1110,愛麗絲的禮物,愛麗絲的禮物5級獎勵,170196615,活動 經驗值秘藥500%,1,1,0
1125,1110,愛麗絲的禮物,愛麗絲的禮物1級獎勵,1200000259,馬戲團指南針(15天),1,1,0
1126,1110,愛麗絲的禮物,愛麗絲的禮物1級獎勵,1200000258,馬戲團魔法石(15天),1,1,0
1127,1110,愛麗絲的禮物,愛麗絲的禮物2級獎勵,170195349,經驗值的秘藥 888%,1,1,0
1128,1110,愛麗絲的禮物,愛麗絲的禮物2級獎勵,190145849,靈藥兌換券,1,10,0
1129,1110,愛麗絲的禮物,愛麗絲的禮物3級獎勵,170195349,經驗值的秘藥 888%,1,1,0
1130,1110,愛麗絲的禮物,愛麗絲的禮物3級獎勵,170196602,經驗值秘藥200%,1,1,0
1131,1110,愛麗絲的禮物,愛麗絲的禮物3級獎勵,81695524,超級桃紅小馬(30日),1,1,0
1132,1110,愛麗絲的禮物,愛麗絲的禮物4級獎勵,1300000628,活動:經驗值秘藥1000%,1,2,0
1133,1110,愛麗絲的禮物,愛麗絲的禮物4級獎勵,170196602,經驗值秘藥200%,1,2,0
1134,1110,愛麗絲的禮物,愛麗絲的禮物4級獎勵,1100000039,活動黃金鑰匙(30日),5,1,0
1135,1110,愛麗絲的禮物,愛麗絲的禮物5級獎勵,1300000628,活動:經驗值秘藥1000%,1,3,0
1136,1110,愛麗絲的禮物,愛麗絲的禮物5級獎勵,170196602,經驗值秘藥200%,1,3,0
1137,1110,愛麗絲的禮物,愛麗絲的禮物5級獎勵,200000961,藍色殘像鏡子 +6(30天),1,1,0
1138,1110,愛麗絲的禮物,愛麗絲的禮物5級獎勵,170195273,優質稱號學習書(30日),1,1,0
1139,1110,愛麗絲的禮物,愛麗絲的禮物獎勵,1300001296,紅利皇家扭蛋,1,1,0
1140,1110,愛麗絲的禮物,愛麗絲的禮物獎勵,190146658,[活動] 頭飾隨機箱子,1,1,0
1141,1110,愛麗絲的禮物,愛麗絲的禮物獎勵,190146659,[活動] 動物頭飾隨機箱子,1,1,0
1142,1110,愛麗絲的禮物,愛麗絲的禮物獎勵,1300001296,紅利皇家扭蛋,1,3,0
1143,1110,愛麗絲的禮物,愛麗絲的禮物獎勵,1300000490,活動用:高級暢快可樂,1,50,0
1144,1110,愛麗絲的禮物,愛麗絲的禮物獎勵,190150902,復活精髓,1,10,0
1145,1110,愛麗絲的禮物,愛麗絲的禮物獎勵,200002064,彩虹殘像鏡子 +6 (30天),1,1,0
1146,1110,愛麗絲的禮物,愛麗絲的禮物獎勵,1300001296,紅利皇家扭蛋,1,5,0
1147,1110,愛麗絲的禮物,愛麗絲的禮物獎勵,1300001296,紅利皇家扭蛋,1,10,0
1148,1110,愛麗絲的禮物,愛麗絲的禮物獎勵,170195273,優質稱號學習書(30日),1,1,0
1149,1110,愛麗絲的禮物,愛麗絲的禮物獎勵,1300001297,超級紅利皇家扭蛋,1,10,0
1150,1110,愛麗絲的禮物,愛麗絲的禮物獎勵,1300001296,紅利皇家扭蛋,1,2,0
1151,1110,愛麗絲的禮物,愛麗絲的禮物獎勵,1300001297,超級紅利皇家扭蛋,1,15,0
1152,1110,愛麗絲的禮物,愛麗絲的禮物獎勵,1300001297,超級紅利皇家扭蛋,1,30,0
1153,1110,愛麗絲的禮物,愛麗絲的禮物獎勵,1300001297,超級紅利皇家扭蛋,1,50,0
1154,1110,紅利獎勵雙倍送,紅利獎勵雙倍送,1300001296,紅利皇家扭蛋,1,1,0
1155,1110,紅利獎勵雙倍送,紅利獎勵雙倍送,1300001296,紅利皇家扭蛋,1,10,0
1156,1110,紅利獎勵雙倍送,紅利獎勵雙倍送,190146658,[活動] 頭飾隨機箱子,1,1,0
1157,1110,紅利獎勵雙倍送,紅利獎勵雙倍送,190146659,[活動] 動物頭飾隨機箱子,1,1,0
1158,1110,紅利獎勵雙倍送,紅利獎勵雙倍送,1300000490,活動用:高級暢快可樂,1,50,0
1159,1110,紅利獎勵雙倍送,紅利獎勵雙倍送,190150902,復活精髓,1,10,0
1160,1110,紅利獎勵雙倍送,紅利獎勵雙倍送,200002064,彩虹殘像鏡子 +6 (30天),1,1,0
1161,1110,紅利獎勵雙倍送,紅利獎勵雙倍送,170195273,優質稱號學習書(30日),1,1,0
1162,1110,紅利獎勵雙倍送,紅利獎勵雙倍送,1300001297,超級紅利皇家扭蛋,1,10,0
1163,1110,紅利獎勵雙倍送,紅利獎勵雙倍送,1300001297,超級紅利皇家扭蛋,1,15,0
1164,1110,紅利獎勵雙倍送,紅利獎勵雙倍送,1300001297,超級紅利皇家扭蛋,1,30,0
1165,1110,紅利獎勵雙倍送,紅利獎勵雙倍送,1300001297,超級紅利皇家扭蛋,1,50,0
2001,2001,彩虹島物語箱子購買送品,彩虹島物語箱子購買獎勵,1300000517,奇娜領養券,1,1,0
2002,2001,彩虹島物語箱子購買送品,彩虹島物語箱子購買獎勵,190145225,咕咕雞領養券,1,1,0
2003,2001,彩虹島物語箱子購買送品,彩虹島物語箱子購買獎勵,190144851,海賊猴領養券,1,1,0
2004,2001,彩虹島物語箱子購買送品,彩虹島物語箱子購買獎勵,190144992,熊貓超人領養券,1,1,0
2005,2001,彩虹島物語箱子購買送品,彩虹島物語箱子購買獎勵,190193201,白虎領養券,1,1,0
2006,2001,彩虹島物語箱子購買送品,彩虹島物語箱子購買獎勵,190144450,銀河領養卷,1,1,0
2007,2001,彩虹島物語箱子購買送品,彩虹島物語箱子購買獎勵,190144598,布迪德古氏領養券,1,1,0
2008,2001,彩虹島物語箱子購買送品,彩虹島物語箱子購買獎勵,160600501,阿卡修拉的惡夢寶石,5,1,0
2009,2001,彩虹島物語箱子購買送品,彩虹島物語箱子購買獎勵,190144601,閃亮4欄寶石箱子,1,1,0
2010,2001,彩虹島物語箱子購買送品,彩虹島物語箱子購買獎勵,162300016,草恩潘的第三紅色寶石,5,1,0
2011,2001,彩虹島物語箱子購買送品,彩虹島物語箱子購買獎勵,162400016,卡茲諾的第三黃色寶石,5,1,0
