ID,_ChatName,_ChatScope,_ChatTab1,_ChatTab2,_ChatTab3,_ChatTab4,_ChatTab5,_ChatTab6,_ChatTab7,_ChatColouringID,_InputFormat,_OutputFormat
1,1,1,1,0,0,0,0,0,1,19,[%s]:%s,[%s]:%s
2,2,2,1,1,0,0,0,0,0,20,[好友][%s]:%s,[好友][%s]:%s
3,3,3,1,0,1,0,0,0,0,10,[公會][%s]:%s,[公會][%s]:%s
4,4,4,1,0,0,1,0,0,0,2,[隊伍][%s]:%s,[隊伍][%s]:%s
5,5,5,1,0,0,0,1,0,0,34,給[%s]:%s,來自[%s]:%s
2001,8,2001,1,1,1,1,1,0,1,33,[公告事項]:%s,[公告事項]:%s
1001,6,1002,1,1,1,1,1,0,1,9,[%s]:%s,[%s]:%s
1002,7,1002,1,1,1,1,1,0,1,9,[%s]:%s,[%s]:%s
2002,9,2002,1,1,1,1,1,1,1,23,%s,%s
2003,9,2003,1,1,1,1,1,1,1,0,%s,%s
2004,9,2004,1,1,1,1,1,1,1,0,%s,%s
2005,9,2005,1,1,1,1,1,1,1,0,%s,%s
2006,9,2006,1,1,1,1,1,1,1,0,%s,%s
2007,9,2007,1,1,1,1,1,1,1,0,%s,%s
2008,9,2008,1,1,1,1,1,1,1,0,%s,%s
