ID,Ci_Type,Ci_Require1_Type,Ci_Require1_Id,Ci_Require1_Value1,Ci_Require1_Value2,Ci_Require2_Type,Ci_Require2_Id,Ci_Require2_Value1,Ci_Require2_Value2,Ci_Require3_Type,Ci_Require3_Id,Ci_Require3_Value1,Ci_Require3_Value2,Ci_Use_Ely,Ci_Use_ItemId,Ci_Use_ItmeCount,Ci_Icon,Ci_IconIndex,Ci_Fx,Ci_Use_Minlevel,Ci_Use_Maxlevel,Sort_Num,_Description
101,1,8,1,1,50,1,4,100000,0,0,0,0,0,100000,0,0,10008001,0,0,1,50,1,??
102,1,8,1,1,50,1,4,100000,0,0,0,0,0,100000,0,0,10008001,1,0,1,50,2,??
103,1,8,1,1,50,1,4,100000,0,0,0,0,0,100000,0,0,10008001,2,0,1,50,3,??2?
104,1,8,1,1,50,1,4,100000,0,0,0,0,0,100000,0,0,10008001,3,0,1,50,4,??
105,1,8,1,1,50,1,4,100000,0,0,0,0,0,100000,0,0,10008001,4,0,1,50,5,????
106,1,8,1,1,50,1,4,100000,0,0,0,0,0,100000,0,0,10008001,5,0,1,50,6,??
107,1,8,1,1,50,1,4,100000,0,0,0,0,0,100000,0,0,10008001,6,0,1,50,7,?????
108,1,8,1,1,50,1,4,100000,0,0,0,0,0,100000,0,0,10008001,7,0,1,50,8,???
109,1,8,1,1,50,1,4,100000,0,0,0,0,0,100000,0,0,10008001,8,0,1,50,9,???
110,1,8,1,1,50,1,4,100000,0,0,0,0,0,100000,0,0,10008001,9,0,1,50,10,????
113,1,8,1,1,50,1,4,1000000,0,0,0,0,0,1000000,0,0,10008001,12,0,1,50,11,?
118,1,8,1,1,50,1,4,1000000,0,0,0,0,0,1000000,0,0,10008001,17,0,1,50,12,??
119,1,8,1,1,50,1,4,1000000,0,0,0,0,0,1000000,0,0,10008001,18,0,1,50,13,??
120,1,8,1,1,50,1,4,1000000,0,0,0,0,0,1000000,0,0,10008001,19,0,1,50,14,???
121,1,8,1,1,50,1,4,1000000,0,0,0,0,0,1000000,0,0,10008001,20,0,1,50,15,??? ??
122,1,8,1,1,50,1,4,1000000,0,0,0,0,0,1000000,0,0,10008001,21,0,1,50,16,??2?
124,1,8,1,1,50,1,4,1000000,0,0,0,0,0,1000000,0,0,10008001,23,0,1,50,17,???
126,1,8,1,1,50,1,4,1000000,0,0,0,0,0,1000000,0,0,10008001,25,0,1,50,18,??
129,1,8,1,1,50,1,4,1000000,0,0,0,0,0,1000000,0,0,10008001,28,0,1,50,19,orz
111,1,8,1,1,50,1,4,5000000,0,0,0,0,0,5000000,0,0,10008001,10,0,1,50,20,?
112,1,8,1,1,50,1,4,5000000,0,0,0,0,0,5000000,0,0,10008001,11,0,1,50,21,???
114,1,8,1,1,50,1,4,5000000,0,0,0,0,0,5000000,0,0,10008001,13,0,1,50,22,??
115,1,8,1,1,50,1,4,5000000,0,0,0,0,0,5000000,0,0,10008001,14,0,1,50,23,???
116,1,8,1,1,50,1,4,5000000,0,0,0,0,0,5000000,0,0,10008001,15,0,1,50,24,???
117,1,8,1,1,50,1,4,5000000,0,0,0,0,0,5000000,0,0,10008001,16,0,1,50,25,???
123,1,8,1,1,50,1,4,5000000,0,0,0,0,0,5000000,0,0,10008001,22,0,1,50,26,??
125,1,8,1,1,50,1,4,5000000,0,0,0,0,0,5000000,0,0,10008001,24,0,1,50,27,????
127,1,8,1,1,50,1,4,5000000,0,0,0,0,0,5000000,0,0,10008001,26,0,1,50,28,???
128,1,8,1,1,50,1,4,5000000,0,0,0,0,0,5000000,0,0,10008001,27,0,1,50,29,ufo
130,1,8,1,1,50,1,4,5000000,0,0,0,0,0,5000000,0,0,10008001,29,0,1,50,30,???
131,1,8,1,4,50,1,4,10000000,0,0,0,0,0,10000000,0,0,10008001,30,0,4,50,31,???
132,1,8,1,4,50,1,4,10000000,0,0,0,0,0,10000000,0,0,10008001,31,0,4,50,32,??
133,1,8,1,4,50,1,4,10000000,0,0,0,0,0,10000000,0,0,10008001,32,0,4,50,33,??
134,1,8,1,1,50,1,4,5000000,0,0,0,0,0,5000000,0,0,10008001,33,0,1,50,34,????
135,1,8,1,1,50,1,4,5000000,0,0,0,0,0,5000000,0,0,10008001,34,0,1,50,35,??
136,1,8,1,1,50,1,4,5000000,0,0,0,0,0,5000000,0,0,10008001,35,0,1,50,36,?????
137,1,8,1,1,50,1,4,1000000,0,0,0,0,0,1000000,0,0,10008001,36,0,1,50,37,??
138,1,8,1,1,50,1,4,5000000,0,0,0,0,0,5000000,0,0,10008001,37,0,1,50,38,???
139,1,8,1,1,50,1,4,5000000,0,0,0,0,0,5000000,0,0,10008001,38,0,1,50,39,??
140,1,8,1,1,50,1,4,1000000,0,0,0,0,0,1000000,0,0,10008001,39,0,1,50,40,??
141,1,8,1,1,50,1,4,5000000,0,0,0,0,0,5000000,0,0,10008001,40,0,1,50,41,??
142,1,8,1,1,50,1,4,5000000,0,0,0,0,0,5000000,0,0,10008001,41,0,1,50,42,?????
143,1,8,1,6,50,1,4,10000000,0,0,0,0,0,10000000,0,0,10008001,42,0,6,50,43,??
