ID,_Type,_ID,_Rare,_PointMin,_PointMax,_Count
21071601,1,1300001101,1,0,0,1
21071602,1,190146229,1,0,0,1
21071603,1,190146649,1,0,0,1
21071604,1,170195336,1,0,0,1
21071605,1,164102531,1,0,0,1
21071606,1,170195871,1,0,0,2
21071607,1,170171241,1,0,0,30
21071608,1,190146649,1,0,0,1
21071609,1,1300001101,1,0,0,1
21071610,1,190146230,1,0,0,2
21071611,1,160190126,1,0,0,1
21071612,1,190195489,1,0,0,20
21071613,1,190146649,1,0,0,1
21071614,1,170195871,1,0,0,2
21071615,1,170171241,1,0,0,30
21071616,1,1300001184,1,0,0,1
21071617,1,190146229,1,0,0,1
21071618,1,1300001101,1,0,0,3
21071619,1,164302504,5,0,0,1
21071620,1,190146649,1,0,0,1
21071621,1,190146230,1,0,0,2
21071622,1,1200000269,1,0,0,1
21071623,1,170195336,1,0,0,1
21071624,1,1300000628,1,0,0,1
21071625,1,190146649,1,0,0,1
21071626,1,300199711,1,0,0,1
21071627,1,1300001101,1,0,0,5
21071628,1,170195385,1,0,0,1
21071629,1,700100620,5,100,200,1
21083001,1,1300001101,1,0,0,1
21083002,1,190146229,1,0,0,1
21083003,1,190146649,1,0,0,1
21083004,1,1200000268,1,0,0,1
21083005,1,164102531,1,0,0,1
21083006,1,170195871,1,0,0,2
21083007,1,170171241,1,0,0,30
21083008,1,190146649,1,0,0,1
21083009,1,1300001101,1,0,0,1
21083010,1,190146230,1,0,0,2
21083011,1,160190126,1,0,0,1
21083012,1,190195489,1,0,0,20
21083013,1,190146649,1,0,0,1
21083014,1,170195871,1,0,0,2
21083015,1,170171241,1,0,0,30
21083016,1,1300001209,1,0,0,1
21083017,1,1300001101,1,0,0,3
21083018,1,164302504,5,0,0,1
21083019,1,190146649,1,0,0,1
21083020,1,190146230,1,0,0,2
21083021,1,1200000269,1,0,0,1
21083022,1,1300000628,1,0,0,1
21083023,1,190146649,1,0,0,1
21083024,1,300199711,1,0,0,1
21083025,1,1300001101,1,0,0,5
21083026,1,170195385,1,0,0,1
21083027,1,700101720,5,100,200,1
21092301,1,1300001226,1,0,0,1
21092302,1,1300000628,1,0,0,1
21092303,1,190146230,1,0,0,2
21092304,1,190146649,1,0,0,1
21092305,1,170195871,1,0,0,2
21092306,1,190145578,1,0,0,2
21092307,1,1300001226,1,0,0,3
21092308,1,190146649,1,0,0,1
21092309,1,190146229,1,0,0,1
21092310,1,170171241,1,0,0,30
21092311,1,164302504,5,0,0,1
21092312,1,190145644,1,0,0,1
21092313,1,190146649,1,0,0,1
21092314,1,190146230,1,0,0,2
21092315,1,190195489,1,0,0,20
21092316,1,1200000450,1,0,0,1
21092317,1,160190126,1,0,0,1
21092318,1,190146649,1,0,0,1
21092319,1,164102531,1,0,0,1
21092320,1,170195871,1,0,0,2
21092321,1,170171241,1,0,0,30
21092322,1,1300001089,1,0,0,2
21092323,1,190146649,1,0,0,1
21092324,1,300199711,1,0,0,1
21092325,1,1300001226,1,0,0,5
21092326,1,1200000449,1,0,0,1
21092327,1,1300001225,1,0,0,1
21092328,1,170195385,1,0,0,1
21092329,1,165800201,1,0,0,1
21102201,1,190146649,1,0,0,1
21102202,1,190195489,1,0,0,20
21102203,1,1300001226,1,0,0,1
21102204,1,170195871,1,0,0,2
21102205,1,190146649,1,0,0,1
21102206,1,170171241,1,0,0,30
21102207,1,164102531,1,0,0,1
21102208,1,1300001226,1,0,0,1
21102209,1,190146229,1,0,0,1
21102210,1,190146649,1,0,0,1
21102211,1,170195871,1,0,0,2
21102212,1,1300001259,1,0,0,1
21102213,1,190146230,1,0,0,2
21102214,1,1200000449,1,0,0,1
21102215,1,190146649,1,0,0,1
21102216,1,160190126,1,0,0,1
21102217,1,170171241,1,0,0,30
21102218,1,190146230,1,0,0,2
21102219,1,1300001226,1,0,0,3
21102220,1,190146649,1,0,0,1
21102221,1,190195489,1,0,0,20
21102222,1,164302504,5,0,0,1
21102223,1,1300000628,1,0,0,1
21102224,1,1200000450,1,0,0,1
21102225,1,300199711,1,0,0,1
21102226,1,1300001226,1,0,0,5
21102227,1,170195385,1,0,0,1
21102228,1,190146277,1,0,0,2
21111901,1,1300000628,1,0,0,1
21111902,1,190146649,1,0,0,1
21111903,1,1300001226,1,0,0,1
21111904,1,164302504,5,0,0,1
21111905,1,170171241,1,0,0,10
21111906,1,190146230,1,0,0,2
21111907,1,190146649,1,0,0,1
21111908,1,170195871,1,0,0,2
21111909,1,164102531,1,0,0,1
21111910,1,170171241,1,0,0,20
21111911,1,1300001226,1,0,0,1
21111912,1,1300001277,1,0,0,1
21111913,1,190146649,1,0,0,1
21111914,1,1200000450,1,0,0,1
21111915,1,190195489,1,0,0,20
21111916,1,190146230,1,0,0,2
21111917,1,170171241,1,0,0,30
21111918,1,160190126,1,0,0,1
21111919,1,190146649,1,0,0,1
21111920,1,1300001226,1,0,0,3
21111921,1,190146229,1,0,0,1
21111922,1,170195871,1,0,0,2
21111923,1,1200000449,1,0,0,1
21111924,1,190146649,1,0,0,1
21111925,1,1300000628,1,0,0,1
21111926,1,1300001226,1,0,0,5
21111927,1,170193034,1,0,0,1
21111928,1,300199711,1,0,0,1
21111929,1,170195385,1,0,0,1
21111930,1,700103320,5,0,0,1
22010401,1,190146649,1,0,0,1
22010402,1,170171241,1,0,0,10
22010403,1,190146649,1,0,0,1
22010404,1,170195871,1,0,0,2
22010405,1,190146649,1,0,0,1
22010406,1,190146230,1,0,0,2
22010407,1,190146649,1,0,0,1
22010408,1,1300000628,1,0,0,1
22010409,1,190146649,1,0,0,1
22010410,1,164302504,5,0,0,1
22010411,1,164102531,1,0,0,1
22010412,1,160190126,1,0,0,1
22010413,1,1200000449,1,0,0,1
22010414,1,1200000450,1,0,0,1
22010415,1,1300001307,1,0,0,1
22010416,1,190146229,1,0,0,1
22010417,1,190195489,1,0,0,20
22010418,1,1300001226,1,0,0,1
22010419,1,1300001226,1,0,0,3
22010420,1,1300001226,1,0,0,3
22010421,1,1300001226,1,0,0,5
22010422,1,170193034,1,0,0,1
22010423,1,300199711,1,0,0,1
22010424,1,170195385,1,0,0,1
22010425,1,190146277,1,0,0,1
22011301,1,190146277,1,0,0,1
22011302,1,190146277,1,0,0,1
22011303,1,190146277,1,0,0,1
22011304,1,190146277,1,0,0,1
22011305,1,190146277,1,0,0,1
22011306,1,190146277,1,0,0,1
22011307,1,1300001226,1,0,0,1
22011308,1,190146649,1,0,0,1
22011309,1,170195871,1,0,0,2
22011310,1,190146649,1,0,0,1
22011311,1,1300000628,1,0,0,1
22011312,1,190146649,1,0,0,1
22011313,1,170171241,1,0,0,10
22011314,1,190146649,1,0,0,1
22011315,1,190146230,1,0,0,2
22011316,1,190146649,1,0,0,1
22011317,1,164302504,5,0,0,1
22011318,1,1300001226,1,0,0,3
22011319,1,1200000449,1,0,0,1
22011320,1,1300001310,1,0,0,1
22011321,1,190195489,1,0,0,20
22011322,1,190146229,1,0,0,1
22011323,1,160190126,1,0,0,1
22011324,1,1300001226,1,0,0,5
22011325,1,164102531,1,0,0,1
22011326,1,1200000450,1,0,0,1
22011327,1,300199711,1,0,0,1
22011328,1,170195385,1,0,0,1
22020801,1,190146649,1,0,0,1
22020802,1,170195871,1,0,0,2
22020803,1,190146649,1,0,0,1
22020804,1,1300001101,1,0,0,3
22020805,1,190146649,1,0,0,1
22020806,1,190146230,1,0,0,2
22020807,1,190146649,1,0,0,1
22020808,1,190195489,1,0,0,20
22020809,1,190146649,1,0,0,1
22020810,1,164302504,5,0,0,1
22020811,1,1300000628,1,0,0,1
22020812,1,1200000449,1,0,0,1
22020813,1,190146229,1,0,0,1
22020814,1,1300001101,1,0,0,3
22020815,1,164102531,1,0,0,1
22020816,1,1300001226,1,0,0,1
22020817,1,160190126,1,0,0,1
22020818,1,1300001226,1,0,0,3
22020819,1,1200000450,1,0,0,1
22020820,1,1300001226,1,0,0,3
22020821,1,170195385,1,0,0,1
22020822,1,1300001226,1,0,0,5
22020823,1,170193034,1,0,0,1
22020824,1,300199711,1,0,0,1
22020825,1,190146277,1,0,0,1
22030401,1,190146649,1,0,0,1
22030402,1,170195871,1,0,0,2
22030403,1,1300001101,1,0,0,3
22030404,1,190146649,1,0,0,1
22030405,1,190195489,1,0,0,20
22030406,1,190146230,1,0,0,2
22030407,1,190146649,1,0,0,1
22030408,1,164302504,5,0,0,1
22030409,1,1300000628,1,0,0,1
22030410,1,190146649,1,0,0,1
22030411,1,164102531,1,0,0,1
22030412,1,190146229,1,0,0,1
22030413,1,190146649,1,0,0,1
22030414,1,1300001101,1,0,0,3
22030415,1,160190126,1,0,0,1
22030416,1,1300001226,1,0,0,1
22030417,1,1200000449,1,0,0,1
22030418,1,1300001226,1,0,0,3
22030419,1,1200000450,1,0,0,1
22030420,1,1300001226,1,0,0,3
22030421,1,170193034,1,0,0,1
22030422,1,300199711,1,0,0,1
22030423,1,1300001226,1,0,0,5
22030424,1,170195385,1,0,0,1
22030425,1,190146277,1,0,0,1
