ID,_Reward_EXP,_Reward_Ely,_Reward_Fame,_Reward_EffectID1,_Reward_EffectID2,_Reward_EffectID3,_Reward_EffectID4,_Reward_ItemID1,_Reward_StackCount1,_Reward_Rare1,_Reward_ItemID2,_Reward_StackCount2,_Reward_Rare2,_Reward_ItemID3,_Reward_StackCount3,_Reward_Rare3,_Reward_ItemID4,_Reward_StackCount4,_Reward_Rare4,_Reward_ItemID5,_Reward_StackCount5,_Reward_Rare5,_Reward_ItemID6,_Reward_StackCount6,_Reward_Rare6,_Reward_Gpoint,_Area_Reputation1,_Reputation1,_Area_Reputation2,_Reputation2,_Area_Reputation3,_Reputation3,_Reputation_Open
10110011,3000,4000,0,0,0,0,0,10310101,1,3,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,5,0,0,0,0,0,0,0
10110021,2000,2000,0,0,0,0,0,10310101,1,2,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,5,0,0,0,0,0,0,0
10120010,10500,0,0,0,0,0,0,170111502,1,1,170100601,20,1,0,0,1,0,0,1,0,0,1,0,0,1,5,0,0,0,0,0,0,0
10130010,0,0,0,14000401,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,5,0,0,0,0,0,0,0
10210010,4200,2000,0,0,0,0,0,170111501,1,1,170100102,20,1,170100601,20,1,0,0,1,0,0,1,0,0,1,8,0,0,0,0,0,0,0
10220010,2500,1200,0,0,0,0,0,170111601,1,1,170100601,20,1,0,0,1,0,0,1,0,0,1,0,0,1,5,0,0,0,0,0,0,0
10310010,140000,16000,0,0,0,0,0,70210402,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,5,0,0,0,0,0,0,0
10310020,350000,18000,0,0,0,0,0,170101405,5,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,5,0,0,0,0,0,0,0
10330010,2640,4400,0,0,0,0,0,170100101,20,1,170100601,20,1,0,0,1,0,0,1,0,0,1,0,0,1,5,0,0,0,0,0,0,0
10410010,700,1000,0,0,0,0,0,170100101,20,1,170100601,20,1,0,0,1,0,0,1,0,0,1,0,0,1,5,0,0,0,0,0,0,0
10420010,1600,2000,0,0,0,0,0,170100601,20,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,5,0,0,0,0,0,0,0
10430010,3000,2500,0,0,0,0,0,170140101,5,1,170140102,5,1,0,0,1,0,0,1,0,0,1,0,0,1,5,0,0,0,0,0,0,0
10510010,40600,3000,0,0,0,0,0,170140201,5,1,170100602,5,1,10110302,1,1,0,0,1,0,0,1,0,0,1,5,0,0,0,0,0,0,0
10510020,35000,6000,0,0,0,0,0,170140201,5,1,170100602,5,1,10110302,1,1,0,0,1,0,0,1,0,0,1,5,0,0,0,0,0,0,0
10510030,31500,6000,0,0,0,0,0,170140201,5,1,170100602,5,1,10110302,1,2,0,0,1,0,0,1,0,0,1,5,0,0,0,0,0,0,0
10520011,33600,10000,0,0,0,0,0,170140201,5,1,170140101,1,1,170140102,1,1,0,0,1,0,0,1,0,0,1,5,0,0,0,0,0,0,0
10520012,38500,3000,0,0,0,0,0,170100101,20,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,5,0,0,0,0,0,0,0
10520013,33600,2000,0,0,0,0,0,170140201,5,1,170100102,10,1,0,0,1,0,0,1,0,0,1,0,0,1,5,0,0,0,0,0,0,0
10540010,76230,19360,0,0,0,0,0,170100101,30,1,70210202,1,3,0,0,1,0,0,1,0,0,1,0,0,1,5,0,0,0,0,0,0,0
10610010,1000,10000,0,0,0,0,0,170100602,10,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,5,0,0,0,0,0,0,0
10620010,18700,4400,0,0,0,0,0,170100602,5,1,170100601,20,1,0,0,1,0,0,1,0,0,1,0,0,1,12,0,0,0,0,0,0,0
10720010,300,1000,0,0,0,0,0,80100101,1,2,170100601,20,1,0,0,1,0,0,1,0,0,1,0,0,1,5,0,0,0,0,0,0,0
10810010,800,1000,0,0,0,0,0,170100601,20,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,5,0,0,0,0,0,0,0
10920011,2200,2200,0,0,0,0,0,170100101,20,1,70210101,1,1,0,0,1,0,0,1,0,0,1,0,0,1,5,0,0,0,0,0,0,0
10920021,3300,2200,0,0,0,0,0,170100101,20,1,70210101,1,1,0,0,1,0,0,1,0,0,1,0,0,1,5,0,0,0,0,0,0,0
10920031,4400,2200,0,0,0,0,0,170100101,20,1,70210101,1,3,0,0,1,0,0,1,0,0,1,0,0,1,5,0,0,0,0,0,0,0
