ID,_FxUnit,_FXID,_Description
1,020_05_01_NORMAL_ATTACK01.FXM,1,
2,020_05_02_NORMAL_ATTACK02.FXM,2,
3,020_05_03_NORMAL_ATTACK03.FXM,3,
4,020_05_04_HEAVY_ATTACK01_01.FXM,4,
5,020_05_05_HEAVY_ATTACK02.FXM,5,
6,020_05_06_JUMP_NORMAL_ATTACK.FXM,6,
7,020_05_07_JUMP_HEAVY_ATTACK.FXM,7,
8,030_05_01_NORMAL_ATTACK01.FXM,8,
9,030_05_02_NORMAL_ATTACK02.FXM,9,
10,030_05_03_NORMAL_ATTACK03.FXM,10,
11,030_05_04_HEAVY_ATTACK01.FXM,11,
12,030_05_05_HEAVY_ATTACK02.FXM,12,
13,030_05_06_JUMP_NORMAL_ATTACK.FXM,13,
14,030_05_07_JUMP_HEAVY_ATTACK.FXM,14,
15,040_05_01_NORMAL_ATTACK01.FXM,15,
16,040_05_02_NORMAL_ATTACK02.FXM,16,
17,040_05_03_NORMAL_ATTACK03.FXM,17,
18,040_05_04_HEAVY_ATTACK01.FXM,18,
19,040_05_05_HEAVY_ATTACK02.FXM,19,
20,040_05_06_JUMP_NORMAL_ATTACK.FXM,20,
21,040_05_07_JUMP_HEAVY_ATTACK.FXM,21,
22,050_05_01_NORMAL_ATTACK01.FXM,22,
23,050_05_02_NORMAL_ATTACK02.FXM,23,
24,050_05_03_NORMAL_ATTACK03.FXM,24,
25,050_05_04_HEAVY_ATTACK01.FXM,25,
26,050_05_05_HEAVY_ATTACK02.FXM,26,
27,050_05_06_JUMP_NORMAL_ATTACK.FXM,27,
28,050_05_07_JUMP_HEAVY_ATTACK.FXM,28,
43,080_05_01_NORMAL_ATTACK01.FXM,43,
44,080_05_02_NORMAL_ATTACK02.FXM,44,
45,080_05_03_NORMAL_ATTACK03.FXM,45,
46,080_05_04_HEAVY_ATTACK01.FXM,46,
47,080_05_05_HEAVY_ATTACK02.FXM,47,
48,080_05_06_JUMP_NORMAL_ATTACK.FXM,48,
49,080_05_07_JUMP_HEAVY_ATTACK.FXM,49,
50,090_05_01_NORMAL_ATTACK01.FXM,50,
51,090_05_02_NORMAL_ATTACK02.FXM,51,
52,090_05_03_NORMAL_ATTACK03.FXM,52,
53,090_05_04_HEAVY_ATTACK01.FXM,53,
54,090_05_05_HEAVY_ATTACK02.FXM,54,
55,090_05_06_JUMP_NORMAL_ATTACK.FXM,55,
56,090_05_07_JUMP_HEAVY_ATTACK.FXM,56,
57,100_05_01_NORMAL_ATTACK01.FXM,57,
58,100_05_02_NORMAL_ATTACK02.FXM,58,
59,100_05_03_NORMAL_ATTACK03.FXM,59,
60,100_05_04_HEAVY_ATTACK01.FXM,60,
61,100_05_05_HEAVY_ATTACK02.FXM,61,
62,100_05_06_JUMP_NORMAL_ATTACK.FXM,62,
63,100_05_07_JUMP_HEAVY_ATTACK.FXM,63,
64,110_05_01_NORMAL_ATTACK01.FXM,64,
65,110_05_02_NORMAL_ATTACK02.FXM,65,
66,110_05_03_NORMAL_ATTACK03.FXM,66,
67,110_05_04_HEAVY_ATTACK01.FXM,67,
68,110_05_05_HEAVY_ATTACK02.FXM,68,
69,110_05_06_JUMP_NORMAL_ATTACK.FXM,69,
70,110_05_07_JUMP_HEAVY_ATTACK.FXM,70,
71,020_05_04_HEAVY_ATTACK01_02.FXM,71,
72,060_05_HEAVY_ATTACK01_01.FXM,72,
73,060_05_HEAVY_ATTACK01_02.FXM,73,
74,060_05_HEAVY_ATTACK01_03.FXM,74,
75,060_05_HEAVY_ATTACK01_04.FXM,75,
76,060_05_HEAVY_ATTACK01_05.FXM,76,
77,060_05_HEAVY_ATTACK01_06.FXM,77,
78,060_05_HEAVY_ATTACK02_01.FXM,78,
79,060_05_HEAVY_ATTACK02_02.FXM,79,
80,060_05_HEAVY_ATTACK02_03.FXM,80,
81,060_05_HEAVY_ATTACK02_P01.FXM,81,
82,060_05_HEAVY_ATTACK02_P02.FXM,82,
83,060_05_HEAVY_ATTACK02_P03.FXM,83,
84,060_05_HEAVY_ATTACK02_P04.FXM,84,
85,060_05_HEAVY_ATTACK02_P05.FXM,85,
86,060_05_HEAVY_ATTACK02_P06.FXM,86,
87,060_05_HEAVY_ATTACK02_P07.FXM,87,
10003,060_01_06_RUN.FXM,10003,
94,060_05_HEAVY_ATTACK03_01.FXM,94,
95,060_05_HEAVY_ATTACK03_02.FXM,95,
96,060_05_HEAVY_ATTACK03_03.FXM,96,
97,060_05_HEAVY_ATTACK03_04.FXM,97,
98,060_05_HEAVY_ATTACK03_05.FXM,98,
100,060_05_HEAVY_ATTACK03_07.FXM,100,
101,060_05_HEAVY_ATTACK04_01.FXM,101,
102,060_05_HEAVY_ATTACK04_02.FXM,102,
103,060_05_HEAVY_ATTACK04_03.FXM,103,
104,060_05_HEAVY_ATTACK04_04.FXM,104,
105,060_05_HEAVY_ATTACK05_01.FXM,105,
106,060_05_HEAVY_ATTACK05_02.FXM,106,
107,060_05_HEAVY_ATTACK05_03.FXM,107,
108,060_05_HEAVY_ATTACK05_04.FXM,108,
109,120_21_18_01.FXM,109,
110,120_21_18_02.FXM,110,
111,120_21_18_03.FXM,111,
112,120_21_18_04.FXM,112,
113,120_21_18_05.FXM,113,
114,120_21_18_06.FXM,114,
115,120_21_18_07.FXM,115,
116,120_21_18_08.FXM,116,
117,120_21_18_09.FXM,117,
118,120_21_19_01.FXM,118,
119,120_21_19_02.FXM,119,
120,120_21_19_03.FXM,120,
121,120_21_19_04.FXM,121,
122,120_21_19_05.FXM,122,
123,120_21_19_06.FXM,123,
124,120_21_19_07.FXM,124,
125,120_21_19_08.FXM,125,
126,120_21_19_09.FXM,126,
127,120_21_19_10.FXM,127,
129,120_21_20_01.FXM,129,
130,120_21_20_02.FXM,130,
131,120_21_20_03.FXM,131,
132,120_21_20_04.FXM,132,
133,120_21_20_05.FXM,133,
134,120_21_20_06.FXM,134,
135,120_21_20_07.FXM,135,
136,120_21_20_08.FXM,136,
