ID,_FILENAME,_DESC
10001100,Data/GlobalRes/ItemBattle_Icon00.png,??? ?? ???
10001101,Data/GlobalRes/ItemBattle_Icon01.png,?? ??? 2? ??
10001102,Data/GlobalRes/ItemBattle_Icon02.png,?? ??? 3? ??
10001103,Data/GlobalRes/ItemBattle_Icon03.png,?? ??? 4? ??
10001104,Data/GlobalRes/ItemBattle_Icon04.png,?? ??? 5? ??
10001105,Data/GlobalRes/ItemBattle_Icon05.png,?? ??? 6? ??
10001106,Data/GlobalRes/ItemBattle_Icon06.png,?? ??? 7? ??
10001107,Data/GlobalRes/ItemBattle_Icon07.png,?? ??? 8? ??
10001108,Data/GlobalRes/ItemBattle_Icon08.png,?? ??? 9? ??
10001109,Data/GlobalRes/ItemBattle_Icon09.png,?? ??? 10? ??
10001110,Data/GlobalRes/ItemBattle_Icon10.png,?? ??? 11? ??
10001111,Data/GlobalRes/ItemBattle_Icon11.png,?? ??? 12? ??
10001200,Data/GlobalRes/ItemCash_Icon00.png,??? ?? ???
10001201,Data/GlobalRes/ItemCash_Icon01.png,??? ?? ??? 2? ??
10001202,Data/GlobalRes/ItemCash_Icon02.png,??? ?? ??? 3? ??
10001203,Data/GlobalRes/ItemCash_Icon03.png,??? ?? ??? 4? ??
10001204,Data/GlobalRes/ItemCash_Icon04.png,??? ?? ??? 5? ??
10001205,Data/GlobalRes/ItemCash_Icon05.png,??? ?? ??? 6? ??
10001206,Data/GlobalRes/ItemCash_Icon06.png,??? ?? ??? 7? ??
10001207,Data/GlobalRes/ItemCash_Icon07.png,??? ?? ??? 8? ??
10001208,Data/GlobalRes/ItemCash_Icon08.png,??? ?? ??? 9? ??
10001209,Data/GlobalRes/ItemCash_Icon09.png,??? ?? ??? 10? ??
10001300,Data/GlobalRes/ItemEtc_Icon00.png,??? ?? ???
10001301,Data/GlobalRes/ItemEtc_Icon01.png,??? ?? ??? 2? ??
10001302,Data/GlobalRes/ItemEtc_Icon02.png,??? ?? ??? 3? ??
10001303,Data/GlobalRes/ItemEtc_Icon03.png,??? ?? ??? 4? ??
10001304,Data/GlobalRes/ItemEtc_Icon04.png,??? ?? ??? 5? ??
10001305,Data/GlobalRes/ItemEtc_Icon05.png,??? ?? ??? 6? ??
10001306,Data/GlobalRes/ItemEtc_Icon06.png,??? ?? ??? 7? ??
10001307,Data/GlobalRes/ItemEtc_Icon07.png,??? ?? ??? 8? ??
10001308,Data/GlobalRes/ItemEtc_Icon08.png,??? ?? ??? 9? ??
10001309,Data/GlobalRes/ItemEtc_Icon09.png,??? ?? ??? 10? ??
10001310,Data/GlobalRes/ItemEtc_Icon10.png,??? ?? ??? 11? ??
10001311,Data/GlobalRes/ItemEtc_Icon11.png,??? ?? ??? 12? ??
10001312,Data/GlobalRes/ItemEtc_Icon12.png,??? ?? ??? 13? ??
10001313,Data/GlobalRes/ItemEtc_Icon13.png,??? ?? ??? 14? ??
10001401,Data/GlobalRes/ItemChina_Icon00.png,?? ?? ??? ???
10001501,Data/GlobalRes/ItemJapan_Icon00.png,?? ?? ??? ???
10001600,Data/GlobalRes/ItemRenewal_Icon00.png,12??? ??? ??
10001901,Data/GlobalRes/Mike_00.png,?? ?? ?????
10002000,Data/GlobalRes/Map_Icon00.PNG,"??, ? ???"
10003000,Data/GlobalRes/SKILL_ICON00.PNG,[??] ???? ???
10003010,Data/GlobalRes/SKILL_ICON10.PNG,[??] ?? ??
10003011,Data/GlobalRes/SKILL_ICON11.PNG,[??] ?? ??2
