ID,_Name,_Require1_Type,_Require1_ID,_Require1_Value1,_Require1_Value2,_Require2_Type,_Require2_ID,_Require2_Value1,_Require2_Value2,_Require3_Type,_Require3_ID,_Require3_Value1,_Require3_Value2,_Require4_Type,_Require4_ID,_Require4_Value1,_Require4_Value2,_Require5_Type,_Require5_ID,_Require5_Value1,_Require5_Value2,_Visible,_Acquisition_EffectID1,_Acquisition_EffectID2,_Acquisition_EffectID3,_Acquisition_EffectID4,_Acquisition_EffectID5,_Acquisition_ItemID1,_Acquisition_StackCount1,_Acquisition_Rare1,_Acquisition_ItemID2,_Acquisition_StackCount2,_Acquisition_Rare2,_Mission_Type1,_Mission_ID1,_Mission_Count1,_Mission_Type2,_Mission_ID2,_Mission_Count2,_Mission_Type3,_Mission_ID3,_Mission_Count3,_Mission_Type4,_Mission_ID4,_Mission_Count4,_Complete_NPCID,_Consumption_ItemID1,_Consumption_ItemCount1,_Consumption_ItemID2,_Consumption_ItemCount2,_Consumption_ItemID3,_Consumption_ItemCount3,_Consumption_ItemID4,_Consumption_ItemCount4,_Consumption_ItemID5,_Consumption_ItemCount5,_Rank1_Require1_Type,_Rank1_Require1_ID,_Rank1_Require1_Value1,_Rank1_Require1_Value2,_Rank1_Require2_Type,_Rank1_Require2_ID,_Rank1_Require2_Value1,_Rank1_Require2_Value2,_Rank2_Require1_Type,_Rank2_Require1_ID,_Rank2_Require1_Value1,_Rank2_Require1_Value2,_Rank2_Require2_Type,_Rank2_Require2_ID,_Rank2_Require2_Value1,_Rank2_Require2_Value2,_Rank3_Require1_Type,_Rank3_Require1_ID,_Rank3_Require1_Value1,_Rank3_Require1_Value2,_Rank3_Require2_Type,_Rank3_Require2_ID,_Rank3_Require2_Value1,_Rank3_Require2_Value2,_Rank1_ID1,_Rank2_ID1,_Rank3_ID1,_Quest_AcceptType,_Quest_CompletionDel,_Quest_Type,_Complete_Remote,_IsUnique,_RewardType,_REWARD_REP,_Hero_Mission,_Reward_Lv
148101001,進行任務~,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,148101001,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148101001,0,0,1,0,0,0,1,1,0,0,1
144901001,何時開始的耶比妹妹,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,144901001,1,1,0,0,0,0,0,0,0,1,0,0,1,1,810000101,5,0,0,0,0,0,0,0,0,0,6001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144901001,0,0,1,0,0,0,1,1,1,0,1
144901002,道具收集任務?,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,144901002,1,1,0,0,0,0,0,0,0,1,0,0,1,3,190100201,5,0,0,0,0,0,0,0,0,0,6001,190100201,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144901002,0,0,1,0,0,0,1,1,1,0,1
144901003,樹林深處的危險,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,144901003,1,1,0,0,0,0,0,0,0,1,0,0,1,1,810000109,5,0,0,0,0,0,0,0,0,0,6001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144901003,0,0,1,0,0,0,1,1,1,0,1
144901004,訓練小狗,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,144901004,1,1,0,0,0,0,0,0,0,1,0,0,1,3,190100401,2,3,190100302,2,0,0,0,0,0,0,6001,190100401,2,190100302,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144901004,0,0,1,0,0,0,1,1,1,0,1
148101002,想使用技能!,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,148101002,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148101002,0,0,1,0,0,0,1,1,1,0,1
144002001,小綠龍! 意外的很可愛?,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,144002001,1,1,0,0,0,0,0,0,0,1,0,0,1,1,810000242,5,0,0,0,0,0,0,0,0,0,6002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144002001,0,0,1,0,0,0,1,1,1,0,8
144002002,古木林的獵人,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,144002002,1,1,0,0,0,0,0,0,0,1,0,0,1,1,810000112,5,0,0,0,0,0,0,0,0,0,6002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144002002,0,0,1,0,0,0,1,1,1,0,8
144002003,解禁!豬肉!,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,144002003,1,1,0,0,0,0,0,0,0,1,0,0,1,1,810000233,5,3,190111901,5,0,0,0,0,0,0,6002,190111901,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144002003,0,0,1,0,0,0,1,1,1,0,8
148101003,行動技能GOGO!,1,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,148101003,1,1,0,0,0,0,0,0,0,1,0,0,1,5,150,1,0,0,0,0,0,0,0,0,0,6001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148101003,0,0,1,0,0,0,1,1,1,0,8
