ID,_MinXp,_MaxXp
1,0,3000
2,3000,7000
3,7000,12350
4,12350,20680
5,20680,33120
6,33120,50400
7,50400,73870
8,73870,105600
9,105600,146160
10,146160,196940
11,196940,259250
12,259250,334320
13,334320,423300
14,423300,527260
15,527260,648000
16,648000,786400
17,786400,944050
18,944050,1121640
19,1121640,1320550
20,1320550,1546600
21,1546600,1808250
22,1808250,2162960
23,2162960,2576420
24,2576420,3053700
25,3053700,3600820
26,3600820,4224800
27,4224800,4871200
28,4871200,5590400
29,5590400,6387200
30,6387200,7266400
31,7266400,8233600
32,8233600,9294400
33,9294400,10453600
34,10453600,11717600
35,11717600,13092800
36,13092800,14585600
37,14585600,16202400
38,16202400,17949600
39,17949600,19835200
40,19835200,21965600
41,21965600,24344800
42,24344800,26986400
43,26986400,29904800
44,29904800,33114400
45,33114400,36631200
46,36631200,40470400
47,40470400,44649600
48,44649600,49185600
49,49185600,54096000
50,54096000,59400800
51,59400800,65118400
52,65118400,71269600
53,71269600,77875200
54,77875200,84956800
55,84956800,92537600
56,92537600,100640800
57,100640800,109291200
58,109291200,118513600
59,118513600,128335200
60,128335200,138783200
61,138783200,149885600
62,149885600,161672000
63,161672000,174172800
64,174172800,187420000
65,187420000,201446400
66,201446400,216286400
67,216286400,231975200
68,231975200,248549600
69,248549600,266047200
70,266047200,284507200
71,284507200,303970400
72,303970400,324480000
73,324480000,346079200
74,346079200,368812800
75,368812800,392728800
76,392728800,417875200
77,417875200,444302400
78,444302400,472062400
79,472062400,501209600
80,501209600,531800000
81,531800000,563891200
82,563891200,597543200
83,597543200,632818400
84,632818400,669780800
85,669780800,708496000
86,708496000,749033600
87,749033600,791464000
88,791464000,835861600
89,835861600,882301600
90,882301600,930863200
91,930863200,981627200
92,981627200,1034677600
93,1034677600,1090101600
94,1090101600,1147988800
95,1147988800,1208432800
96,1208432800,1271528800
97,1271528800,1337376800
98,1337376800,1406078400
99,1406078400,1477740800
100,1477740800,1552472800
101,1552472800,1630388000
102,1630388000,1711603200
103,1711603200,1796239200
104,1796239200,1884420800
105,1884420800,1976276800
106,1976276800,2071940800
107,2071940800,2171550400
108,2171550400,2275247200
109,2275247200,2383178400
110,2383178400,2495496000
111,2495496000,2612355200
112,2612355200,2733918400
113,2733918400,2860352800
114,2860352800,2991830400
115,2991830400,3128528000
116,3128528000,3270630400
117,3270630400,3418326400
118,3418326400,3571811200
119,3571811200,3731287200
120,3731287200,3896962400
121,3896962400,4069052000
122,4069052000,4247777600
123,4247777600,4433368000
124,4433368000,4626059200
125,4626059200,4826094400
126,4826094400,5033725600
127,5033725600,5249211200
128,5249211200,5472819200
129,5472819200,5704825600
130,5704825600,5945515200
131,5945515200,6195180800
132,6195180800,6454124800
133,6454124800,6722660000
134,6722660000,7001108000
135,7001108000,7289800800
136,7289800800,7589080800
137,7589080800,7899300800
138,7899300800,8220824800
139,8220824800,8554027200
140,8554027200,8899295200
141,8899295200,9257028000
142,9257028000,9627636000
143,9627636000,10011543200
144,10011543200,10409186400
145,10409186400,10821015200
146,10821015200,11247494400
147,11247494400,11689101600
148,11689101600,12146329600
149,12146329600,12619686400
150,12619686400,13109695200
151,13109695200,13616895200
152,13616895200,14141841600
153,14141841600,14685108000
154,14685108000,15247284000
155,15247284000,15828976800
156,15828976800,16430812800
157,16430812800,17053437600
158,17053437600,17697516000
159,17697516000,18363732000
160,18363732000,19052791200
161,19052791200,19765419200
162,19765419200,20502365600
163,20502365600,21264400000
164,21264400000,22052316800
165,22052316800,22866933600
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
0,,
