ID,_HairID,_HairColorID,_ExpressionID,_ExpressionColorID,_SkinID,_BlouseID,_PantsID,_HairExplain,_HairColorExplain,_ExpressionExplain,_ExpressionColorExplain,_SkinExplain,_BlouseExplain,_PantsExplain
1,130100100,1,140100100,1,150100101,20500101,30200101,俐落短髮髮型,肉桂橘色,有力的眼神,海綠色,亮桃色,天藍色,天藍色
2,130100200,2,140100200,2,150100102,20500102,30200102,飄逸馬尾髮型,銘黃色,貓眼,藍色,桃色,貝殼粉色,貝殼粉色
3,130100300,3,140100300,3,150100103,20500103,30200103,浪漫捲髮型,玫瑰紅,幹練的眼睛,深紅色,暗粉色,棕色,棕色
4,130100400,4,140100400,4,0,20500104,30200104,火花髮型,棕色,和善眼睛,棕色,,深紫色,深紫色
5,130100500,5,140100500,5,0,0,0,火花馬尾髮型,孔雀綠,睡眼惺忪,深粉色,,,
6,130100600,6,140100600,0,0,0,0,超級飄逸髮型,鐵藍色,綠豆小眼,,,,
7,130100700,9,140100700,0,0,0,0,飄逸髮型,黑色,半月形眼,,,,
8,130100800,0,0,0,0,0,0,中長髮型,,,,,,
9,130100900,0,0,0,0,0,0,活力馬尾髮型,,,,,,
10,130101000,0,0,0,0,0,0,耍脾氣髮型,,,,,,
1001,130200100,1,140200100,1,150100101,20900101,30300101,可愛馬尾髮型,肉桂橘色,炯炯有神的眼睛,海綠色,亮桃色,天藍色,天藍色
1002,130200200,2,140200200,2,150100102,20900102,30300102,公主頭髮型,銘黃色,和善眼睛,藍色,桃色,貝殼粉色,貝殼粉色
1003,130200300,3,140200300,3,150100103,20900103,30300103,柔順捲髮型,玫瑰紅,幹練的眼睛,深紅色,暗桃色,棕色,棕色
1004,130200400,4,140200400,4,0,20900104,30300104,短髮髮型,棕色,貓眼,棕色,,深紫色,深紫色
1005,130200500,5,140200500,5,0,0,0,秀麗長髮髮型,孔雀綠,大眼,深粉色,,,
1006,130200600,6,140200600,0,0,0,0,沖天砲髮型,鐵藍色,綠豆小眼,,,,
1007,130200700,9,140200700,0,0,0,0,自然捲髮型,黑色,半月形眼,,,,
1008,130200800,0,0,0,0,0,0,直順長髮髮型,,,,,,
1009,130200900,0,0,0,0,0,0,馬尾髮型,,,,,,
1010,130201000,0,0,0,0,0,0,分兩邊馬尾髮型,,,,,,
