ID,_FxGroup,_Description
1,020_05_01_NORMAL_ATTACK01.FXG,
2,020_05_02_NORMAL_ATTACK02.FXG,
3,020_05_03_NORMAL_ATTACK03.FXG,
4,020_05_04_HEAVY_ATTACK01.FXG,
5,020_05_05_HEAVY_ATTACK02.FXG,
6,020_05_06_JUMP_NORMAL_ATTACK.FXG,
7,020_05_07_JUMP_HEAVY_ATTACK.FXG,
8,030_05_01_NORMAL_ATTACK01.FXG,
9,030_05_02_NORMAL_ATTACK02.FXG,
10,030_05_03_NORMAL_ATTACK03.FXG,
11,030_05_04_HEAVY_ATTACK01.FXG,
12,030_05_05_HEAVY_ATTACK02.FXG,
13,030_05_06_JUMP_NORMAL_ATTACK.FXG,
14,030_05_07_JUMP_HEAVY_ATTACK.FXG,
15,040_05_01_NORMAL_ATTACK01.FXG,
16,040_05_02_NORMAL_ATTACK02.FXG,
17,040_05_03_NORMAL_ATTACK03.FXG,
18,040_05_04_HEAVY_ATTACK01.FXG,
19,040_05_05_HEAVY_ATTACK02.FXG,
20,040_05_06_JUMP_NORMAL_ATTACK.FXG,
21,040_05_07_JUMP_HEAVY_ATTACK.FXG,
22,050_05_01_NORMAL_ATTACK01.FXG,
23,050_05_02_NORMAL_ATTACK02.FXG,
24,050_05_03_NORMAL_ATTACK03.FXG,
25,050_05_04_HEAVY_ATTACK01.FXG,
26,050_05_05_HEAVY_ATTACK02.FXG,
27,050_05_06_JUMP_NORMAL_ATTACK.FXG,
28,050_05_07_JUMP_HEAVY_ATTACK.FXG,
43,080_05_01_NORMAL_ATTACK01.FXG,
44,080_05_02_NORMAL_ATTACK02.FXG,
45,080_05_03_NORMAL_ATTACK03.FXG,
46,080_05_04_HEAVY_ATTACK01.FXG,
47,080_05_05_HEAVY_ATTACK02.FXG,
48,080_05_06_JUMP_NORMAL_ATTACK.FXG,
49,080_05_07_JUMP_HEAVY_ATTACK.FXG,
50,080_05_07_JUMP_HEAVY_ATTACK.FXG,
51,090_05_02_NORMAL_ATTACK02.FXG,
52,090_05_03_NORMAL_ATTACK03.FXG,
53,090_05_04_HEAVY_ATTACK01.FXG,
54,090_05_05_HEAVY_ATTACK02.FXG,
55,090_05_06_JUMP_NORMAL_ATTACK.FXG,
56,090_05_07_JUMP_HEAVY_ATTACK.FXG,
57,100_05_01_NORMAL_ATTACK01.FXG,
58,100_05_02_NORMAL_ATTACK02.FXG,
59,100_05_03_NORMAL_ATTACK03.FXG,
60,100_05_04_HEAVY_ATTACK01.FXG,
61,100_05_05_HEAVY_ATTACK02.FXG,
62,100_05_06_JUMP_NORMAL_ATTACK.FXG,
63,100_05_07_JUMP_HEAVY_ATTACK.FXG,
64,110_05_01_NORMAL_ATTACK01.FXG,
65,110_05_02_NORMAL_ATTACK02.FXG,
66,110_05_03_NORMAL_ATTACK03.FXG,
67,110_05_04_HEAVY_ATTACK01.FXG,
68,110_05_05_HEAVY_ATTACK02.FXG,
69,110_05_06_JUMP_NORMAL_ATTACK.FXG,
70,110_05_07_JUMP_HEAVY_ATTACK.FXG,
71,060_05_HEAVY_ATTACK01.FXG,
72,060_05_HEAVY_ATTACK02.FXG,
73,060_01_06_RUN.FXG,
74,060_05_HEAVY_ATTACK03.FXG,
75,060_05_HEAVY_ATTACK04.FXG,
76,060_05_HEAVY_ATTACK05.FXG,
77,120_21_18_ELE_CASTING18.FXG,
78,120_21_18_ELE_CASTING18_E.FXG,
79,120_21_18_ELE_CASTING19.FXG,
80,120_21_18_ELE_CASTING20.FXG,
81,120_21_18_ELE_CASTING20_E.FXG,
500,ITEM_PACKAGE.FXG,
501,RUN_DUST.FXG,
502,DOWN_DUST.FXG,
503,STUN.FXG,
504,GUARD.FXG,
505,RUN_STOP_DUST.FXG,
506,LEVEL_UP.FXG,
507,ASSULTED00.FXG,
508,ASSULTED01.FXG,
509,QCLEAR.FXG,
510,MOBCREAT.FXG,
511,HP.FXG,
512,SP.FXG,
513,SKILLGET.FXG,
514,STATE_Poison1.FXG,
515,SKILLGET_Fail.FXG,
516,STATE_Berserk.FXG,
517,STATE_ATK.FXG,
518,STATE_DEF.FXG,
519,STATE_DATK.FXG,
520,STATE_DDEF.FXG,
521,STATE_Rest.FXG,
522,STATE_Stomachache.FXG,
523,STATE_CLS01.FXG,
524,STATE_CLS02.FXG,
525,STATE_CLS03.FXG,
526,STATE_CLS04.FXG,
527,STATE_CURE_01.FXG,
528,BEATTACK_01_01.FXG,
529,BEATTACK_02_01.FXG,
530,BEATTACK_03_01.FXG,
531,BEATTACK_04_01.FXG,
532,BEATTACK_01_02.FXG,
533,BEATTACK_02_02.FXG,
534,BEATTACK_03_02.FXG,
535,BEATTACK_04_02.FXG,
