ID,_ItemID,_ItemName,_Icon,_IconIndex,_ItemRare,_ItemCount,_Ely,_Description,_Require1_Type,_Require1_ID,_Require1_Value1,_Require1_Value2,_Require2_Type,_Require2_ID,_Require2_Value1,_Require2_Value2,_RequireItem1,_Count1,_RequireItem2,_Count2,_ReueireEly,_ErrMessage,_RequirePpt,_Reputation_Type,_Reputation_Level,_Reputationpt,_Challengept
10010101,170120601,,0,0,1,1,0,,0,0,0,0,0,0,0,0,190171319,5,0,0,0,需要[SS5硬幣] X 5,0,0,0,0,0
10020101,170120602,,0,0,1,1,0,,0,0,0,0,0,0,0,0,190171319,5,0,0,0,需要[SS5硬幣] X 5,0,0,0,0,0
10030101,170120603,,0,0,1,1,0,,0,0,0,0,0,0,0,0,190171319,5,0,0,0,需要[SS5硬幣] X 5,0,0,0,0,0
10040101,170120604,,0,0,1,1,0,,0,0,0,0,0,0,0,0,190171319,5,0,0,0,需要[SS5硬幣] X 5,0,0,0,0,0
10050101,170120605,,0,0,1,1,0,,0,0,0,0,0,0,0,0,190171319,5,0,0,0,需要[SS5硬幣] X 5,0,0,0,0,0
10060101,170120606,,0,0,1,1,0,,0,0,0,0,0,0,0,0,190171319,5,0,0,0,需要[SS5硬幣] X 5,0,0,0,0,0
10070101,170120607,,0,0,1,1,0,,0,0,0,0,0,0,0,0,190171319,5,0,0,0,需要[SS5硬幣] X 5,0,0,0,0,0
10080101,170120608,,0,0,1,1,0,,0,0,0,0,0,0,0,0,190171319,5,0,0,0,需要[SS5硬幣] X 5,0,0,0,0,0
10090101,170120609,,0,0,1,1,0,,0,0,0,0,0,0,0,0,190171319,5,0,0,0,需要[SS5硬幣] X 5,0,0,0,0,0
10100101,170120610,,0,0,1,1,0,,0,0,0,0,0,0,0,0,190171319,5,0,0,0,需要[SS5硬幣] X 5,0,0,0,0,0
10110101,170120611,,0,0,1,1,0,,0,0,0,0,0,0,0,0,190171319,5,0,0,0,需要[SS5硬幣] X 5,0,0,0,0,0
10120101,170120612,,0,0,1,1,0,,0,0,0,0,0,0,0,0,190171319,5,0,0,0,需要[SS5硬幣] X 5,0,0,0,0,0
10130101,170120613,,0,0,1,1,0,,0,0,0,0,0,0,0,0,190171319,5,0,0,0,需要[SS5硬幣] X 5,0,0,0,0,0
10140101,170120614,,0,0,1,1,0,,0,0,0,0,0,0,0,0,190171319,5,0,0,0,需要[SS5硬幣] X 5,0,0,0,0,0
10150101,170120615,,0,0,1,1,0,,0,0,0,0,0,0,0,0,190171319,5,0,0,0,需要[SS5硬幣] X 5,0,0,0,0,0
10160101,170120616,,0,0,1,1,0,,0,0,0,0,0,0,0,0,190171319,5,0,0,0,需要[SS5硬幣] X 5,0,0,0,0,0
10010201,170120631,,0,0,1,1,0,,0,0,0,0,0,0,0,0,190171319,3,0,0,0,需要[SS5硬幣] X 3,0,0,0,0,0
10020201,170120632,,0,0,1,1,0,,0,0,0,0,0,0,0,0,190171319,3,0,0,0,需要[SS5硬幣] X 3,0,0,0,0,0
10030201,170120633,,0,0,1,1,0,,0,0,0,0,0,0,0,0,190171319,3,0,0,0,需要[SS5硬幣] X 3,0,0,0,0,0
10040201,170120634,,0,0,1,1,0,,0,0,0,0,0,0,0,0,190171319,3,0,0,0,需要[SS5硬幣] X 3,0,0,0,0,0
