ID,_FxUnit,_FXID,_Description
100100,480_08_SKILL_03_00.FXM,100100,
100101,480_08_SKILL_03_01.FXM,100101,
100102,480_08_SKILL_03_02.FXM,100102,
100103,480_08_SKILL_03_03.FXM,100103,
100104,480_08_SKILL_03_04.FXM,100104,
100105,480_08_SKILL_02_SIHOUETTE.FXM,100105,
100106,480_08_SKILL_02_GUIDE_FRONT.FXM,100106,
100107,480_08_SKILL_02_GUIDE_TOP.FXM,100107,
100108,480_08_SKILL_02_GUIDE_REAR.FXM,100108,
100109,480_08_SKILL_02_BASE.FXM,100109,
100110,480_08_SKILL_02_FRONT.FXM,100110,
100111,480_08_SKILL_02_OPERATOR.FXM,100111,
100112,480_08_SKILL_02_SCREEN1.FXM,100112,
100113,480_08_SKILL_02_SCREEN2.FXM,100113,
100114,480_08_SKILL_02_SCREEN3.FXM,100114,
100115,480_08_SKILL_02_DRONE1.FXM,100115,
100116,480_08_SKILL_02_DRONE2.FXM,100116,
100117,480_08_SKILL_02_SPARK1.FXM,100117,
100118,480_08_SKILL_02_SPARK2.FXM,100118,
100119,480_08_SKILL_02_FLASH1.FXM,100119,
100120,480_08_SKILL_02_FLASH2.FXM,100120,
100121,480_08_SKILL_02_FOG.FXM,100121,
100122,480_08_SKILL_02_GUIDE_FRONT_A.FXM,100122,
100123,480_08_SKILL_02_LIGHT.FXM,100123,
100124,SKILL_NAME_152.FXM,100124,
100125,SKILL_NAME_153.FXM,100125,
100126,SKILL_NAME_154.FXM,100126,
100127,,0,
100128,,0,
100129,,0,
100130,,0,
100131,,0,
100132,,0,
100133,,0,
100134,,0,
100135,,0,
100136,,0,
100137,,0,
100138,,0,
100139,,0,
100140,,0,
100141,,0,
100142,,0,
100143,,0,
100144,,0,
100145,,0,
100146,,0,
100147,,0,
100148,,0,
100149,,0,
100150,,0,
100151,,0,
100152,,0,
100153,,0,
100154,,0,
100155,,0,
100156,,0,
100157,,0,
100158,,0,
100159,,0,
100160,,0,
100161,,0,
100162,,0,
100163,,0,
100164,,0,
100165,,0,
100166,,0,
100167,,0,
100168,,0,
100169,,0,
100170,,0,
100171,,0,
100172,,0,
100173,,0,
100174,,0,
100175,,0,
100176,,0,
100177,,0,
100178,,0,
100179,,0,
100180,,0,
100181,,0,
100182,,0,
100183,,0,
100184,,0,
100185,,0,
100186,,0,
100187,,0,
100188,,0,
100189,,0,
100190,,0,
100191,,0,
100192,,0,
100193,,0,
100194,,0,
100195,,0,
100196,,0,
100197,,0,
100198,,0,
100199,,0,
100200,,0,
100201,,0,
100202,,0,
100203,,0,
100204,,0,
100205,,0,
100206,,0,
100207,,0,
100208,,0,
100209,,0,
100210,,0,
100211,,0,
100212,,0,
100213,,0,
100214,,0,
100215,,0,
100216,,0,
100217,,0,
100218,,0,
100219,,0,
100220,,0,
100221,,0,
100222,,0,
100223,,0,
100224,,0,
100225,,0,
100226,,0,
100227,,0,
100228,,0,
100229,,0,
100230,,0,
100231,,0,
100232,,0,
100233,,0,
100234,,0,
100235,,0,
100236,,0,
100237,,0,
100238,,0,
100239,,0,
100240,,0,
100241,,0,
100242,,0,
100243,,0,
100244,,0,
100245,,0,
100246,,0,
100247,,0,
100248,,0,
100249,,0,
100250,,0,
100251,,0,
100252,,0,
100253,,0,
100254,,0,
100255,,0,
100256,,0,
100257,,0,
100258,,0,
100259,,0,
100260,,0,
100261,,0,
100262,,0,
100263,,0,
100264,,0,
100265,,0,
100266,,0,
100267,,0,
100268,,0,
100269,,0,
100270,,0,
100271,,0,
100272,,0,
100273,,0,
100274,,0,
100275,,0,
100276,,0,
100277,,0,
100278,,0,
100279,,0,
100280,,0,
100281,,0,
100282,,0,
100283,,0,
100284,,0,
100285,,0,
100286,,0,
100287,,0,
100288,,0,
100289,,0,
100290,,0,
100291,,0,
100292,,0,
100293,,0,
100294,,0,
100295,,0,
100296,,0,
100297,,0,
100298,,0,
100299,,0,
100300,,0,
100301,,0,
100302,,0,
100303,,0,
100304,,0,
100305,,0,
100306,,0,
100307,,0,
100308,,0,
100309,,0,
100310,,0,
100311,,0,
100312,,0,
100313,,0,
100314,,0,
100315,,0,
100316,,0,
100317,,0,
100318,,0,
100319,,0,
100320,,0,
100321,,0,
100322,,0,
100323,,0,
100324,,0,
100325,,0,
100326,,0,
100327,,0,
100328,,0,
100329,,0,
100330,,0,
100331,,0,
100332,,0,
100333,,0,
100334,,0,
100335,,0,
100336,,0,
100337,,0,
100338,,0,
100339,,0,
100340,,0,
100341,,0,
100342,,0,
100343,,0,
100344,,0,
100345,,0,
100346,,0,
100347,,0,
100348,,0,
100349,,0,
100350,,0,
100351,,0,
100352,,0,
100353,,0,
100354,,0,
100355,,0,
100356,,0,
100357,,0,
100358,,0,
100359,,0,
100360,,0,
100361,,0,
100362,,0,
100363,,0,
100364,,0,
100365,,0,
100366,,0,
100367,,0,
100368,,0,
100369,,0,
100370,,0,
100371,,0,
100372,,0,
100373,,0,
100374,,0,
100375,,0,
100376,,0,
100377,,0,
100378,,0,
100379,,0,
100380,,0,
100381,,0,
100382,,0,
100383,,0,
100384,380_05_SKILL_01_BODY.FXM,100384,
100385,380_05_SKILL_01_R_shoulder.FXM,100385,
100386,380_05_SKILL_01_R_arm.FXM,100386,
100387,380_05_SKILL_01_R_hand.FXM,100387,
100388,380_05_SKILL_01_L_shoulder.FXM,100388,
100389,380_05_SKILL_01_L_arm.FXM,100389,
100390,380_05_SKILL_01_L_hand.FXM,100390,
100391,380_05_SKILL_01_R_leg.FXM,100391,
100392,380_05_SKILL_01_R_foot.FXM,100392,
100393,380_05_SKILL_01_L_leg.FXM,100393,
100394,380_05_SKILL_01_L_foot.FXM,100394,
100395,380_05_SKILL_01_neck.FXM,100395,
100396,380_05_SKILL_01_skirt_BACK.FXM,100396,
100397,380_05_SKILL_01_skirt_R_FRONT.FXM,100397,
100398,380_05_SKILL_01_skirt_L_FRONT.FXM,100398,
100399,380_05_SKILL_01_skirt_R_SIDE.FXM,100399,
100400,,0,
100401,380_05_SKILL_01_SWORD.FXM,100401,
100402,380_05_SKILL_01_L_arm01.FXM,100402,
100403,380_05_SKILL_01_R_leg01.FXM,100403,
100404,380_05_SKILL_01_R_foot01.FXM,100404,
100405,380_05_SKILL_01_R_shoulder01.FXM,100405,
100406,380_05_SKILL_01_L_shoulder01.FXM,100406,
100407,380_05_SKILL_01_skirt_BACK01.FXM,100407,
100408,380_05_SKILL_01_R_hand01.FXM,100408,
100409,380_05_SKILL_01_R_arm01.FXM,100409,
100410,380_05_SKILL_01_L_arm02.FXM,100410,
100411,380_05_SKILL_01_L_hand01.FXM,100411,
100412,380_05_SKILL_01_SWORD01.FXM,100412,
100413,380_05_SKILL_01_R_hand02.FXM,100413,
100414,380_05_SKILL_01_R_arm02.FXM,100414,
100415,380_05_SKILL_01_L_arm03.FXM,100415,
100416,380_05_SKILL_01_L_hand02.FXM,100416,
100417,380_05_SKILL_01_effect01.FXM,100417,
100418,380_05_SKILL_01_effect02.FXM,100418,
100419,380_05_SKILL_01_effect03.FXM,100419,
100420,380_05_SKILL_01_effect04.FXM,100420,
100421,380_05_SKILL_01_effect05.FXM,100421,
100422,380_05_SKILL_01_effect06.FXM,100422,
100423,380_05_SKILL_01_effect07.FXM,100423,
100424,380_05_SKILL_01_effect08.FXM,100424,
100425,380_05_SKILL_01_effect09.FXM,100425,
100426,,0,
100427,,0,
100428,380_05_SKILL_02_BODY.FXM,100428,
100429,380_05_SKILL_02_L_Leg.FXM,100429,
100430,380_05_SKILL_02_L_Foot.FXM,100430,
100431,380_05_SKILL_02_R_Leg.FXM,100431,
100432,380_05_SKILL_02_R_Foot.FXM,100432,
100433,380_05_SKILL_02_L_Shoulder.FXM,100433,
100434,380_05_SKILL_02_L_Arm.FXM,100434,
100435,380_05_SKILL_02_L_Hand.FXM,100435,
100436,380_05_SKILL_02_R_Shoulder.FXM,100436,
100437,380_05_SKILL_02_R_Arm.FXM,100437,
100438,380_05_SKILL_02_R_Hand.FXM,100438,
100439,380_05_SKILL_02_BODY_01.FXM,100439,
100440,380_05_SKILL_02_BODY_02.FXM,100440,
100441,380_05_SKILL_02_L_GUN.FXM,100441,
100442,380_05_SKILL_02_R_GUN.FXM,100442,
100443,380_05_SKILL_02_Backpack.FXM,100443,
100444,380_05_SKILL_02_L_Guard.FXM,100444,
100445,380_05_SKILL_02_R_Guard.FXM,100445,
100446,380_05_SKILL_02_L_GUN_01.FXM,100446,
100447,,0,
100448,380_05_SKILL_02_R_GUN_01.FXM,100448,
100449,380_05_SKILL_02_R_GUN_02.FXM,100449,
100450,380_05_SKILL_02_R_GUN_03.FXM,100450,
