ID,_Name,_Description,_position,_UpRequire_Lv,_UpRequire_SLv,_UpRequireSkillPoint,_UpRequireSkillPointSlv,_MaxSlv,_Icon,_IconIndex,_StatusType1,_StatusValue1,_StatusValueSlv1,_StatusType2,_StatusValue2,_StatusValueSlv2,_Effect1,_Effect2
1,傷害減少,\n 物理、魔法傷害減少每等級增加15。,1,1,5,1,0,100,10003092,1,495,0,15,0,0,0,0,0
2,防禦力,\n 防禦力每等級增加30。,1,1,5,1,0,100,10003092,2,216,0,30,0,0,0,0,0
3,抗力,\n 抗力每等級增加30。,1,1,5,1,0,100,10003092,3,70,0,30,0,0,0,0,0
4,最大HP (+),\n 最大HP每等級增加100。,1,1,5,1,0,1500,10003092,4,30,0,100,0,0,0,0,0
5,力量、魔力 (+),\n 力量、魔力每等級增加10。,1,1,5,1,0,1500,10003092,5,14,0,10,22,0,10,0,0
6,固定傷害,\n 固定傷害每等級增加15。,1,1,5,1,0,1500,10003092,6,496,0,15,0,0,0,0,0
7,怪物追加傷害,\n 怪物追加傷害每等級增加20。,1,1,5,1,0,1500,10003092,7,566,0,20,0,0,0,0,0
8,BOSS追加傷害,\n BOSS追加傷害每等級增加20。,1,1,5,1,0,1500,10003092,8,570,0,20,0,0,0,0,0
9,所有能力值 (+),\n 所有能力值每等級增加4。,1,1,5,1,0,1500,10003092,9,455,0,4,0,0,0,0,0
10,最大傷害,\n 物理、魔法最大傷害每等級增加1%。,1,5,10,3,0,60,10003092,10,461,0,1,0,0,0,0,0
11,最小傷害,\n 物理、魔法最小傷害每等級增加1%。,1,5,10,3,0,60,10003092,11,462,0,1,0,0,0,0,0
12,爆擊傷害,\n 物理、魔法爆擊傷害每等級增加1%。,1,5,10,3,0,50,10003092,12,464,0,1,0,0,0,0,0
13,貫穿力,\n 物理、魔法貫穿力每等級增加1%。,1,5,10,3,0,25,10003092,13,463,0,1,0,0,0,0,0
14,最大HP (%),\n 最大HP每等級增加1%。,1,5,50,3,0,15,10003092,14,31,0,1,0,0,0,0,0
15,武器屬性 (+),\n 武器最小/最大攻擊力與屬性每等級增加1。,1,10,15,3,0,50,10003092,15,492,0,1,38,0,1,0,0
16,冷卻時間減少,\n 冷卻時間減少數值每等級增加0.1%。,1,10,15,3,0,30,10003092,16,440,0,1,0,0,0,0,0
17,一般怪物支配力,\n 一般怪物支配力每等級增加0.1%。,1,10,20,3,0,50,10003092,17,573,0,1,0,0,0,0,0
18,BOSS怪物支配力,\n BOSS怪物支配力每等級增加0.1%。,1,10,20,3,0,50,10003092,18,574,0,1,0,0,0,0,0
19,所有能力值 -   防禦力 +,\n 所有能力值等級減少8且防禦力增加100。,2,10,50,1,0,30,10003092,49,455,0,-8,216,0,100,0,0
20,最小傷害 - 最大傷害 +,\n 最小傷害減少3%且最大傷害增加5%。,2,20,50,3,0,12,10003092,50,462,0,-3,461,0,5,0,0
21,爆擊率- 爆擊傷害 +,\n 爆擊率減少1%且爆擊傷害增加10%。,2,20,50,5,0,10,10003092,51,465,0,-1,464,0,10,0,0
22,最大HP - 怪物追加傷害 +,\n 最大HP每等級減少500且怪物追加傷害增加200。,2,20,50,3,0,30,10003092,52,30,0,-500,566,0,200,0,0
23,體力 - BOSS怪物追加傷害,\n 體力每等級減少50且BOSS怪物追加傷害增加200。,2,20,50,3,0,30,10003092,53,26,0,-50,570,0,200,0,0
24,貫穿力 - 傷害減少 (%) +,\n 貫穿力每等級減少2%且受到的傷害減少1%。,2,5,50,3,0,5,10003092,54,463,0,-2,86,0,1,0,0
25,力量、魔力 (%),\n 力量、魔力每等級增加 +1%。,3,50,100,2,2,12,10003092,97,15,0,1,23,0,1,0,0
26,所有能力值 (%),\n 所有能力值每等級增加+1%。,3,50,100,2,2,12,10003092,98,456,0,1,0,0,0,0,0
27,爆擊率,\n 爆擊率增加1%。,3,50,200,2,2,7,10003092,99,465,0,1,0,0,0,0,0
28,最終最大傷害,\n 最終最大傷害增加1%。,3,50,200,2,5,7,10003092,100,95,0,1,103,0,1,0,0
29,最終最小傷害,\n 最終最小傷害增加1%。,3,50,200,2,5,7,10003092,101,91,0,1,99,0,1,0,0
30,最終爆擊傷害,\n 最終爆擊傷害增加1%。,3,50,200,2,5,7,10003092,102,157,0,1,163,0,1,0,0
31,傷害減少 (%),\n 受到的傷害每等級減少1%。,3,50,200,2,5,5,10003092,103,86,0,1,0,0,0,0,0
32,武器屬性 (%),\n 武器最小最大攻擊力與屬性每等級增加1%。,3,50,100,2,2,12,10003092,104,493,0,1,39,0,1,0,0
33,固定傷害(%),\n 固定傷害每等級增加1%。,3,50,50,3,0,12,10003092,105,141,0,1,241,0,1,0,0
