ID,_String
1,戰士
2,騎士
3,法師
4,遊俠
5,督軍
6,劍鬥士
7,聖殿騎士
8,武術家
9,魔導士
10,吟遊詩人
11,寶藏獵人
12,神槍手
13,工程師
14,機甲師
15,龍騎兵
16,劍聖
17,神騎士
18,宗師
19,元素使
20,演奏家
21,神射手
22,狙擊手
23,操控師
24,魂之勇者
25,劍刃舞者
26,恐懼騎士
27,鬥神
28,幻術師
29,音樂大師
30,忍者大師
31,審判者
32,改造大師
33,靈魂破壞者
34,靈魂掠奪者
35,靈魂統治者
36,天之王者
37,幻武劍豪
38,創世主
39,諸神使者
40,大毀滅者
41,流行天王
42,風之潛行者
43,裁決射手
44,究極兵甲
45,弒魂者
46,卡片大師
47,高階大師
48,神聖大師
49,弧形大師
50,決鬥大師
51,黑暗大師
52,暴力大師
53,浪人劍客
54,狂刃武士
55,黑狼武士
56,闇影武士
57,修道士
58,對戰大師
59,復仇者
60,混血天神
61,傭兵
62,火焰大師
63,喚焱者
64,炙焰天
65,擊劍士
66,終結者
67,劍極大師
68,黑暗追擊者
69,寶石之星
70,槍兵
71,黑暗騎士
72,和平使者
73,暗影行者
