ID,_Type,_Damage,_KnockBack_Delay,_KnockBack_X,_KnockBack_Time,_Speed_Y,_MotionType
1,1,10,0,0,0,0,0
2,1,100,0,250,1,-600,28
3,2,100,0,0,0,0,0
4,3,100,0,0,0,0,0
5,4,100,0,0,0,0,0
6,5,100,0,0,0,0,0
7,10,100,0,0,0,0,0
8,20,100,0,0,0,0,0
9,21,100,0,0,0,0,0
10,30,100,0,0,0,0,0
11,100,100,0,0,0,0,0
12,101,100,0,0,0,0,0
13,200,100,0,0,0,0,0
14,210,100,0,0,0,0,0
15,220,100,0,0,0,0,0
16,1001,3,0,0,0,0,0
17,1001,20,0,180,1,0,18
18,1001,100,0,220,1,0,19
19,1002,2,0,0,0,0,0
20,1002,15,0,180,1,0,18
21,1002,100,0,220,1,0,19
22,1003,1,0,0,0,0,0
23,1003,25,0,180,1,0,31
24,1003,30,0,180,1,0,18
25,1003,100,0,220,1,0,19
26,1004,2,0,0,0,0,0
27,1004,100,0,250,1,-600,28
28,1005,5,0,0,0,0,0
29,1005,15,0,180,1,0,18
30,1005,100,0,220,1,0,19
31,1010,15,0,0,0,0,16
32,1010,30,0,0,0,0,17
33,1010,100,0,220,1,0,19
34,1020,50,0,0,0,0,0
35,1020,100,0,180,1,0,18
36,1021,50,0,0,0,0,0
37,1021,100,0,180,1,0,18
38,1030,3,0,0,0,0,0
39,1030,20,0,180,1,0,18
40,1030,100,0,220,1,0,19
41,1100,3,0,0,0,0,0
42,1100,100,0,180,1,0,18
43,1101,25,0,0,0,0,0
44,1101,100,0,180,1,0,18
45,1199,100,0,90,1,0,18
46,1200,100,0,0,0,0,18
47,1210,100,0,0,0,0,0
48,1220,100,0,400,1,-650,18
49,2001,3,0,0,0,0,0
50,2001,6,0,180,1,0,18
51,2001,100,0,50,1,-630,18
52,2002,2,0,0,0,0,0
53,2002,4,0,180,1,0,18
54,2002,100,0,50,1,-630,18
55,2003,1,0,0,0,0,0
56,2003,25,0,180,1,0,31
57,2003,100,0,50,1,-630,18
58,2004,2,0,0,0,0,0
59,2004,100,0,50,1,-630,18
60,2005,2,0,0,0,0,0
61,2005,15,0,50,1,-630,18
62,2005,100,0,250,1,-600,28
63,2010,15,0,0,0,0,16
64,2010,30,0,0,0,0,17
65,2010,100,0,50,1,-630,18
66,2020,50,0,0,0,0,0
67,2020,100,0,50,1,-630,18
68,2021,10,0,0,0,0,0
69,2021,100,0,50,1,-630,18
70,2030,3,0,0,0,0,0
71,2030,6,0,180,1,0,18
72,2030,100,0,50,1,-630,18
73,2100,3,0,0,0,0,0
74,2100,100,0,50,1,-630,18
75,2101,5,0,0,0,0,0
76,2101,100,0,50,1,-630,18
77,2199,100,0,0,1,-630,18
78,2200,100,0,0,0,0,18
79,2210,100,0,0,0,0,0
80,2220,100,0,200,1,-950,18
81,3001,20,0,0,0,0,0
82,3001,50,0,180,1,0,18
83,3001,100,0,220,1,0,19
84,3002,15,0,0,0,0,0
85,3002,35,0,180,1,0,18
86,3002,100,0,220,1,0,19
87,3003,1,0,0,0,0,0
88,3003,25,0,180,1,0,31
89,3003,30,0,180,1,0,18
90,3003,100,0,220,1,0,19
91,3004,10,0,0,0,0,0
92,3004,100,0,250,1,-600,28
93,3005,2,0,0,0,0,0
94,3005,15,0,180,1,0,18
95,3005,100,0,250,1,-600,28
96,3010,15,0,0,0,0,16
97,3010,30,0,0,0,0,17
98,3010,100,0,220,1,0,19
99,3020,50,0,0,0,0,0
100,3020,100,0,180,1,0,18
101,3021,50,0,0,0,0,0
102,3021,100,0,180,1,0,18
103,3030,20,0,0,0,0,0
104,3030,50,0,180,1,0,18
105,3030,100,0,220,1,0,19
106,3100,3,0,0,0,0,0
107,3100,20,0,0,0,0,18
108,3100,100,0,180,1,0,18
109,3101,25,0,0,0,0,0
110,3101,50,0,0,0,0,18
111,3101,100,0,180,1,0,18
112,3199,100,0,90,1,0,18
113,3200,100,0,0,0,0,18
114,3210,100,0,0,0,0,0
115,3220,100,0,400,1,-650,18
116,4001,3,0,0,0,0,0
117,4001,20,0,180,1,0,18
118,4001,100,0,220,1,0,19
119,4002,2,0,0,0,0,0
