ID,_Abuse,_Replace
1,中共,☆☆
2,老共,☆☆
3,雞巴,☆☆
4,強暴,☆☆
5,強姦,☆☆
6,妓女,☆☆
7,賣淫,☆☆
8,嫖娼,☆☆
9,雞扒,☆☆
10,賤種,☆☆
11,媽的,☆☆
12,幹你媽,☆☆
13,婊子,☆☆
14,雞八,☆☆
15,雞奸,☆☆
16,卵子,☆☆
17,雞吧,☆☆
18,fuck,☆☆
19,bitch,☆☆
20,妓,☆☆
21,娼,☆☆
22,婊,☆☆
23,屌,☆☆
24,幹,☆☆
25,媽逼,☆☆
26,陰蒂,☆☆
27,龜頭,☆☆
28,相幹,☆☆
29,操,☆☆
30,操你媽,☆☆
31,勃起,☆☆
32,精子,☆☆
33,精蟲,☆☆
34,射精,☆☆
35,早洩,☆☆
36,陽萎,☆☆
37,中出,☆☆
38,姦淫,☆☆
39,姦殺,☆☆
40,賤女人,☆☆
41,賤人,☆☆
42,賤貨,☆☆
43,陰莖,☆☆
44,陰道,☆☆
45,仆,☆☆
46,包皮,☆☆
47,屁眼,☆☆
48,陽具,☆☆
49,乳頭,☆☆
50,奶頭,☆☆
51,奶砲,☆☆
52,奶炮,☆☆
53,精水,☆☆
54,淫水,☆☆
55,解放軍,☆☆
56,黨派,☆☆
57,中國共產黨,☆☆
58,共軍,☆☆
59,共黨,☆☆
60,共匪,☆☆
61,中國人民解放軍,☆☆
62,國民政府,☆☆
63,國民黨,☆☆
64,蔣介石,☆☆
65,武力統一,☆☆
66,反共,☆☆
67,反動,☆☆
68,反黨,☆☆
69,台獨,☆☆
70,釣魚台,☆☆
71,吸毒,☆☆
72,海洛因,☆☆
73,梅毒,☆☆
74,淋病,☆☆
75,毒品,☆☆
76,冰毒,☆☆
77,罌粟,☆☆
78,鴉片,☆☆
79,RMB,☆☆
80,T幣,☆☆
81,賴清德,☆☆
82,陳水扁,☆☆
83,馬英九,☆☆
84,宋楚瑜,☆☆
85,民進黨,☆☆
86,民主進步黨,☆☆
87,親民黨,☆☆
88,台灣獨立,☆☆
89,台灣民主聯盟,☆☆
90,倒扁,☆☆
91,倒馬,☆☆
92,施明德,☆☆
93,紅衫軍,☆☆
94,總統,☆☆
95,中國國民黨,☆☆
96,台聯,☆☆
97,民盟,☆☆
98,測試,☆☆
99,賣150點,☆☆
100,賣300點,☆☆
101,賣350點,☆☆
102,賣400點,☆☆
103,賣帳號,☆☆
104,賣幣,☆☆
105,賣點,☆☆
106,睪丸,☆☆
107,遊戲金幣,☆☆
108,遊戲銀行,☆☆
109,雞歪,☆☆
110,交易網,☆☆
111,莖肛,☆☆
112,處女膜,☆☆
113,陰毛,☆☆
114,陰唇,☆☆
