ID,_ItemID,_Start_Year,_Start_Month,_Start_Day,_Start_Hour,_Start_Minute,_End_Year,_End_Month,_End_Day,_End_Hour,_End_Minute,_CountType,_LimitType,_LimitCount,_Notice,_Notice_Before
21100801,1300001250,2021,10,14,0,0,2021,10,15,0,0,2,2,5,,0
21100802,1300001250,2021,10,15,0,0,2021,10,16,0,0,2,2,5,,0
21100803,1300001250,2021,10,16,0,0,2021,10,17,0,0,2,2,5,,0
21100804,1300001250,2021,10,17,0,0,2021,10,18,0,0,2,2,5,,0
21100805,1300001250,2021,10,18,0,0,2021,10,19,0,0,2,2,5,,0
21100806,1300001250,2021,10,19,0,0,2021,10,20,0,0,2,2,5,,0
21100807,1300001250,2021,10,20,0,0,2021,10,21,0,0,2,2,5,,0
21100808,1300001250,2021,10,21,0,0,2021,10,22,0,0,2,2,5,,0
21100809,1300001250,2021,10,22,0,0,2021,10,23,0,0,2,2,5,,0
21100810,1300001250,2021,10,23,0,0,2021,10,24,0,0,2,2,5,,0
21100811,1300001250,2021,10,24,0,0,2021,10,25,0,0,2,2,5,,0
21100812,1300001250,2021,10,25,0,0,2021,10,26,0,0,2,2,5,,0
21100813,1300001250,2021,10,26,0,0,2021,10,27,0,0,2,2,5,,0
21100814,1300001250,2021,10,27,0,0,2021,10,28,0,0,2,2,5,,0
21100815,1300001250,2021,10,28,0,0,2021,10,28,10,0,2,2,5,,0
21102201,1300001260,2021,10,28,0,0,2021,10,29,0,0,2,2,3,,0
21102202,1300001260,2021,10,29,0,0,2021,10,30,0,0,2,2,3,,0
21102203,1300001260,2021,10,30,0,0,2021,10,31,0,0,2,2,3,,0
21102204,1300001260,2021,10,31,0,0,2021,11,1,0,0,2,2,3,,0
21102205,1300001260,2021,11,1,0,0,2021,11,2,0,0,2,2,3,,0
21102206,1300001260,2021,11,2,0,0,2021,11,3,0,0,2,2,3,,0
21102207,1300001260,2021,11,3,0,0,2021,11,4,0,0,2,2,3,,0
21102208,1300001260,2021,11,4,0,0,2021,11,5,0,0,2,2,3,,0
21102209,1300001260,2021,11,5,0,0,2021,11,6,0,0,2,2,3,,0
21102210,1300001260,2021,11,6,0,0,2021,11,7,0,0,2,2,3,,0
